hash,time,message
02adeef,Thu Sep 19 10:31:36 2013,Merge pull request #145 from peastman/master
bf02a0c,Thu Sep 19 10:30:41 2013,Documentation updates for 5.2
ce4df91,Wed Sep 18 11:36:20 2013,Merge pull request #144 from peastman/master
55ec5c4,Wed Sep 18 11:35:24 2013,Reference implementation of CustomIntegrator did not initialize the random number seed correctly
cdff97b,Tue Sep 17 14:49:24 2013,Merge pull request #143 from peastman/master
6c4ed54,Tue Sep 17 12:21:07 2013,Merge branch 'master' of https://github.com/peastman/openmm
1f4c5c5,Tue Sep 17 12:20:53 2013,Include a comment at the top of PDB files
21029cf,Tue Sep 17 11:51:03 2013,Merge pull request #142 from peastman/master
bafc4ed,Tue Sep 17 11:16:56 2013,Bug fix to previous commit
61cb61f,Tue Sep 17 11:03:47 2013,PdbStructure records MODRES records
35b7bdb,Fri Sep 13 16:48:26 2013,Merge pull request #141 from peastman/master
933f268,Fri Sep 13 16:47:23 2013,Added option to increase hydrogen mass
a19806d,Fri Sep 13 15:33:42 2013,Merge pull request #140 from peastman/master
edb3759,Fri Sep 13 15:30:59 2013,In rare situations  _matchResidue() would take a very long time to return
d2dde01,Wed Sep 11 17:03:23 2013,Merge pull request #138 from peastman/master
15d8a46,Wed Sep 11 17:01:33 2013,Fixes to adding hydrogens to RNA
839b154,Wed Sep 11 13:17:55 2013,Merge pull request #137 from peastman/master
2f6a06b,Wed Sep 11 13:12:00 2013,Fixed some errors in definitions of hydrogens
85ed40c,Mon Sep 9 15:10:43 2013,Merge pull request #135 from peastman/master
1330af5,Mon Sep 9 15:09:30 2013,Minor code cleanup
cfd815e,Mon Sep 9 14:23:28 2013,Merge pull request #134 from peastman/master
a1c0f18,Mon Sep 9 14:22:47 2013,Fixed compilation errors on some platforms
9f9cac5,Mon Sep 9 10:50:52 2013,Merge pull request #133 from peastman/master
44c8ea9,Mon Sep 9 10:49:45 2013,Merge branch 'master' of https://github.com/peastman/openmm
acce09a,Mon Sep 9 10:49:07 2013,Handle exceptions correctly inside getState()
559c7cf,Fri Sep 6 14:18:19 2013,Merge pull request #130 from peastman/master
a6f4acb,Fri Sep 6 14:17:28 2013,Fixed bug in RPMD contractions
42ebb83,Thu Sep 5 13:27:30 2013,Merge pull request #128 from peastman/master
5719a05,Thu Sep 5 13:26:30 2013,PdbStructure records SEQRES records
30b4cf1,Wed Sep 4 11:48:24 2013,addHydrogens() does not require a ForceField to be specified
9f20661,Tue Sep 3 10:50:50 2013,Merge pull request #126 from peastman/master
808504d,Tue Sep 3 10:49:26 2013,Minor enhancements/fixes to PDBFile
d0f8db5,Tue Sep 3 10:06:47 2013,Fixed compilation error when total system mass is 0
e76fe9c,Thu Aug 29 12:21:08 2013,Merge pull request #125 from peastman/master
61ea4d4,Thu Aug 29 12:20:29 2013,Improved error checking in ForceField
9df60d1,Tue Aug 27 11:45:00 2013,Merge pull request #123 from peastman/gb2
f55a30a,Tue Aug 27 10:08:22 2013,Fixed an incorrect sign
9494478,Mon Aug 26 18:02:07 2013,CustomGBForces apply the same energy offset as GBSAOBCForce
b245e77,Mon Aug 26 17:13:54 2013,GBSAOBCForce adds an offset to the energy to reduce the discontinuity at the cutoff
1d4f541,Mon Aug 26 15:14:16 2013,Merge pull request #122 from peastman/master
