Class,Lines,Lines,Lines,Lines,Average,Average,Average,Maximum,Ratio,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC
AmoebaReferenceAngleForce,252,38,141,73,29,1,2,5,0.52%,0,0,0,3,0,5,5,0,5
AmoebaReferenceBondForce,143,27,69,47,18,1,1,3,0.68%,0,0,0,3,0,4,4,0,4
AmoebaReferenceForce,266,81,76,109,13,3,1,2,1.43%,0,0,0,3,0,14,2,0,14
AmoebaReferenceGeneralizedKirkwoodForce,371,48,179,144,6,0,1,9,0.80%,88,0,0,1,0,25,25,12,25
AmoebaReferenceGeneralizedKirkwoodMultipoleForce,2807,459,2147,201,163,5,2,12,0.09%,81,1,1,5,0,70,16,16,16
AmoebaReferenceInPlaneAngleForce,322,60,180,82,43,2,3,11,0.46%,0,0,0,3,0,5,5,0,5
AmoebaReferenceMultipoleForce,2483,401,1431,637,30,1,2,14,0.45%,92,0,0,5,2,54,54,22,54
AmoebaReferenceMultipoleForce::MultipoleParticleData,11,0,11,0,0,0,0,0,0.00%,0,0,0,1,0,0,0,8,0
AmoebaReferenceOutOfPlaneBendForce,261,47,150,65,45,4,5,15,0.43%,0,0,0,3,0,4,4,0,4
AmoebaReferencePiTorsionForce,255,53,147,55,44,2,3,8,0.37%,0,0,0,3,0,4,4,0,4
AmoebaReferencePmeMultipoleForce,2573,415,1832,326,53,1,4,18,0.18%,86,1,1,9,0,95,41,21,41
AmoebaReferenceStretchBendForce,206,36,111,59,32,3,3,9,0.53%,0,0,0,3,0,4,4,0,4
AmoebaReferenceTorsionTorsionForce,643,130,344,169,58,5,4,14,0.49%,0,0,0,3,0,8,8,0,8
AmoebaReferenceVdwForce,649,116,328,205,13,0,1,8,0.62%,89,0,0,5,0,27,27,10,27
AmoebaReferenceWcaDispersionForce,395,74,267,54,78,1,6,19,0.20%,46,0,0,3,0,4,4,8,4
BondInfo_OpenMMTest,12,0,12,0,5,0,1,1,0.00%,0,0,0,0,0,1,1,3,1
cl::Buffer,170,19,86,37,11,0,2,7,0.43%,0,2,1,2,2,27,8,0,8
cl::BufferGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,1,0,34,7,0,7
cl::BufferRenderGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,2,0,34,7,0,7
cl::CommandQueue,1035,92,594,13,20,0,4,10,0.02%,96,1,1,11,0,42,30,0,31
cl::Context,268,32,190,44,15,0,2,7,0.23%,92,1,1,5,0,24,12,0,13
cl::detail::KernelFunctorGlobal,100,6,94,0,30,0,1,1,0.00%,0,0,0,6,0,3,3,1,3
cl::detail::NullType,1,0,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0
cl::detail::Wrapper,57,12,45,0,3,0,1,3,0.00%,0,0,0,1,0,10,10,1,10
cl::detail::Wrapper,91,14,77,0,5,0,1,3,0.00%,22,0,0,1,9,11,10,2,11
cl::Device,155,12,58,31,6,0,1,4,0.53%,0,1,1,2,0,19,7,0,8
cl::Error,40,3,20,17,3,0,1,2,0.85%,50,1,1,0,0,5,4,2,4
cl::Event,139,12,72,36,5,0,1,2,0.50%,0,1,1,2,0,23,11,0,12
cl::Image,64,6,39,19,4,0,1,2,0.49%,0,2,1,1,2,26,7,0,7
cl::Image2D,108,8,42,23,13,0,1,3,0.55%,0,3,1,2,1,32,6,0,6
cl::Image2DGL,69,7,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Image3D,113,8,45,23,13,0,1,3,0.51%,0,3,1,2,1,32,6,0,6
cl::Image3DGL,68,6,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Kernel,149,16,87,25,6,0,1,2,0.29%,0,1,1,4,0,24,13,0,13
cl::Memory,101,10,39,26,4,0,1,2,0.67%,0,1,1,1,2,19,8,0,8
cl::NDRange,47,6,32,9,4,0,1,1,0.28%,16,0,0,1,0,6,6,2,6
cl::Platform,272,28,125,36,11,0,2,5,0.29%,0,1,1,2,0,23,8,0,12
cl::Program,401,59,269,21,16,0,2,8,0.08%,0,1,1,7,0,29,18,0,18
cl::Sampler,97,9,58,30,5,0,1,2,0.52%,0,1,1,2,0,20,9,0,9
