File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AlignedArray.h,104,55,6,42,16,16,15,14,1.31,8,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.cpp,104,30,16,54,23,16,24,15,0.56,14,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.h,205,137,22,42,4,28,4,26,3.26,4,1,1,1,1,3,3,0,0,0
AmoebaAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaAngleForceProxy.cpp,85,30,10,40,26,12,23,14,0.75,3,2,2,2,1,14,13,0,2,0
AmoebaAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaBondForce.cpp,84,30,12,38,17,10,18,11,0.79,10,1,1,1,1,4,4,0,0,0
AmoebaBondForce.h,177,114,19,38,4,24,4,22,3.0,4,1,1,1,1,3,3,0,0,0
AmoebaBondForceImpl.cpp,78,30,10,34,12,12,16,16,0.88,7,1,1,1,1,4,4,0,0,0
AmoebaBondForceImpl.h,75,37,8,23,2,15,2,14,1.61,3,1,1,1,1,3,3,1,0,0
AmoebaBondForceProxy.cpp,78,30,7,36,22,12,19,14,0.83,3,2,2,2,1,12,11,0,1,0
AmoebaBondForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernelFactory.cpp,108,26,18,58,45,8,38,12,0.45,4,4,4,4,3,18,14,0,3,0
AmoebaCudaKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernels.cpp,2571,149,239,2156,1637,686,1363,582,0.07,103,4,4,4,1,23,20,1,1,0
AmoebaCudaKernels.h,602,305,18,273,16,227,14,222,1.12,14,1,1,1,1,2,2,0,0,0
AmoebaGeneralizedKirkwoodForce.cpp,99,38,15,42,17,12,18,13,0.9,12,1,1,1,1,4,3,0,0,0
AmoebaGeneralizedKirkwoodForce.h,202,122,24,52,7,31,7,28,2.35,8,1,1,1,1,3,3,0,0,0
AmoebaGeneralizedKirkwoodForceImpl.cpp,69,30,10,26,13,7,14,9,1.15,5,2,2,2,1,5,5,0,1,0
AmoebaGeneralizedKirkwoodForceImpl.h,72,37,7,24,3,14,3,13,1.54,4,1,1,1,1,3,3,1,0,0
AmoebaGeneralizedKirkwoodForceProxy.cpp,89,32,11,41,28,11,25,13,0.78,3,2,2,2,1,16,13,1,2,0
AmoebaGeneralizedKirkwoodForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaInPlaneAngleForce.cpp,106,30,16,56,25,16,26,15,0.54,14,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForce.h,211,140,22,45,4,31,4,26,3.11,4,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaInPlaneAngleForceProxy.cpp,85,30,10,40,26,12,23,14,0.75,3,2,2,2,1,14,13,0,2,0
AmoebaInPlaneAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
amoebaKernels.h,488,279,75,126,46,71,11,69,2.21,22,1,1,1,1,3,3,0,0,0
AmoebaMultipoleForce.cpp,247,31,44,167,95,41,98,40,0.19,29,1,1,1,1,6,6,0,0,0
AmoebaMultipoleForce.h,429,262,55,105,21,74,21,58,2.5,4,1,1,1,1,9,8,0,1,0
AmoebaMultipoleForceImpl.cpp,201,33,29,135,87,33,82,33,0.24,12,2,2,3,1,12,11,0,1,0
AmoebaMultipoleForceImpl.h,105,51,15,33,2,25,2,21,1.55,3,1,1,1,1,3,3,1,0,0
