Class,Lines,Lines,Lines,Lines,Average,Average,Average,Maximum,Ratio,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC
cl::Buffer,170,19,86,37,11,0,2,7,0.43%,0,2,1,2,2,27,8,0,8
cl::BufferGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,1,0,34,7,0,7
cl::BufferRenderGL,74,7,44,23,5,0,1,2,0.52%,0,3,1,2,0,34,7,0,7
cl::CommandQueue,1035,93,618,13,19,0,3,10,0.02%,97,1,1,12,0,45,33,0,34
cl::Context,268,32,190,44,15,0,2,7,0.23%,92,1,1,5,0,24,12,0,13
cl::detail::KernelFunctorGlobal,100,6,94,0,30,0,1,1,0.00%,0,0,0,7,0,3,3,1,3
cl::detail::NullType,1,0,1,0,0,0,0,0,0.00%,0,0,0,0,0,0,0,0,0
cl::detail::Wrapper,57,12,45,0,3,0,1,3,0.00%,0,0,0,1,0,10,10,1,10
cl::detail::Wrapper,91,14,77,0,5,0,1,3,0.00%,22,0,0,1,9,11,10,2,11
cl::Device,155,12,58,31,6,0,1,4,0.53%,0,1,1,2,0,19,7,0,8
cl::Error,40,3,20,17,3,0,1,2,0.85%,50,1,1,0,0,5,4,2,4
cl::Event,139,12,72,36,5,0,1,2,0.50%,0,1,1,2,0,23,11,0,12
cl::Image,64,6,39,19,4,0,1,2,0.49%,0,2,1,1,2,26,7,0,7
cl::Image2D,108,8,42,23,13,0,1,3,0.55%,0,3,1,2,1,32,6,0,6
cl::Image2DGL,69,7,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Image3D,113,8,45,23,13,0,1,3,0.51%,0,3,1,2,1,32,6,0,6
cl::Image3DGL,68,6,40,22,6,0,1,2,0.55%,0,4,1,1,0,38,6,0,6
cl::Kernel,149,16,87,25,6,0,1,2,0.29%,0,1,1,4,0,24,13,0,13
cl::Memory,101,10,39,26,4,0,1,2,0.67%,0,1,1,1,2,19,8,0,8
cl::NDRange,47,6,32,9,4,0,1,1,0.28%,16,0,0,1,0,6,6,2,6
cl::Platform,272,28,125,36,11,0,2,5,0.29%,0,1,1,3,0,23,8,0,12
cl::Program,401,59,269,21,16,0,2,8,0.08%,0,1,1,7,0,29,18,0,18
cl::Sampler,97,9,58,30,5,0,1,2,0.52%,0,1,1,2,0,20,9,0,9
cl::size_t,30,5,22,3,3,0,1,2,0.14%,0,0,0,0,0,5,5,1,5
CSHA1,252,41,184,19,19,0,3,8,0.10%,82,0,0,2,0,10,10,8,10
CudaCMAPTorsionForceInfo,29,0,29,0,6,0,1,1,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomAngleForceInfo,29,0,29,0,6,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomBondForceInfo,28,0,28,0,5,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomCompoundBondForceInfo,24,0,24,0,4,0,1,3,0.00%,0,1,1,1,0,10,4,1,4
CudaCustomExternalForceInfo,31,0,31,0,12,0,3,5,0.00%,0,1,1,1,0,8,2,2,2
CudaCustomGBForceInfo,30,0,30,0,5,0,1,3,0.00%,19,1,1,1,0,11,5,1,5
CudaCustomHbondForceInfo,75,0,75,0,14,0,3,11,0.00%,19,1,1,1,0,11,5,1,5
CudaCustomManyParticleForceInfo,32,0,32,0,5,0,1,4,0.00%,19,1,1,1,0,11,5,1,5
