File,Cyclomatic,Modified,Strict,Essential,Lines,Code,Comment,Blank,bug
ParsedExpression.cpp,5,5,6,4,15,14,3,0,0
ParsedExpression.h,0,0,0,0,0,0,0,0,0
Parser.cpp,8,6,10,5,31,28,1,2,0
Parser.h,0,0,0,0,0,0,0,0,0
PeriodicTorsionForce.cpp,1,1,2,1,5,5,0,0,0
PeriodicTorsionForce.h,1,1,1,1,4,4,0,0,0
PeriodicTorsionForceImpl.cpp,1,1,1,1,4,4,0,0,0
PeriodicTorsionForceImpl.h,1,1,1,1,3,3,1,0,0
PeriodicTorsionForceProxy.cpp,2,2,2,1,11,11,0,0,0
PeriodicTorsionForceProxy.h,0,0,0,0,0,0,0,0,0
Platform.cpp,2,2,2,1,7,6,0,0,0
Platform.h,0,0,0,0,0,0,0,0,0
PluginInitializer.h,0,0,0,0,0,0,0,0,0
pthread.cpp,0,0,0,0,0,0,0,0,0
pthread.h,2,2,2,1,12,9,1,2,0
neon_mathfun.h,1,1,1,1,41,28,6,7,0
NonbondedForce.cpp,2,2,2,1,6,6,0,0,0
NonbondedForce.h,1,1,1,1,3,3,0,0,0
NonbondedForceImpl.cpp,3,3,4,1,15,14,1,1,0
NonbondedForceImpl.h,1,1,1,1,3,3,1,0,0
NonbondedForceProxy.cpp,3,3,3,1,24,24,0,0,0
NonbondedForceProxy.h,0,0,0,0,0,0,0,0,0
Kernel.cpp,2,2,2,1,5,5,0,0,0
Kernel.h,1,1,1,1,3,3,0,0,0
KernelFactory.h,1,1,1,1,2,2,0,0,0
KernelImpl.cpp,1,1,1,1,3,3,0,0,0
KernelImpl.h,1,1,1,1,3,3,0,0,0
kernels.h,1,1,1,1,3,3,0,0,0
jama_cholesky.h,4,4,4,1,24,15,1,4,0
jama_eig.h,15,15,15,2,85,66,8,12,0
jama_lu.h,5,5,5,1,22,17,1,4,0
jama_qr.h,7,7,7,1,29,25,3,2,0
jama_svd.h,13,12,13,2,58,47,5,6,0
ObcParameters.cpp,1,1,1,1,5,5,0,0,0
ObcParameters.h,0,0,0,0,0,0,0,0,0
OpenCLArray.cpp,2,2,3,1,8,8,0,0,0
OpenCLArray.h,1,1,2,1,4,4,0,0,0
OpenCLBondedUtilities.cpp,8,8,8,2,32,30,1,2,0
OpenCLBondedUtilities.h,1,1,1,1,3,3,0,0,0
OpenCLCompact.cpp,2,2,2,1,13,11,1,1,0
OpenCLCompact.h,0,0,0,0,0,0,0,0,0
OpenCLContext.cpp,6,6,7,1,30,26,1,1,0
OpenCLContext.h,1,1,1,1,3,3,0,0,0
OpenCLDrudeKernelFactory.cpp,2,2,2,1,8,8,0,0,0
OpenCLDrudeKernelFactory.h,0,0,0,0,0,0,0,0,0
OpenCLDrudeKernels.cpp,4,4,5,1,26,22,1,2,0
OpenCLDrudeKernels.h,1,1,1,1,3,3,0,0,0
OpenCLExpressionUtilities.cpp,16,12,17,6,66,63,2,2,0
OpenCLExpressionUtilities.h,1,1,1,1,3,3,0,0,0
OpenCLFFT3D.cpp,13,13,17,2,82,76,3,4,0
OpenCLFFT3D.h,0,0,0,0,0,0,0,0,0
OpenCLForceInfo.cpp,1,1,1,1,3,3,0,0,0
OpenCLForceInfo.h,1,1,1,1,3,3,0,0,0
OpenCLIntegrationUtilities.cpp,9,9,11,1,46,41,2,3,0
OpenCLIntegrationUtilities.h,1,1,1,1,3,3,0,0,0
OpenCLKernelFactory.cpp,46,46,46,46,97,95,1,1,0
OpenCLKernelFactory.h,0,0,0,0,0,0,0,0,0
OpenCLKernels.cpp,6,6,7,1,30,28,1,2,3
OpenCLKernels.h,1,1,1,1,3,3,0,0,1
OpenCLNonbondedUtilities.cpp,6,6,6,1,24,23,1,1,0
OpenCLNonbondedUtilities.h,1,1,1,1,3,3,0,0,0
OpenCLParallelKernels.cpp,2,2,2,1,6,5,0,0,0
OpenCLParallelKernels.h,1,1,1,1,3,3,0,0,0
OpenCLParameterSet.cpp,9,9,9,1,31,31,0,0,0
OpenCLParameterSet.h,1,1,1,1,3,3,0,0,0
OpenCLPlatform.cpp,3,3,3,1,15,13,0,0,0
OpenCLPlatform.h,1,1,1,1,4,4,0,0,0
OpenCLRpmdKernelFactory.cpp,2,2,2,1,7,7,0,0,0
OpenCLRpmdKernelFactory.h,0,0,0,0,0,0,0,0,0
OpenCLRpmdKernels.cpp,7,7,8,1,50,44,2,4,0
OpenCLRpmdKernels.h,1,1,1,1,3,3,0,0,0
OpenCLSort.cpp,6,6,6,1,44,35,5,5,0
OpenCLSort.h,1,1,1,1,2,2,0,0,0
OpenCLTests.h,4,4,4,1,8,8,0,0,0
OpenMM.h,0,0,0,0,0,0,0,0,0
OpenMMAmoeba.h,0,0,0,0,0,0,0,0,0
OpenMMDrude.h,0,0,0,0,0,0,0,0,0
OpenMMException.h,1,1,1,1,2,2,0,0,0
operand.cpp,0,0,0,0,0,0,0,0,0
operand.h,1,1,1,1,3,3,0,0,0
Operation.cpp,1,1,1,1,6,6,0,0,0
Operation.h,1,1,1,1,3,3,0,0,0
OSRngSeed.cpp,3,3,3,1,25,12,0,0,0
OSRngSeed.h,0,0,0,0,0,0,0,0,0
AlignedArray.h,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.cpp,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.h,1,1,1,1,3,3,0,0,0
AmoebaAngleForceImpl.cpp,1,1,1,1,4,4,0,0,0
AmoebaAngleForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaAngleForceProxy.cpp,3,3,3,1,15,14,0,1,0
AmoebaAngleForceProxy.h,0,0,0,0,0,0,0,0,0
AmoebaBondForce.cpp,1,1,1,1,4,4,0,0,0
AmoebaBondForce.h,1,1,1,1,3,3,0,0,0
AmoebaBondForceImpl.cpp,1,1,1,1,4,4,0,0,0
AmoebaBondForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaBondForceProxy.cpp,3,3,3,1,13,13,0,1,0
AmoebaBondForceProxy.h,0,0,0,0,0,0,0,0,0
AmoebaCudaKernelFactory.cpp,4,4,4,3,18,14,0,3,0
AmoebaCudaKernelFactory.h,0,0,0,0,0,0,0,0,0
AmoebaCudaKernels.cpp,4,4,4,1,24,22,1,1,0
AmoebaCudaKernels.h,1,1,1,1,2,2,0,0,0
AmoebaGeneralizedKirkwoodForce.cpp,1,1,1,1,4,3,0,0,0
AmoebaGeneralizedKirkwoodForce.h,1,1,1,1,3,3,0,0,0
AmoebaGeneralizedKirkwoodForceImpl.cpp,2,2,2,1,5,5,0,1,0
AmoebaGeneralizedKirkwoodForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaGeneralizedKirkwoodForceProxy.cpp,3,3,3,1,17,14,1,2,0
AmoebaGeneralizedKirkwoodForceProxy.h,0,0,0,0,0,0,0,0,0
AmoebaInPlaneAngleForce.cpp,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForce.h,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.cpp,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.h,1,1,1,1,3,3,1,0,0
AmoebaInPlaneAngleForceProxy.cpp,3,3,3,1,15,14,0,1,0
