hash,time,message,buggy
ad966d1,2015-12-11 12:52:36,Added getLabFramePermanentDipoles headers to 4 files,0
454eda7,2016-01-14 00:50:26,Added required headers. Still need to actually implement the functions,0
bf0fa20,2016-01-16 15:52:10,getLabFramePermanentDipoles should be completely implemented on the reference platform,0
7197b6c,2016-01-17 21:51:13,Fixed a double declaration for getLabFrameMultipoleMoments,0
dff059f,2016-01-17 21:51:53,Merge branch 'master' of https://github.com/saurabhbelsare/openmm,0
a8d0f0e,2016-01-18 12:13:29,Created a public verison of the applyRotationMatrix function so that it can be accessed from outside,0
4927779,2016-01-18 16:09:42,Restructuring the lab frame dipole moments function,0
dd0d76e,2016-01-18 16:44:40,Added 2 labFrameDipoleMoment declarations in AmoebaReferenceMultipoleForce.h,0
560ef30,2016-01-18 16:53:48,Removed unnecessay public function,0
5aeef6d,2016-01-18 16:58:22,Changed call to calculate lab frame permanent dipoles function,0
a84f728,2016-01-18 17:00:01,Fixed typo,0
881582c,2016-01-18 17:10:45,Corrected spelling or Permanent,0
d1b39bd,2016-01-19 19:16:31,Commenting out Dipole Calculation,0
76bb120,2016-01-20 14:21:59,Uncommented the labFrameDipoles function,0
1daa9bb,2016-01-20 15:32:31,Commented out all the LabFrame functions,0
587ba7f,2016-01-20 20:00:24,Modified comments to not generate documentation for LabFrame functions,0
5f248e6,2016-01-23 14:38:59,Uncommented all the calculate LabFramePermanentDipoles functions,0
d3aa60e,2016-01-25 14:58:47,Commented out extra two LabFrameDipole calculation headers,0
43d4cd9,2016-01-25 15:28:54,Added LabFramePermanentDipole function to the cuda kernels files  but it currently works as getSystemMultipoleMoments,0
6426a47,2016-01-25 15:29:08,Added LabFramePermanentDipole function to the cuda kernels files  but it currently works as getSystemMultipoleMoments,0
969e0e9,2016-01-25 16:16:40,Modified dummy cuda getLabFramePermanentDipoles from getSystemMultipoles to getInducedDipoles Implementation,0
23a4934,2016-01-25 20:37:20,Debugging 1,0
817a226,2016-01-25 20:57:02,Debugging 2,0
ee385aa,2016-01-25 21:06:54,Debugging 3,0
56b8df1,2016-01-25 22:41:48,Debugging 4,0
0e492d9,2016-01-25 22:44:32,Debugging 5,0
adc4149,2016-01-25 23:04:03,Debugging 6,0
5fbac3a,2016-01-26 15:20:25,Debugging 7,0
0284890,2016-01-26 15:37:58,Debugging 8,0
72cec7e,2016-01-26 16:04:15,Debugging 9,0
07f6ba4,2016-01-26 16:46:19,Reference Debugging complete,0
004db14,2016-01-28 16:17:04,read all ffxmls together by section  rather than all sections in one file first,0
01a6ddd,2016-01-30 18:13:50,Setting up the getLabFrameDipoleMoments in cuda,0
ca28c38,2016-02-02 14:19:05,Added getLabFramePermanentDipoles to swigInputConfig.py,0
3e9dc09,2016-02-04 00:07:45,Added calculateTotalDipoles function,0
d1a8645,2016-02-04 00:21:04,Fixed bug in calculateTotalDipoles in AmoebaReferenceKernels.cpp,1
18efc03,2016-02-04 11:12:56,Fixed bug in getTotalDipoles in AmoebaReferenceMultipoleForce.cpp,1
