hash,time,message,buggy
2c691f0,2014-05-09 01:46:37,Merge branch 'amoeba' of github.com:peastman/openmm,0
65f9fa9,2014-08-12 18:45:22,Merge branch 'master' of github.com:SimTk/openmm,0
b1549ce,2014-12-07 06:17:31,Merge branch 'master' of github.com:SimTk/openmm,0
00ea565,2014-12-16 01:13:01,Correct the mass of hydrogen in AMOEBA2013 force field,0
a0f16cc,2015-05-28 23:41:52,Merge branch 'master' of github.com:SimTk/openmm,0
df2b723,2015-07-03 15:08:17,Merge branch 'master' of github.com:SimTk/openmm,0
51a4515,2015-07-04 06:24:12,AMBER-FB15 protein force field parameters,0
5df1def,2015-07-04 07:23:38,Update provenance information,0
a919ab4,2016-08-11 20:16:05,Initial reference implementation of LJPME.,0
6cc49db,2016-08-11 20:16:05,Initial reference implementation of LJPME.,0
406105e,2016-08-14 14:26:02,add new proposed code for impropers,0
1b31ef6,2016-08-15 15:20:13,Updated tests  to compare to Gromacs,0
42e695c,2016-08-15 15:20:13,Updated tests  to compare to Gromacs,0
e8cdf37,2016-08-17 16:51:27,Implemented real space CPU LJPME terms.,0
40a7363,2016-08-17 16:51:27,Implemented real space CPU LJPME terms.,0
abc801d,2016-08-18 10:46:00,fixes,0
6412e52,2016-08-18 14:47:56,add updates of r and ta,0
18253db,2016-08-18 15:22:25,fix,0
6ff7ca3,2016-08-19 11:11:43,Initial fast reciprocal space LJPME implementation  with test.,0
a741138,2016-08-19 11:11:43,Initial fast reciprocal space LJPME implementation  with test.,0
1040398,2016-08-19 23:00:26,Optmized influence function and energy computations for PME and LJPME.,0
79c0e60,2016-08-19 23:00:26,Optmized influence function and energy computations for PME and LJPME.,0
aaf535b,2016-08-24 18:29:46,add ordering attribute to impropers,0
ce3a5dc,2016-08-25 14:36:23,fix for when ordering attribute not in PeriodicTorsionForce element,0
3281347,2016-11-01 18:59:07,Add Bohrs to units,0
04e61cd,2016-11-01 22:35:49,Update unit_definitions.py,0
94cb861,2016-12-19 10:36:46,Merge branch 'dpme' of git.lobos.nih.gov:andysim/OpenMM into dpme,0
a783b99,2017-01-13 14:59:10,Eliminated RealOpenMM type,0
7b66ba1,2017-01-19 14:37:56,Added initial CUDA LJPME code  and modified cpupme plugin to handle LJPME as a standalone method.,0
58b6e3b,2017-01-19 14:38:14,Merge branch 'master' of github.com:pandegroup/openmm into dpme,0
1a2cf81,2017-01-19 17:33:05,Trivial changes to AMOEBA plugin.,0
0699dea,2017-01-20 11:19:29,CUDA Extrapolated polaraization test now obeys precision argument  and handles finite difference checks appropriately.,0
a9f6564,2017-01-23 16:32:57,Merge branch 'dpme' of https://github.com/andysim/openmm into ljpme,0
dbcc494,2017-01-24 11:27:31,Cleanup to CUDA dispersion PME code,0
f7a102f,2017-01-25 11:30:11,Reduced duplication in the code for Coulomb and LJ PME,0
3b6925a,2017-01-26 09:10:11,Merge pull request #1 from peastman/ljpme,0
c274f08,2017-01-26 13:30:43,Fixes to dispersion PME,0
c9fcabb,2017-01-26 14:18:25,More updates to dispersion PME,0
a9b636a,2017-01-26 14:58:09,Updated documentation for dispersion PME,0
e94e4d0,2017-01-27 18:16:46,Fixed bug computing B-spline moduli,1
6b586f7,2017-01-28 11:14:47,Merge pull request #2 from peastman/ljpme,0
5ce0bd2,2017-01-31 20:54:16,Fix substeps division in MTSIntegrator,0
d326d15,2017-02-01 13:03:09,Bug fix to CUDA dispersion PME,1
52c7e74,2017-02-01 14:05:25,Merge pull request #3 from peastman/ljpme,0
4dc6616,2017-02-03 12:08:05,Fix compilation errors in static builds on Windows,1
02278d9,2017-02-03 12:55:59,Merge pull request #1732 from peastman/static,0
249257a,2017-02-03 14:25:14,Merge pull request #1724 from andysim/amoebafix,0
6231d53,2017-02-03 14:25:52,Merge pull request #1731 from kyleabeauchamp/fixmts,0
8647eaa,2017-02-03 14:39:26,Revised calculation for dispersion PME grid size,0
edfcdec,2017-02-07 11:40:25,Bug fixes,1
46f604a,2017-02-08 10:24:11,Merge pull request #4 from peastman/ljpme,0
5ef1d4e,2017-02-08 11:41:29,Created OpenCL implementation of dispersion PME,0
09d2241,2017-02-08 13:18:42,Disable CPU PME when using dispersion PME,0
625f644,2017-02-08 14:07:23,Disable CPU PME when using dispersion PME on OpenCL,0
723074e,2017-02-10 10:52:03,Merge pull request #5 from peastman/ljpme,0
df6bbb2,2017-02-10 11:25:45,Fixed memory leaks when minimizer fails,0
dd71284,2017-02-10 14:32:36,Merge pull request #1736 from peastman/leak,0
67091ab,2017-02-14 15:53:00,Optimizations to updateParametersInContext() for OpenCL,0
2a1e9ac,2017-02-15 10:15:19,Optimizations to updateParametersInContext() for CUDA,0
2c55959,2017-02-15 12:09:40,Merge pull request #1740 from peastman/updateparams,0
859bfd6,2017-02-15 14:26:28,Use lambdas for thread pool tasks,0
31d7f88,2017-02-15 15:10:12,Require CMake 3.1 or later,0
06fe75f,2017-02-16 09:17:14,Attempt at fixing errors on travis and appveyor,1
30c5774,2017-02-16 09:57:03,Attempting to fix travis errors,1
1b9ba8c,2017-02-16 10:48:23,Attempting to fix travis errors,1
89e6953,2017-02-16 10:55:46,Attempting to fix travis errors,1
af1cc4e,2017-02-16 11:10:06,Attempting to fix appveyor errors,1
259b808,2017-02-16 11:49:46,Attempting to fix appveyor errors,1
5005466,2017-02-16 12:31:20,Attempting to fix travis errors,1
9963e51,2017-02-16 14:54:22,Merge pull request #1741 from peastman/lamda,0
96fbe09,2017-02-16 15:06:30,Cleanup to cmake scripts,0
f8b51ca,2017-02-17 15:20:54,Fixed error in travis builds,1
