hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
ed9e162025187f2f1e42ce58760b9eb4d1f8a9cf,2016-02-15 21:18:29,1,1,9,0.0,0,0,0.0,1,0.0,0,80200.0,0.0,4346,0,0,0
507bde5b5a926956b9dc11825247ce2040235890,2016-02-15 21:19:55,1,4,18,0.0,0,0,0.0,1,0.0,0,80213.5,0.0,4364,0,0,0
7512821dd62a92d41f3cc168832624b6c53959d4,2016-02-15 21:20:17,1,2,27,0.0,0,0,0.0,1,0.0,0,80236.0,0.0,4391,0,0,0
952671afd6c72a095fd9141c4b0707f605fc49d8,2016-02-15 22:27:20,1,2,13,2.8026400077259623,87,38,449.07692307692315,5,84.26681623931623,1129,80256.0,1.5301688609499693,25847,0,0,0
490b26ed064343b59043cdbf41445b23dea43561,2016-02-15 22:27:37,1,2,3,1.5012404120907163,21,6,606.6666666666666,5,12.879390432098765,51,80264.0,1.0412307805495045,30834,0,0,0
21136ae10745baaca7f9a810db4590476319d6d8,2016-02-15 22:27:57,1,1,2,0.6918138653228311,302,0,0.0,1,0.0,0,80266.5,0.0,30836,0,0,0
52ca6416a08c21f3803eb653e7064225b01c0b39,2016-02-15 22:34:20,1,2,8,2.7374640789234626,103,0,6.875,5,22.535695891203705,23,80271.5,1.0055467557160631,5304,0,0,0
53b3a4aec00285e8805b937e0bf7772c052db038,2016-02-15 22:35:06,1,2,5,0.7306582534232059,2799,2,63.2,5,2.4138472222222225,135,80278.0,1.0828552851890425,30841,0,0,0
9b32dcb314dd6113a8af7fb7b87b974be1ebd6e6,2016-02-15 22:46:05,1,2,8,1.7095289017813293,1199,1,547.625,5,17.124709201388892,324,80284.5,1.025189726541982,25855,0,0,0
ae788f1bdc8be9225d4219f7f1aacd3114655a9e,2016-02-15 22:47:22,1,2,4,1.8339272176418304,7,6,865.5,5,0.010656828703703705,792,80290.5,39.80987565750449,25859,0,0,0
d242d3b6c4c096e9d69df7fce9f318ce84c946fe,2016-02-15 22:59:20,1,2,4,1.867633890971212,14,8,294.75,5,0.008978587962962963,96,80294.5,57.7723262332861,25863,0,0,0
1abf6d03bc3353ed84945fad31e90dfac79cafba,2016-02-15 23:15:24,1,1,1,0.0,1,1,1.0,5,0.1930555555555556,933,80297.0,6.179856115107912,30842,0,0,0
33113808012c88ac29132849cf74d25bc4d5eca7,2016-02-15 23:16:16,1,1,2,0.9182958340544896,3,3,380.5,5,0.19306712962962966,950,80298.5,4.884659193093938,25865,0,0,0
40952680d812f3c70ab08ae23bca38bf7e3097a0,2016-02-16 01:06:20,1,1,22,3.624389276661042,154,87,4.363636363636363,4,561.2035474537037,12,80310.5,1.0001095942429112,25887,0,0,0
319762c37f30e12c1e98a83e7bf0464387f7ddc1,2016-02-16 01:06:35,1,2,3,1.061278124459133,8,8,224.0,5,37.67180941358024,22,80323.0,2.6616355459271133,25890,0,0,0
abe869aaed3f9e4210777211c4941cf09dc93eb5,2016-02-16 01:07:46,1,2,3,1.584962500721156,3,3,232.0,5,27.15865354938272,10,80326.0,1.053927035185873,25893,0,0,0
f5e8f73677b51e0e1bd812969448dcb814564033,2016-02-16 15:05:17,1,1,1,0.0,1,1,1106.0,5,0.6791087962962963,342,80328.0,2.472518108223264,25894,0,0,0
9d6dbdb0f40eaf61518966d39633777f9fc17cac,2016-02-16 15:05:34,1,2,2,0.9023932827949788,16,6,1178.0,5,0.6793055555555556,361,80329.5,2.1040686976078518,25896,0,0,0
7b9802562c108bfaa977e0965a631a4949c550fd,2016-02-16 15:06:24,1,1,11,0.0,0,0,0.0,1,0.0,0,80336.0,0.0,25907,0,0,0
1a1b81cb8f9bbd5511657701ad78d5f8d9c660c6,2016-02-16 21:52:49,1,1,1,0.0,1,1,602.0,5,11.183310185185185,5,711.0,1.0894189630298126,118,1,0,1
2ad23266fb20b69773959147c2bdbd8e52092c8f,2016-02-16 23:13:28,1,1,1,0.0,3,2,599.0,5,20.189375,10,712.0,1.049531003312386,119,0,0,0
e4f73836553d0897a1f8a68e1973579202cc54ff,2016-02-17 00:18:28,1,1,1,0.0,0,0,0.0,1,0.0,0,80342.0,0.0,25908,0,0,0
eee65e309eddecdeea71d328ef880dab12ff6b8a,2016-02-17 00:18:50,1,2,6,1.671801278992221,4622,645,711.5,5,7.067015817901236,700,80345.5,1.1897017688430358,25914,0,0,0
a43731758c544655a1ee7abc6d19959839713af9,2016-02-17 00:19:10,1,1,1,0.0,0,0,0.0,1,0.0,0,80349.0,0.0,25915,0,0,0
718c87f9150e388184ea5ce493f58830794093f2,2016-02-17 15:40:36,1,2,8,1.9917583835222479,334,373,1152.0,5,18.140703125,816,80353.5,1.4173334760918124,25923,0,0,0
b7e4a33bab9b25958f26dd6437b82c0e585efc15,2016-02-17 15:54:00,1,2,28,4.46535878720213,45,38,1744.142857142857,5,27.531448412698413,1185,80371.5,1.0306125749751152,25951,0,0,0
e4ea9c0658011c67c2c4fd50cd119b8b47e7edb2,2016-02-17 15:56:48,1,5,12,2.680904927604254,79,49,665.5,5,74.69107928240742,254,80391.5,1.0061548500408442,30854,1,1,1
5c78508b40bf6c6ffb7211956b929834e6f32871,2016-02-18 22:31:49,1,1,1,0.0,52,7,987.0,5,111.10258101851852,36,80398.0,1.009000690990548,30855,0,0,0
08b53bb7099747d51328eac8babd14e7c2ff65f8,2016-02-18 22:31:59,1,1,1,0.0,1,1,623.0,3,119.01630787037035,22,80399.0,1.0084022098979004,5305,0,0,0
f705ef560019fc7a6d4c2a7692279da64c86e6fe,2016-02-18 22:32:24,1,2,13,2.5340783642666835,191,105,2556.846153846154,5,35.718839921652425,627,80406.0,1.1220344265852789,25964,0,0,0
00fc71e8b8ab61cfb83d1cd243cf502b79492145,2016-02-22 17:10:07,1,1,2,0.7219280948873623,10,10,1565.5,5,59.327887731481475,138,80413.5,1.1366081842939515,30857,0,0,0
d2d5b0cb7501c5b2c3e0d7f792b6ecf354f270c5,2016-02-22 21:57:32,1,1,1,0.0,2,2,116.0,5,223.078738425926,5,80415.0,1.0044827221413215,30858,0,0,0
dc0dc5a7d9e7e4f319ec06019b96e27063c3ed7d,2016-02-22 22:13:26,1,1,6,2.4192905417306143,586,0,0.0,1,0.0,0,80418.5,0.0,30864,1,0,0
8291f5e69c5010012ee49a544fce81b696698a17,2016-02-22 23:00:43,1,1,16,2.925541070416051,392,92,108.875,5,12.059195601851854,42,80429.5,1.0209426415743377,25980,0,0,0
f406a5ed558be4221eaaa6833ad5e70958123aa6,2016-02-22 23:00:59,1,1,34,3.5938047842311365,1565,103,237.14705882352942,5,112.16034143518516,1199,80454.5,1.009559755045669,26014,0,0,0
577af878eaf4e09eca58a5b1dc0d3e5b3765b1e3,2016-02-22 23:14:55,1,1,3,1.0600287364645036,164,2,36.333333333333336,1,0.014232253086419754,1,80473.0,24.420981295744106,30867,1,0,0
c200e187b53b9729081797cc97c91c923d745651,2016-02-22 23:18:57,1,1,2,0.9598233475451452,149,0,0.0,1,0.0,0,80475.5,0.0,30869,1,0,0
a7b85690d13e30d12615cf255fec5a444190a063,2016-02-22 23:27:00,1,1,1,0.0,1,1,1.0,5,7.008055555555557,934,80477.0,1.1426929327361368,30870,0,0,0
e0361bb7a5e8b0fe0be75651956ad4485c83f254,2016-02-22 23:30:32,1,1,2,1.0,8,0,100.0,1,0.009444444444444445,2,80480.5,73.57517734948836,30872,0,0,0
4ddd88da26ed632785bf6c78592b8d01ab58f2a5,2016-02-22 23:30:51,1,2,21,4.202719097009694,53,38,284.2857142857143,5,1.3592680776014114,418,80492.0,1.0699296891580412,26037,0,0,0
a4e33d30969a8a12a29b8696d616f827d55f0a91,2016-02-23 23:22:40,1,1,1,0.0,2,1,1043.0,5,80.82645833333333,44,80503.0,1.0123721862941952,30873,0,0,0
98b34b6311aa592615023b669bf7d9df17be9fc8,2016-02-23 23:25:07,1,2,9,1.3570671035574122,82,88,629.6666666666666,5,354.8089068930042,402,80508.0,1.1340540041011609,26046,0,0,0
dbd259948ba0b9db04e14e343d28a200d98a9027,2016-02-24 15:27:19,1,2,4,1.7456362959649545,27,9,751.75,5,40.89139178240741,192,80514.5,1.0086830395468052,26050,0,0,0
