,hash,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
0,c5e90415d74b514754a4284b11a6f569555069ca,1,1,1,0.0,0,1,4.0,1,15.02181712962963,1,438.0,1.0665698424744874,438,0,0,0
1,4312a2c2a4e4c352559e824c6d10f8cd7a5f6b29,1,1,1,0.0,2,2,55.0,3,0.045613425925925925,4,439.0,22.923369703121036,439,0,0,0
2,c0d3a5219a50e5844a96f1e0b5d7d14588c771ad,1,1,1,0.0,12,0,144.0,3,11.284490740740742,4,132.0,1.0886172024041518,132,0,0,0
3,d2e8cfa804ec243e6cb09bdccbedccb5a4e53aea,1,3,14,2.8082433382898295,1111,555,490.14285714285717,4,4.1892542989417985,62,139.5,1.033056166593791,146,1,1,1
4,4510a6e711cd5e211bfb1762d9459ad1e214b05a,1,7,18,2.596920463545357,1177,136,533.8333333333334,4,2.8685654578189297,96,155.5,1.1506393949751796,164,1,1,1
5,0f7d15d05635c05bbbb586d2bcd8a414992642bd,1,3,10,2.2825921406354883,1067,114,395.7,3,4.324505787037038,35,735.5,1.052858025179725,740,1,0,0
6,b574311b34ab7937dd51566a72e0956fc7b494b7,1,6,15,1.9781973828187998,771,465,546.8666666666667,4,1.347372685185185,88,447.0,1.1755195886292902,454,1,1,1
7,fe1e9909370ec5b0f6a8f51c7d7eca65d504851b,1,1,2,0.4389984513499079,606,0,0.0,1,0.0,0,3.5,0.0,4,1,1,1
8,9ba28788d87f43bc83c7f6d60438603168be42d3,1,6,26,3.111237790162252,296,302,387.6923076923077,4,3.6464917200854696,176,467.5,1.2301877561799999,480,1,1,1
9,3843f045ac6faf84a0bd8e65eae1ee83f0649a7b,1,3,10,2.9825854730751153,23,79,659.5,4,0.7087326388888889,71,745.5,1.5139141610565914,750,1,1,1
10,ea550096091265260132349dca9ce33d80f89450,1,2,3,1.1736392479031053,171,175,2627.6666666666665,4,8.09789737654321,19,485.0,1.0589601080338025,486,0,0,0
11,8715f40c024fdcfb67d8dd55ab2fcd62adc98998,1,3,4,1.9367229680395939,62,21,197.5,4,0.8909375,6,187.5,1.5845902022682097,189,1,0,0
12,4a99422f43af4a61bdffaa5540206e0f300c1982,1,4,4,1.9182729359693729,113,84,717.25,4,0.7472424768518519,31,488.5,1.77984391308097,490,0,0,0
13,71531c33af87b05f8aaaf1e30f08dcb124e0ff8c,1,3,4,1.3861229021194994,54,35,380.75,4,2.4810619212962965,15,6.5,1.1035258796583103,8,1,1,1
14,a891cf353853075ccd443cd0197725d232487c26,1,8,101,4.990105627136909,15502,103,87.29702970297029,4,0.8932948294829485,46,541.0,1.0316737591860317,591,1,1,1
15,9f875d73f7b05cd73e9ce98245cf046c03687892,1,9,16,3.281193096434958,250,101,268.25,5,1.6323075810185181,57,197.5,1.1345506465301385,205,1,1,1
16,3362bdc0db746205809d54ef612f3f034faad209,1,4,4,1.720045516017766,24,11,140.5,5,0.05478587962962963,26,593.5,10.426020418359723,595,0,0,0
