hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
d35e7c3f76d6232864e86c9d09ccc9109a74eced,2013-10-24 14:43:19,1,1,1,0.0,1,1,247.0,19,54.031898148148144,17,6055.0,1.0185075859681652,1937,0,0,0
e74236a1549372b3eb177f83f9bf820755bfab08,2013-10-24 15:07:48,1,1,1,0.0,11,9,94.0,18,70.42878472222222,15,6056.0,1.0141987399604309,1938,0,0,0
5e84d12d132db7c306a90dac59d937fc44b39b1d,2013-10-29 10:40:37,2,3,3,0.7441942138263227,19,7,534.0,18,67.9970061728395,118,6058.0,1.0090160039979257,173,0,0,0
ae71b70a47094aa7643300d46c89a70ee3d92250,2013-10-29 11:50:21,1,3,3,0.9134877963857492,93,6,80.66666666666667,2,12.714814814814815,4,6061.0,1.0382367239411776,40,0,0,0
56b1273d0842ea82340d7de84e36f997ec8324bf,2013-10-31 18:11:56,1,1,2,0.9852281360342516,4,3,99.0,16,139.77171296296297,11,74.5,1.0064756228034026,40,1,0,0
b638666423827417c7c0b5e6ee685630aa4d3d80,2013-10-31 22:57:59,2,6,9,0.8915480497576134,2878,9,225.11111111111111,18,30.49395318930041,172,80.0,1.0547975252133883,20,1,1,1
7dd804de21345ace786812de79ed15ed73d313c6,2013-11-02 20:29:47,1,2,2,0.8112781244591328,80,0,552.0,18,1.99640625,45,227.5,1.3887874999692729,226,1,1,1
9a8d2e2eb7112288deeeb01e610e559b30e58fe3,2013-11-03 15:25:14,1,3,5,0.36627942768062144,154,3174,236.2,19,143.5336759259259,49,231.0,1.3832223796958458,231,1,1,1
d18ceeb14d2b7eaef4174551f068765c20ee2ffe,2013-11-03 15:30:47,1,1,2,0.0028455495570822893,4803,2,-1566.0,19,0.0038541666666666663,4,234.5,195.5945945945946,233,1,1,1
364440a1c4e46f755c65c583b46a763b1ef79a9e,2013-11-06 11:28:39,1,2,2,0.8044460498852075,237,56,620.5,19,2.8357060185185183,49,236.5,1.2644843982775862,235,1,1,1
a666fdf762ad00a54a55fbf844d1b9dfa4973974,2013-11-06 16:20:17,1,2,3,1.3566695198333112,17,4,317.0,20,23.650628858024692,58,1.0,0.7283562441039151,2,0,1,0
edd5c9c9c590aa02efed68eb3fd4ee1a53fc68f1,2013-11-07 21:25:26,1,2,4,0.39454401298975744,2695,1765,517.25,19,3.539285300925925,19,239.5,1.263806907189862,239,1,1,1
5bd25e7e1ae874e8080ba6f7700647e0c3253d4b,2013-11-10 23:04:22,1,1,3,0.13457135573736098,2605,1558,860.6666666666665,19,3.0687037037037035,10,243.0,1.199143081286585,242,0,1,1
615f1a75a170be85989488f5f7d076c1e7b7539d,2013-11-11 20:12:48,2,2,3,0.21161625725260275,1467,2057,1179.0,19,32.95179398148148,10,246.0,1.5710012880938171,2,1,1,1
077c188b5b76428a0710b7c8d56bed23df62d01c,2013-11-16 20:56:48,1,3,3,1.142471211641698,257,157,545.6666666666666,19,29.726921296296297,57,249.0,1.0121332851396372,247,1,1,1
dd808b288abf0e8b5f9c67400b2270840c1a9387,2013-11-17 14:17:37,1,16,126,2.6359920071000684,1926,1015,156.3174603174603,19,96.9682807907115,1468,313.5,1.000459346758651,373,0,0,0
3685f5c031ab8ea85c016bab7713be44a6fe4676,2013-11-23 12:17:30,2,2,4,0.6502837689170902,3464,859,771.0,19,10.632505787037038,19,378.5,1.0442200895037177,3,1,1,1
fafb7d7931440cfd0bc7ddf3173f186ad2412af7,2013-12-06 16:28:05,2,4,5,1.0488073213304772,280,29,67.2,19,123.40686111111113,91,5.0,1.0040571517331796,3,1,1,1
c121b7473c315dfd6be292925ec794b27ff37132,2013-12-06 16:28:05,2,4,5,1.0488073213304772,280,29,114.8,19,-11.14162962962963,103,14.0,0.7700821742946041,5,1,1,1
cf13de7d55c3fa5e326026ee5f40a02383462d0c,2013-12-16 11:42:03,1,2,2,0.8112781244591328,7,5,378.0,19,57.52227430555556,93,0.5,0.5043461424816413,1,1,1,1
