,hash,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_buggy_fixes,fastread_buggy_fixes,human_buggy_fixes
0,ac235b9b094ef3a0f2003467fcb70dc69d96ed9e,3,8,28,3.8953003624657367,11470,0,0.0,1,0.0,0,13.5,0.0,17,1,1,1
1,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,1,1,6,2.047527759953107,212,0,0.0,1,0.0,0,30.5,0.0,5,0,1,1
2,2a8eb95c4c157c01d1e70cc0487af31e63ab32a9,1,1,1,0.0,1,1,252.0,1,0.00032407407407407406,1,34.0,3086.714285714286,8,1,1,1
3,50d16d939cf67fb25e95db5b01f85e2587f14f6e,1,1,1,0.0,1,2,308.0,1,0.0004050925925925926,1,35.0,2469.5714285714284,9,0,0,0
4,86f4d4b56656ee051cbbff29726f7cde0ae3ac1e,1,1,1,0.0,7,4,307.0,1,8.101851851851852e-05,2,36.0,12343.857142857143,10,1,1,1
5,bffbfe2c34272ad41943d92c6e92e4954aea11b4,2,2,5,0.5680488826220953,254,197,311.0,1,0.0005138888888888889,6,39.0,1346.3968438337483,20,1,1,1
6,0d324fcdfdb75e258fa76669e6e7e0cc0ea6ec23,1,1,2,0.17033057560105985,85,73,578.5,1,9.259259259259259e-05,4,42.5,8101.0,22,0,0,0
7,ba342c11e99a3afbc40cdbcc03bd6df90db92b63,2,2,5,0.6920531987972877,226,169,324.8,1,0.00014814814814814815,13,46.0,2683.0,25,1,1,1
8,9152cf3754a7075faa63a78347f32ba783ac6dde,1,1,1,0.0,8,0,310.0,1,0.00037037037037037035,3,49.0,2701.0,15,0,0,0
9,44ded8ba456c844f878109a15bc3cae6c7392761,3,3,6,1.8007357712449603,125,3,55.666666666666664,1,0.0003587962962962963,6,52.5,1315.6110056925993,27,0,0,0
10,8c90d030b8fc8bcd1dce5851405534590a7a3938,2,3,4,0.5953168507017959,413,265,547.75,1,0.00045138888888888887,14,57.5,3482.3186813186812,30,1,1,1
11,52933eaf991d15277f1c00e24caeac4b4fa1dcaf,1,1,2,0.5830194167347008,23,20,112.0,1,0.0007754629629629629,4,60.5,755.3880597014925,20,1,1,1
12,17ad3fecab28f74c1020978661a5ce1f4243f230,1,1,1,0.0,8,4,134.0,1,8.101851851851852e-05,2,62.0,12343.857142857143,21,1,1,1
13,fd540ca83f91ab7f578a02a399b3d5204b6c7d93,1,1,1,0.0,4,4,318.0,1,0.000462962962962963,4,63.0,2161.0,22,0,0,0
14,f4fc049e6031ef8490ded8746457a22ae4628112,1,1,1,0.0,21,21,140.0,1,0.0006365740740740741,3,64.0,1571.9090909090908,31,0,0,0
15,9200719c0d79a53fddf3cfa1d25ce7384653009e,1,1,1,0.0,2,1,923.0,1,0.0014814814814814814,1,65.0,676.0,32,0,0,0
16,23194312889992a1fc2a5ec0b196681cfc74855b,1,1,1,0.0,1,1,259.0,1,0.0004861111111111111,6,66.0,2058.1428571428573,23,0,0,0
17,c88e3fe409dc18276848247043f29f353274f1b2,1,1,3,1.5304930567574826,5,4,319.0,1,0.0007908950617283951,9,68.0,1627.2020905923346,26,0,1,1
18,b3f6a4ee0951056ccdbb68de85a9ff7970904336,1,1,1,0.0,26,30,93.0,1,0.0005671296296296297,4,70.0,1764.265306122449,27,1,0,0
19,c421884c2ec9009397a3889778d43a3ea3a390be,1,1,2,0.6631968402398287,18,11,162.5,1,0.0004976851851851852,8,71.5,3589.0398671096345,29,1,1,1
20,97817bcd81fa63f4afe5c7ceacf7135be52748c3,2,2,6,1.2178803349723348,263,195,394.1666666666667,1,0.0004436728395061729,28,75.5,2864.7519742802397,35,1,1,1
21,565ae2c3486578acad8181c47f5fd7948c4738a8,2,2,3,0.9625519467744904,117,100,471.6666666666667,1,0.00010416666666666667,17,80.0,5867.666666666667,37,1,1,1
22,a656bf58a903b8d4d8368943097927363c831d0e,1,1,2,0.9918207974218424,47,0,52.5,1,0.0011111111111111111,2,82.5,676.0,39,0,0,0
23,6ea6e66a02664a383546660d2f6f120c2ca937fa,1,1,1,0.0,15,4,77.0,1,8.101851851851852e-05,2,84.0,12343.857142857143,40,0,0,0
24,7335792f837264bab4c048ed2867eb1c22a9db9c,1,1,1,0.0,57,0,0.0,1,0.0,0,0.0,0.0,0,0,0,0
25,8c989bec501b970c4d33554921ab715d07513c68,1,1,1,0.0,30,10,326.0,1,0.00042824074074074075,8,85.0,2336.135135135135,34,1,1,1
26,c9a78429889d6fc86ef5868bcf653f55d1b21432,1,1,6,2.3120278163706773,15,26,44.5,2,0.0018422067901234563,6,88.5,211.44570776830247,11,0,0,0
27,7408b1e5f6095551d737b02969a2c307e90d7c5f,3,8,16,1.7446843425429495,19,3380,294.5625,1,0.0010105613425925926,28,99.5,153.41293508103527,52,1,1,1
28,87eccb896010d39f2c3a27ecf57a6c4e263f2257,1,1,1,0.0,0,57,57.0,2,0.00028935185185185184,2,1.0,3457.0,1,0,0,0
29,3599d77ab889aea96150f05a2ddeac733a1a56bd,1,1,1,0.0,55,0,0.0,2,8.101851851851852e-05,3,2.0,12343.857142857143,2,1,1,1
30,efdd5e1a5826f177be1c49d059d1f7265f60e4b5,1,1,4,1.2391092523283866,141,128,260.25,1,0.0013368055555555555,20,109.5,750.4563657366892,41,1,1,1
31,f8b71739bc20df43657d50a0735dc579f1f7a515,3,3,3,1.3180945160030577,17,16,33.333333333333336,2,0.0003125,5,113.0,1299.8662131519275,53,1,1,1
32,5f7dffac0b1503b66a9ff9a4517544602df12548,1,1,1,0.0,13,9,53.0,2,0.0006481481481481481,2,115.0,1543.857142857143,13,0,0,0
33,4084aae0977682f1004aef328a385cab6fe36b3d,2,2,3,0.3230255766377839,27,831,297.6666666666667,2,0.0011111111111111111,5,117.0,2121.0,55,1,1,1
34,14cf0e54a9093f23a6f00e4c2d11a899dce75de6,1,1,1,0.0,2,1,138.0,1,0.0015972222222222223,4,119.0,627.0869565217391,42,0,1,1
35,0b6c4cb9dc8fe4c1444dfcda56c8817ee1bd3c15,1,1,1,0.0,7,5,139.0,1,8.101851851851852e-05,5,120.0,12343.857142857143,43,1,1,1
36,20d0a9b12c0d80c69c41a7a110a5f3cb6c94f563,3,6,15,2.8898668299025125,149,413,163.0,2,0.000679783950617284,36,128.0,290.0331601638635,65,1,1,1
37,a55e6bdc161763b1faebae101ba9403165ad6ee8,1,1,1,0.0,5,5,67.0,2,9.259259259259259e-05,5,136.0,10801.0,66,0,0,0
38,2a8e613da429182276eda7eb14f3c26886bd0cb7,1,1,1,0.0,2,0,919.0,2,0.00017361111111111112,4,0.0,0.0,0,0,0,0
39,ab34cb38f649ac5907352423e5d2e99477599de9,2,2,2,0.7219280948873623,9,1,36.0,2,0.0002546296296296296,7,1.5,2946.4545454545455,1,1,1,1
40,e76542dea177e6d72eb6f9233a471d63e375cac2,1,1,1,0.0,2,2,357.0,2,0.0003356481481481481,11,3.0,2980.3103448275865,0,0,0,0
41,9199c09bebb31581f1bb1f1222350d7e534a0240,1,1,1,0.0,45,4,141.0,1,0.0005902777777777778,6,4.0,1695.1176470588234,1,1,1,1
42,0bd1bdf5a4a25fc7034ce626bb6ff4cb31c3c8da,1,1,3,0.4674801836168112,64,53,267.6666666666667,2,0.0002469135802469136,28,138.0,3013.406015037594,49,1,1,1
43,4ee5bb43455b9d0703321a22b99b2dedfd969629,3,3,6,1.3207163518696579,95,116,121.16666666666667,2,0.0009567901234567902,35,142.5,212.1818076746639,67,1,1,1
44,25c9ed31932ab5f51ff5fb39150dd073bf016d32,1,1,1,0.0,6,6,86.0,2,8.101851851851852e-05,8,146.0,12343.857142857143,12,1,1,1
45,fe5e1f34e0dc8a502e2d6f0062ea59c70e4e26b5,1,1,1,0.0,12,12,241.0,2,0.00017361111111111112,11,147.0,5761.0,52,0,0,0
46,a49584c5772fb566edc9377a37d0116854e89022,1,1,2,0.7540340561971326,23,37,267.0,2,0.0008680555555555555,22,148.5,2252.636363636364,54,1,1,1
47,25e196761c2727b800deb8151ed86ab3ef44df48,2,2,14,1.9050710049247692,754,153,16.714285714285715,2,0.000744047619047619,17,156.5,212.40840268124342,17,1,1,1
48,a5aaa2f30aa1e019a4bb7648059c078905d67efe,2,2,2,0.34027285073944613,477,13,7.0,2,4.6296296296296294e-05,1,164.5,10801.0,18,0,0,0
49,4e539e446f8bba26b9124f4a2252d1a1c45ae1e0,1,1,1,0.0,2,2,459.0,2,8.101851851851852e-05,1,166.0,12343.857142857143,1,0,0,0
50,5b5e019a69ca8e9e945a5405c6c0355cb04082fd,1,1,1,0.0,1,1,86.0,2,0.0002546296296296296,10,5.0,3928.2727272727275,1,0,0,0
51,8cfd13016f6d2e85f13326eeec08b4d04c5432ec,1,1,2,0.9949848281859701,67,5,184.5,3,0.0002488425925925926,15,6.5,2010.3023255813953,3,1,1,0
52,18ec2db9837a57002a0138d4ee02fa60bfe69133,1,1,1,0.0,12,2,503.0,2,0.0015277777777777779,5,8.0,655.5454545454545,4,0,0,0
53,071b3c15be598385ab8639d2fa73a86e00e5d099,1,1,1,0.0,3,3,398.0,3,0.0002314814814814815,16,9.0,4321.0,5,0,0,0
54,18f927d68f01e78cdfe8aa7480f471d9909f5dc4,3,3,8,2.240150394289964,156,71,179.375,3,0.0008159722222222222,62,170.5,648.6939627443859,68,0,1,1
55,51319af027ec3ac458bcc9114efceefc52a665e5,3,3,4,1.6189833320006946,136,105,346.25,3,0.0002314814814814815,30,176.5,3323.6124488868695,61,1,1,1
56,9e0e37b125d8c5d29a6b2a246808f04a6b8de8bc,2,2,2,0.225363639127395,54,1,102.5,3,9.837962962962963e-05,10,179.5,2541.676470588235,62,1,1,1
57,803b03d888a20091dc1895f8b778aca55121ae57,1,1,1,0.0,1,1,273.0,3,0.0002777777777777778,13,181.0,3601.0,63,0,0,0
58,ff9792d93c56566915328cc4c8cbbbe1e9b6a664,2,2,2,0.9957274520849256,15,11,45.5,3,0.0003587962962962963,16,182.5,2091.322580645161,69,0,0,0
59,8a26aa3fda587f01e235ba60a4310f1fbf951f40,1,1,1,0.0,12,2,491.0,3,0.0003356481481481481,8,10.0,2980.3103448275865,6,0,1,1
60,cb29d568d0d6bad454f1133e58f597aed5454239,1,1,3,1.2261609682167514,50,7,25.333333333333332,3,0.0007793209876543209,11,12.0,297.25161927957504,4,0,0,0
61,5d616667cef24c59350bdde11d550b464dd18e96,1,1,1,0.0,1,1,501.0,3,0.00017361111111111112,9,14.0,5761.0,7,0,0,0
62,85ea1bd1f2194b86eb33750817a3ed7470769f4b,1,1,2,0.419921097375718,77,64,474.0,3,0.0003356481481481482,29,184.5,1592.8864097363082,65,1,1,1
63,6b80874ac8a897db77c02d29a00f5fbfd8529d8a,1,1,2,0.9967916319816366,7,8,4.5,3,0.00012152777777777777,6,186.5,2057.6428571428573,71,0,0,0
64,c4d8fc2f074a98e6bf3d545822bb005d6fa1d521,1,1,1,0.0,2,0,502.0,3,0.00017361111111111112,11,188.0,5761.0,66,0,1,1
65,617c3f2c534c7f3372d8aff7d13832b340b80319,1,1,1,0.0,10,6,504.0,3,8.101851851851852e-05,12,189.0,12343.857142857143,67,0,0,1
66,a56824492f6b8c83ee60b38b6efcaf5a094bb4e1,1,1,1,0.0,5,2,508.0,3,8.101851851851852e-05,13,190.0,12343.857142857143,68,0,1,1
67,5fe135270dcbdb8691b0c78b49f6da05f6a5c02e,1,1,1,0.0,4,5,92.0,3,0.0006828703703703704,7,15.0,1465.406779661017,5,0,0,0
68,f7faed3f277df893e2389e344393bbfb0f2972f8,1,1,1,0.0,1,1,91.0,3,8.101851851851852e-05,8,16.0,12343.857142857143,6,0,0,0
69,a016ec6c41337cd49073d7c800963b65c094a4c7,1,1,1,0.0,173,0,0.0,1,0.0,0,3.0,0.0,0,1,1,1
70,1e9e46f806efb957018527deea3c987479218856,1,1,1,0.0,3,2,33.0,3,0.0018055555555555555,1,17.0,554.8461538461539,8,0,0,0
71,9868860c76efac194dcb0c05f95901fd7bf06519,1,1,1,0.0,1,1,182.0,2,0.002766203703703704,8,4.0,362.50627615062757,0,0,0,0
72,c315dc41cb646c93991b11db77e544c190734b7f,1,1,1,0,0,0,0.0,1,0.0,0,5.0,0.0,0,0,0,0
73,eee8a6924cc77be4817212aac97b0f27548eb416,1,1,1,0.0,1,1,0.0,1,0.0,0,6.0,0.0,1,1,1,1
