hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy
a30e302ba152ba6d317045ded81077711574529e,2017-01-11 12:51:16,2,2,3,1.5,4,4,113.33333333333331,34,76.1512962962963,51,20879.0,1.0077319088532526,175,0,0,0,0
d5e66fcb066231b7f7c60297610b5ac194660f26,2017-01-11 13:30:17,4,17,661,8.345638348656609,828,828,39.88199697428139,34,158.02000709152827,4064,21211.0,1.0000559099100863,2454,0,1,0,1
e26862d90c18cb92de5e6e34eca7000a71512e8a,2017-01-12 12:53:33,1,2,6,1.8630160155232376,85,30,516.8333333333334,34,16.79519675925926,150,6989.5,1.3613142012736177,1176,0,1,0,1
500bad25a40386d58dea984f6786139f9a9c0ff0,2017-01-12 15:03:01,1,1,1,0.0,23,3,1693.0,34,1.064398148148148,54,0.0,0.0,0,1,1,0,0
1c44a2b332b9be35955b1406ccf90c338d76b17a,2017-01-12 15:21:32,1,1,1,0.0,28,14,495.0,34,0.1027662037037037,20,6993.0,10.730825543417053,1177,1,0,1,0
10fc20e7899041c3f9edc738ca869f2fb65a613c,2017-01-12 16:37:52,1,1,1,0.0,1,1,1713.0,34,0.06586805555555555,55,1.0,16.181866104375327,1,1,0,0,0
5906dc95898ea19572328136a350ad57696a8db6,2017-01-12 18:18:51,1,1,1,0.0,1,1,368.0,34,31.076030092592593,16,190.0,1.0321791424779951,176,1,0,0,0
4040ffbc75a115d8116435c0201d940bbe7668b4,2017-01-13 10:50:50,1,1,1,0.0,20,6,101.0,34,1.9309375,3,0.0,0.0,0,1,0,0,0
d788b8d66de4c1d1597b494102bdbd94c61a7860,2017-01-13 13:24:38,1,1,3,1.1498915180024811,50,51,-2.6666666666666665,34,2.037743055555556,15,2.0,1.2998960587523642,3,1,0,1,0
02193803492fa091a2761e0342c4ab64b18076ef,2017-01-13 13:37:41,1,1,6,1.91555626911412,628,728,-2.0,34,1.0279340277777778,28,6.5,19.66058885031717,9,0,1,0,0
885ca930a71006b4ac886a9ca9e4e3fce1ff1d2a,2017-01-13 16:27:15,1,1,6,2.3049958011947407,69,75,-18.666666666666668,34,0.11775462962962965,34,12.5,4.467662669549831,15,1,1,0,0
bdb555213b862b705975362e47eb13c150d3267f,2017-01-13 17:40:43,1,1,4,1.725181382994295,33,19,-26.5,34,0.05101851851851852,30,17.5,11.208711433756807,19,0,1,0,0
2c270fb5ea5b4ec9485b94f00fbf745ad7c52fdf,2017-01-14 16:25:26,1,1,2,0.44311055824469103,241,9,-24.5,34,0.9477199074074074,18,20.5,1.7913730566784316,21,0,1,0,0
078e834a5d69c4bec192c8fea40b90d75d70c837,2017-01-19 09:38:41,1,1,1,0.0,17,31,172.0,34,4.717534722222221,12,22.0,1.2119751223641115,22,0,0,0,0
2c9eae2bb069510c565a6393adc68d7b8b719930,2017-01-19 18:57:25,1,1,6,1.221174148921594,165,162,39.833333333333336,34,5.0070447530864195,48,25.5,1.4963366731177803,28,0,1,0,0
7a44d19ff9c8e72caa534cb1a2a4b732039609ac,2017-01-21 11:00:51,1,1,6,1.69844555428481,113,94,47.66666666666666,34,4.06457175925926,45,31.5,1.210282479258038,34,0,1,0,0
f1b54b7fe93fad8f431c411a53aef2d73a8661dd,2017-01-27 12:24:51,1,1,1,0.0,6,1,-88.0,34,15.954560185185185,15,2.0,1.0626780048082154,2,0,0,0,0
9192c5c0bb38c4bedbf9f65e9383d93f8372bedf,2017-01-27 12:58:05,1,1,1,0.0,8,2,1210.0,34,16.00516203703704,157,21542.0,1.0624798422962498,333,1,0,0,0
402e9811846f8b203e8f9a02dc356765b5eaf20d,2017-01-27 15:35:49,1,1,1,0.0,1,2,0.0,1,0.0,0,113.0,0.0,35,1,0,1,0
fef6f6e83ee2ec3f9483708acaaf3b467dd44363,2017-02-02 23:19:37,1,1,2,0.5651013322959568,74,54,335.5,34,22.409259259259247,34,3.5,1.033468308404264,4,0,1,0,1
990023c045cec25604c9104fa72996f27f021056,2017-02-03 09:51:10,1,1,1,0.0,1,1,343.0,34,0.4385763888888889,22,5.0,3.280104504789803,5,1,0,1,0
ff6ef3ad7595cb52da983b11898e51adaf7a4352,2017-02-03 14:33:16,1,2,2,0.9456603046006402,9,2,396.5,34,11.619820601851853,52,6.5,1.0432128303469237,7,0,0,0,0
