hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy,human_fix,human_buggy
bfb56a8918cb5690c5651aed62d5176544bd930a,2014-12-09 19:43:05,1,1,2,1.0,4,4,337.5,4,13.150833333333333,630,57060.5,1.0570306064254482,13646,0,0,0,0,0.0,0
11d54badb44d24592ace7c0538b87151c40fb1ff,2014-12-12 00:20:00,1,1,2,1.0,6,2,30.5,4,119.32616898148147,16,57062.5,1.0062852935479425,13648,0,0,0,0,0.0,0
1af7b06052fdbf30ac4402716a887d11d27b1f0b,2014-12-12 00:20:00,1,1,8,2.606238928653389,15,15,1188.0,5,68.9598191550926,437,57067.5,1.0086891135913196,26384,0,1,0,1,0.0,1
d30ce3fe1fbc174838778a22e6d75524b43417b5,2014-12-13 00:42:00,1,1,3,1.584962500721156,15,0,1564.0,5,17.017534722222226,183,57073.0,1.0326564017069286,26387,0,0,0,0,0.0,0
53d8975ee41af6f8c36b9fd74a26695eef823cc2,2014-12-13 00:42:00,1,1,3,1.584962500721156,15,0,581.0,5,25.017824074074074,92,57076.0,1.0244270288775594,26390,0,0,0,0,0.0,0
a58e9a481fade52a5413a6635eec12c61ea03f9b,2014-12-15 15:35:00,1,1,1,0.0,1,1,2084.0,5,2.620023148148148,93,57078.0,1.3816760171400804,26391,0,0,0,0,0.0,0
fad2b8a0733d0bd0db787e7058530a7555d8b0a9,2014-12-15 18:31:00,1,1,2,1.0,18,12,264.5,4,157.89190972222218,28,57079.5,1.0047500850507127,13650,0,0,0,0,0.0,0
4ad3d5215226871e7782f796a8c384325ebef948,2014-12-17 15:51:00,1,1,2,1.0,10,2,1078.0,4,28.030497685185185,207,57081.5,1.0267565709472364,13652,0,0,0,0,0.0,0
3337a367c06aac116c771ca3e85e01199b931d55,2014-12-17 16:07:00,1,1,4,1.072657623774265,38,23,1716.5,5,108.9000144675926,292,57084.5,1.0024480241279727,26395,0,0,0,0,0.0,0
2dedb4195207207809e924bc7561f81932f722fb,2014-12-17 16:11:00,1,1,2,1.0,8,0,133.0,4,25.648784722222214,54,57087.5,1.0292411515057165,13654,0,0,0,0,0.0,0
7948ae9178d954622a6a6c6bd5bc3cf1244bda4a,2014-12-17 16:11:00,1,1,2,1.0,4,4,337.5,4,7.853043981481481,632,57090.5,1.0955043677036065,13656,0,0,0,0,0.0,0
0ab3bcff6b54d0169debc232ef5fa6680ff7b555,2014-12-17 16:11:00,1,1,1,0.0,1,1,1.0,4,7.853020833333333,824,57089.0,1.1273395322925095,26396,0,0,0,0,0.0,0
e247ee0edc09c739cb4c2ab43354ed8ab7585e4c,2014-12-19 22:44:00,1,1,5,2.316904028421415,63,48,103.8,4,200.1663333333333,51,57096.0,1.0021077099894449,13663,0,0,0,0,0.0,0
be33217f116411089a7bbb1898ac4a5e5148bc34,2014-12-19 22:47:00,1,1,2,1.0,16,12,181.0,4,0.0989699074074074,36,57099.5,251.80188241746282,13665,0,0,0,0,0.0,0
00b59a5f4eea235c76f3313768a554464b7b1333,2014-12-19 22:51:00,1,1,3,1.584962500721156,4,2,640.0,5,155.97228780864197,96,57102.0,1.003001760373553,26399,0,0,0,0,0.0,0
3140b3f6ceb86212873b8f9c7608ecb0758f3178,2014-12-19 22:56:00,1,1,2,1.0,42,24,219.0,4,10.134803240740741,26,57104.5,1.0740024233509622,13667,0,0,0,0,0.0,0
6c1be9686a08231d7c20c90f411e40672b67174d,2014-12-20 00:02:00,1,1,5,1.6919606162129912,36,36,148.2,5,237.3236273148148,71,57108.0,1.004395247810278,26404,0,0,0,0,0.0,0
fde29a97bc97fc9bd754522d7911e5b32c3de65b,2014-12-20 00:36:00,1,1,1,0.0,1,1,1.0,4,2.3507523148148146,825,57111.0,1.4253957312720025,26405,0,0,0,0,0.0,0
