hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy,human_fix,human_buggy
76033057a7e2c2cc1480489cc65a42ab456270ee,2010-10-30 23:05:00,1,1,1,0.0,8,0,724.0,5,0.4181134259259259,26,527.0,3.3916955017301036,289,0,1,0,1,0.0,1
76033057a7e2c2cc1480489cc65a42ab456270ee,2010-10-30 23:05:00,1,1,1,0.0,8,0,724.0,5,0.4181134259259259,26,527.0,3.3916955017301036,289,0,1,0,1,0.0,1
76033057a7e2c2cc1480489cc65a42ab456270ee,2010-10-30 23:05:00,1,1,1,0.0,8,0,724.0,5,0.4181134259259259,26,527.0,3.3916955017301036,289,0,1,0,1,0.0,1
76033057a7e2c2cc1480489cc65a42ab456270ee,2010-10-30 23:05:00,1,1,1,0.0,8,0,724.0,5,0.4181134259259259,26,527.0,3.3916955017301036,289,0,1,0,1,0.0,1
b869469932edd2085081e2cd8fb0d6f61e5c3097,2010-10-31 00:29:18,1,1,1,0.0,27,6,353.0,5,0.4761226851851852,23,528.0,3.1002990008994336,290,0,0,0,1,0.0,0
2edbb9139d1320fc8868e9ce54c78562924b943e,2010-10-31 00:29:24,1,1,1,0.0,2,2,34.0,5,0.4764930555555555,7,529.0,3.0986664723456965,291,1,0,1,1,1.0,1
6ff313f30307f7f4809147cdf4a938e4fb5f7bfd,2010-10-31 00:29:34,1,3,5,2.019250912838829,18,12,315.4,5,7.980277777777778,84,532.0,1.4451355354075497,296,1,1,1,1,1.0,1
7129ae7044d8008992cfff36a551a1119d2920e3,2010-11-01 22:10:11,2,3,4,1.7730564687214878,106,23,430.0,5,43.38865740740741,116,536.5,1.0822765408365986,299,0,1,0,1,0.0,1
9dd0cc767a302e7c653775fcbeb11758c80f7aa7,2010-11-01 22:10:16,1,1,1,0.0,4,1,220.0,5,5.787037037037037e-05,47,539.0,17281.0,99,0,0,0,0,0.0,0
0d30f46803ae14e8a5efe537f6ea3bbe89bbd5f7,2010-11-02 12:46:44,1,1,1,0.0,1,1,189.0,5,2.9885300925925926,35,540.0,1.3346126587376892,100,0,1,0,1,0.0,1
