hash,time,ns,nd,nf,entrophy,la,ld,lt,ndev,age,nuc,exp,rexp,sexp,keyword_fix,keyword_buggy,fastread_fix,fastread_buggy
827fdcae9590cd08a3f6f2fed44ec71cac3678ba,2017-05-16 13:37:52,1,10,18,3.71643341024736,469,126,0.3888888888888889,10,62.56676633230453,58,2814.5,1.0017575397270473,327,0,1,0,1
a27561418a86c6a88b8d256c5ef00d8d65f945f5,2017-06-16 11:15:35,2,72,203,6.329144267199433,4715,7106,19.073891625615765,10,101.56526363802229,363,2925.0,1.0005576492213286,529,0,1,0,1
43b3b36f83fce63abc67ccb6d2d8e2135791d86d,2017-06-19 13:47:22,2,31,58,4.879914286119829,287,728,27.48275862068965,10,166.11189355842913,145,3055.5,1.0051949645077112,586,1,1,1,1
bb2e0ec6ff6011498417282df51af55996f97b36,2017-06-19 16:33:04,2,22,54,5.102396722856451,429,701,42.0925925925926,10,101.11277992112484,151,3111.5,2.0961748592484284,639,0,1,0,1
d3193c2bfe4a93f5451cca52cc714dc63d43bfde,2017-06-19 17:52:26,2,3,6,1.2693472494647582,355,1,31.33333333333333,11,0.5742959104938271,49,2.5,1.0852273973725233,4,0,0,0,0
6d7dece1c645a5078e87cf2d5e406a5c52ac4dcb,2017-06-20 15:25:31,1,27,77,4.976751782561701,565,1393,50.45454545454545,11,46.57418365199619,210,3177.0,1.0134017160312108,716,0,1,0,1
dc101b3e08b268e22eb1ee4917f3e1ac20fb4a28,2017-06-20 17:24:31,2,7,8,2.6233432190664887,36,17,29.375,11,73.79929253472226,53,3219.5,1.0016969530719104,723,1,0,1,1
0c5ce7bfc4356a419ea244d34ef6cbe495620c57,2017-06-21 16:02:23,1,1,1,0.0,39,0,0.0,1,0.0,0,412.0,0.0,7,1,0,1,0
45f22ceeeed257b81aa896086f1e830bcdffb67a,2017-06-21 16:04:49,1,1,1,0.0,1,1,39.0,1,0.0016898148148148148,1,413.0,592.7808219178082,8,0,0,0,0
689dc766d329fb560f24503fa94f388195618803,2017-06-21 16:11:51,1,1,1,0.0,2,2,39.0,1,0.004884259259259259,2,414.0,205.739336492891,9,0,0,0,0
23b4f1f4178714fea31c0922b056aa16722f13ad,2017-06-21 16:18:06,1,1,1,0.0,9,8,39.0,1,0.004340277777777778,3,415.0,231.4,10,0,0,0,0
446a716688e98088cf81760f60a846baa5d21d4b,2017-06-21 16:42:00,1,1,1,0.0,74,0,0.0,1,0.0,0,416.0,0.0,11,1,0,1,0
2bf119c767b50049856c501ee971f38a2740d7ee,2017-06-22 11:41:36,1,1,1,0.0,18,16,40.0,1,0.8079861111111111,4,417.0,2.2376450365277183,12,0,0,0,0
0cfc68b6ccbc4ab55a74d657033d1c6f1ca8c5df,2017-06-23 12:40:09,1,8,10,2.492678921266513,196,90,136.1,11,117.69413657407408,55,3228.5,1.0772048429886725,733,1,1,1,1
654ce0967091d5378a0616f4beb1613b54f3a721,2017-06-23 15:36:48,2,4,8,1.3304954522228245,409,161,185.75,11,19.090713252314814,54,9.5,1.0962559217370291,11,0,0,0,0
8fc62750ec73b7b5e04f8801b51004f9c835775c,2017-06-26 16:00:41,1,1,1,0.0,420,0,0.0,1,0.0,0,418.0,0.0,13,1,0,1,0
c9036541022c7e66723d302384200a8c6be5a9b5,2017-06-26 16:06:16,1,1,1,0.0,8,0,420.0,1,0.0038773148148148148,1,419.0,258.910447761194,14,0,0,0,0
147c2ebe965e0a5ce7744d8406876bc4b40ab2e3,2017-06-27 11:33:33,1,1,1,0.0,13,0,0.0,1,0.0,0,420.0,0.0,15,0,0,0,0
f14a53d7ddbfbc6291692bc28c3f138187d68729,2017-06-27 13:07:13,1,2,2,0.6024308020404453,16,18,299.5,11,5.4000405092592585,5,14.5,1.1746286634421532,13,0,0,0,0
03b4b5e18351709ef5751d49b115c477c0017753,2017-06-28 17:27:00,1,40,170,6.210634140140063,7292,12484,16.05294117647059,11,61.792059776688454,241,3318.5,0.9952417716113259,903,0,1,0,1
325c4aec36b72ec5e4c7cfc4a6dfc6f71b3d217b,2017-06-29 15:56:39,2,2,2,0.06591441234324169,128,0,53.5,11,3.006892361111111,43,16.5,1.166284635415163,14,0,0,0,0
f27b76033188cb10e382b97262d4aaffc90f7cd4,2017-06-30 17:07:43,2,4,10,2.5323505403246207,576,172,76.7,11,2.137859953703704,53,22.5,1.30510025474977,23,0,0,0,1
f8c7837ca9c7404c7ae46d417d1bb88f1d6ebb8b,2017-06-30 17:14:59,1,15,58,4.632448177295138,1795,3469,61.22413793103448,11,21.409413114623238,72,3432.5,1.0570315001102917,961,1,1,1,1
d07c2a29ac40ed513ef20cda8481ce958818315b,2017-06-30 17:30:47,1,9,22,3.6024794814172325,108,253,113.95454545454544,11,0.8704445496632996,32,3472.5,26.00389666280714,983,0,1,0,1
30b1a721faf3d00db389d0d0c88138e021061e0a,2017-07-01 23:34:29,1,7,14,2.3899086507979668,727,1249,199.57142857142856,11,1.133476355820106,39,3490.5,1.2423351753559977,997,0,1,0,1
0ecdaf2fd0a54e8d4bceeff02285f342292a761c,2017-07-03 11:36:23,1,39,187,6.0707477355266475,1077,14014,4.090909090909091,11,40.29658812388593,187,3591.0,1.1436906010007195,1184,0,1,0,1
53926485c484d7e2688fda0fc7caf858722475a9,2017-07-03 16:12:00,2,3,5,1.3962698505465072,609,1,36.2,11,1.1845231481481482,46,30.0,1.303919767682729,27,0,0,0,0
a704eeb26abdf3b96f1333b9f81df4f892a6de4a,2017-07-04 14:26:17,1,1,3,0.3815804883091629,32,206,201.3333333333333,11,0.9265856481481479,3,34.0,1.6595300848145698,30,0,0,0,0
f751c9111c0ba3c1528378903aa7b3094c3fc4ce,2017-07-04 16:04:58,1,7,16,1.6512721927272356,2032,172,-2.3125,11,0.07415726273148149,8,3692.5,1.036576964346681,1200,1,1,1,1
178c59ec68203fbcc5b38da54b19cb001a139c01,2017-07-04 16:31:34,1,2,2,0.4537163391869448,20,1,0.0,1,0.0,0,3701.5,0.0,1202,1,0,1,1
e4b5e9b0d79de35b2252b8662d741e576a615cee,2017-07-04 17:20:52,1,2,5,1.5911438908252054,0,609,113.0,11,4.619932870370372,11,38.0,1.0909401447146916,35,0,0,0,0
0314c3def039ed46a7bbaf056356399cd42367b0,2017-07-04 17:55:35,1,3,3,0.13131569939753382,163,94,47.66666666666666,11,0.02560570987654321,1,42.0,4.672643262518206,38,1,0,1,0
71dba27d96afbb890660b595f297b15a82764487,2017-07-05 13:27:37,1,6,8,2.429683073463126,465,49,247.75,11,0.4357624421296296,5,3706.5,1.2934979178051065,1210,0,1,0,1
7a84bb50dcaba6ebddb11ad507bae8d87e5358aa,2017-07-05 15:16:01,1,1,2,0.8812908992306927,17,3,0.0,1,0.0,0,3711.5,0.0,1212,0,0,0,1
6e11b4268b648cb526de3a846ee85be59ad77421,2017-07-05 15:27:38,1,1,1,0.0,4,2,27.0,11,6.917106481481483,1,3713.0,1.1445691204374555,1213,0,0,0,1
3effb870002879cd3c24fd54d9c542ae44dc06bc,2017-07-05 15:32:44,1,3,9,3.1009248319867218,736,12,2.1111111111111107,1,0.10657150205761318,1,3718.0,1.1347760213453466,1222,0,1,0,1
ac8b29a48fa5e728c97688370a5ab290e352ad2d,2017-07-05 16:07:16,1,4,10,2.3526928016750346,307,119,2.8,11,1.0391666666666666,30,3727.5,2.849270619537065,1232,1,1,0,1
317c0d5ef891b3f58cfd75edf21dda2c442f4d7e,2017-07-05 16:20:39,1,1,1,0.0,1,1,109.0,1,0.033275462962962965,2,3733.0,31.052173913043475,1233,1,0,1,1
680a473a96103a5c8cd6c7726af242daf51d9170,2017-07-06 10:20:08,3,27,47,4.732439023617394,50,1341,-32.872340425531924,9,352.1500731382979,99,1874.0,0.9789365643365908,642,0,0,0,0
968f8b7a525dded9b8540c44520a050b864b08fd,2017-07-06 10:45:48,1,1,1,0.0,5,1,47.0,9,0.017824074074074076,1,1898.0,57.103896103896105,113,0,0,0,0
f5bfcfdde8a0401a8d0925a83741808d91c53930,2017-07-06 13:27:07,3,4,10,2.4526066955118817,110,270,51.6,11,9.895002314814814,112,1903.5,1.934988858001148,645,0,0,0,0
24c6a7228030075bde6f29975336d5ac8d3a6f1a,2017-07-06 18:11:59,3,23,47,3.47768108047818,288,8148,43.80851063829788,11,29.87947301024428,200,1932.0,1.2711912131788474,688,0,1,0,1
050a22c285df2ba6013ebcbb0d532f21efd0c078,2017-07-06 18:40:41,3,6,10,2.5146886655560152,48,70,45.7,11,59.1193877314815,122,1960.5,1.0031017526942358,693,0,1,0,1
d0afb5e2c97537698b33062cfd64831b678360a9,2017-07-06 18:47:58,1,1,1,0.0,0,9,63.0,11,0.0050578703703703706,53,1966.0,198.7116704805492,120,0,0,0,0
25e5f9bdd5d76acfa841bbe4dfe84755adcc2df9,2017-07-07 11:52:42,1,24,39,3.887318231450893,487,358,-109.30769230769228,11,0.8755175688509024,122,3753.0,1.148822804368722,1272,0,1,0,1
98ab492f0de7f7e59cd3db4526d9fcd651180017,2017-07-10 11:56:45,1,2,4,0.7483265504380479,27,4,17.25,11,2.8754050925925925,2,45.5,1.152152474490309,42,0,0,0,0
909b0f85b8bcbdfe048e59b810306e798a360788,2017-07-10 12:51:24,1,16,22,1.3893802102595612,1640,112,98.86363636363636,11,2.1241161616161617,30,3783.5,0.8236382986071252,1294,0,1,0,1
e40c0d9a57b2e52a7152502457cf5f78d92cc333,2017-07-10 13:58:26,1,5,6,2.0198243177245603,160,2,0.0,11,0.007758487654320988,3,3797.5,3.746974970992872,1300,0,1,0,1
e0eb7e2cdfd05679a3e5f3ebe37c84ebba75667c,2017-07-10 16:50:11,1,1,1,0.0,3,3,14.0,11,4.141018518518519,1,1967.0,1.2414864834648838,694,0,0,0,0
9792a74cafd7a7cd0f8daa58bace49f66eef3da8,2017-07-10 17:11:26,1,1,2,0.5225593745369408,39,12,0.5,11,0.1092650462962963,2,48.5,2.7880144060166305,44,0,0,0,0
28d614ce09307cf69976e179ebfbcc61ea06ed6e,2017-07-10 18:07:00,1,1,1,0.0,6,7,14.0,11,0.05334490740740741,2,1968.0,19.74593187242352,695,0,0,0,0
0d0dac87288e03f2792409f69e445f269e28489a,2017-07-10 18:12:39,1,2,2,0.8589810370425963,24,22,56.0,11,0.17653935185185185,2,3801.5,5.248344587949911,1302,0,0,0,1
b44ec3b601556d533f7f15770f8601ecce19f706,2017-07-10 18:14:23,1,1,1,0.0,2,0,24.0,11,0.22429398148148147,4,3803.0,5.458434387739307,1303,1,0,0,1
31ff9dc73545ce154ad6fc907ef5b2431e15d894,2017-07-10 18:18:26,1,2,2,0.904381457724494,25,0,0.0,1,0.0,0,3804.5,0.0,1305,0,1,0,1
ad628f61012972cfe43c6dfcb4e8a8080e8aebe0,2017-07-10 18:33:19,1,23,43,5.426126204466631,647,0,82.95348837209302,11,2.8866941214470283,58,3827.0,1.0372749511181467,1348,1,1,1,1
84a2761dc9f5fbbeb180e6c690c0d9673fe905b8,2017-07-10 18:42:17,1,1,1,0.0,2,2,54.0,11,3.9960532407407414,54,3849.0,1.250246916083288,29,1,0,0,0
