File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
src/REPLICA/verlet_split.cpp,721b312,8.0,34.0,5.0,106.0,367.0,102.0,10.0,10.0,11.0,1.0,48.0,8.0,34.0,5.0,0.0,10.0,575.0,106.0,345.0,56.0,269.0,102.0,0.0,22.0,238.0,337.0,54.0,0.0,283.0,33.0,33.0,35.0,1.0,5.0,0.3,100.0,100.0,105.0,10.0,1.0
src/REPLICA/verlet_split.cpp,afd2f6b,8.0,34.0,5.0,106.0,367.0,102.0,10.0,10.0,11.0,1.0,48.0,8.0,34.0,5.0,0.0,10.0,575.0,106.0,345.0,56.0,269.0,102.0,0.0,22.0,238.0,337.0,54.0,0.0,283.0,33.0,33.0,35.0,1.0,5.0,0.3,100.0,100.0,105.0,10.0,0.0
src/MC/fix_gcmc.cpp,217fdbc,8.0,53.0,1.0,329.0,1674.0,129.0,12.0,12.0,13.0,2.0,63.0,8.0,53.0,1.0,0.0,31.0,2132.0,329.0,1642.0,310.0,1340.0,129.0,0.0,32.0,1168.0,1532.0,303.0,1.0,1228.0,39.0,39.0,54.0,9.0,5.0,0.08,362.0,362.0,408.0,67.0,1.0
src/MC/fix_gcmc.cpp,f03b5a8,9.0,53.0,2.0,332.0,1676.0,134.0,12.0,12.0,13.0,2.0,63.0,9.0,53.0,2.0,0.0,31.0,2142.0,332.0,1644.0,311.0,1342.0,134.0,0.0,32.0,1170.0,1534.0,304.0,1.0,1229.0,39.0,39.0,54.0,9.0,5.0,0.08,362.0,362.0,408.0,67.0,0.0
src/KOKKOS/atom_vec_atomic_kokkos.cpp,616e95e,1.0,22.0,0.0,162.0,1144.0,86.0,4.0,4.0,4.0,1.0,24.0,1.0,22.0,0.0,0.0,47.0,1392.0,162.0,1133.0,351.0,683.0,86.0,0.0,11.0,732.0,909.0,210.0,0.0,699.0,16.0,16.0,16.0,1.0,4.0,0.08,180.0,180.0,183.0,47.0,1.0
src/KOKKOS/atom_vec_full_kokkos.cpp,616e95e,2.0,28.0,0.0,220.0,1993.0,103.0,5.0,5.0,5.0,1.0,30.0,2.0,28.0,0.0,0.0,64.0,2316.0,220.0,1982.0,555.0,1272.0,103.0,0.0,11.0,1372.0,1660.0,309.0,0.0,1351.0,32.0,32.0,32.0,1.0,4.0,0.05,291.0,291.0,294.0,64.0,1.0
src/KOKKOS/atom_vec_charge_kokkos.cpp,616e95e,1.0,22.0,0.0,185.0,1232.0,97.0,4.0,4.0,4.0,1.0,23.0,1.0,22.0,0.0,0.0,52.0,1514.0,185.0,1221.0,380.0,731.0,97.0,0.0,11.0,786.0,975.0,222.0,0.0,753.0,18.0,18.0,18.0,1.0,4.0,0.08,192.0,192.0,195.0,52.0,1.0
src/KOKKOS/atom_vec_molecular_kokkos.cpp,616e95e,2.0,34.0,0.0,211.0,1918.0,102.0,5.0,5.0,5.0,1.0,36.0,2.0,34.0,0.0,0.0,52.0,2231.0,211.0,1907.0,521.0,1236.0,102.0,0.0,11.0,1320.0,1590.0,280.0,0.0,1310.0,31.0,31.0,31.0,1.0,4.0,0.05,273.0,273.0,276.0,52.0,1.0
src/KOKKOS/atom_vec_bond_kokkos.cpp,616e95e,2.0,25.0,0.0,193.0,1421.0,98.0,4.0,4.0,4.0,1.0,27.0,2.0,25.0,0.0,0.0,52.0,1712.0,193.0,1410.0,428.0,862.0,98.0,0.0,11.0,946.0,1163.0,250.0,0.0,913.0,22.0,22.0,22.0,1.0,4.0,0.07,220.0,220.0,223.0,52.0,1.0
src/KOKKOS/atom_vec_angle_kokkos.cpp,616e95e,2.0,28.0,0.0,199.0,1582.0,100.0,5.0,5.0,5.0,1.0,30.0,2.0,28.0,0.0,0.0,52.0,1881.0,199.0,1571.0,464.0,977.0,100.0,0.0,11.0,1060.0,1292.0,259.0,0.0,1033.0,24.0,24.0,24.0,1.0,4.0,0.06,237.0,237.0,240.0,52.0,1.0
