File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
trunk/libmesh/src/parallel/parallel_sort.C,b853e96,4.0,17.0,9.0,76.0,194.0,117.0,2.0,2.0,2.0,1.0,27.0,4.0,17.0,9.0,0.0,5.0,363.0,53.0,100.0,31.0,57.0,69.0,141.0,14.0,39.0,57.0,25.0,0.0,32.0,5.0,5.0,5.0,1.0,2.0,0.69,11.0,11.0,11.0,5.0,1.0
trunk/libmesh/src/parallel/parallel_sort.C,f3f099a,3.0,13.0,8.0,75.0,179.0,111.0,1.0,1.0,1.0,1.0,23.0,1.0,8.0,2.0,0.0,5.0,343.0,42.0,55.0,26.0,16.0,35.0,198.0,17.0,21.0,36.0,20.0,0.0,16.0,2.0,2.0,2.0,1.0,1.0,0.64,7.0,7.0,7.0,5.0,0.0
trunk/libmesh/src/solvers/system_io.C,f3f099a,32.0,86.0,51.0,254.0,613.0,377.0,10.0,10.0,11.0,1.0,167.0,30.0,79.0,50.0,0.0,7.0,1233.0,238.0,553.0,95.0,387.0,368.0,64.0,21.0,371.0,445.0,87.0,14.0,344.0,26.0,26.0,30.0,1.0,6.0,0.67,73.0,73.0,77.0,7.0,1.0
trunk/libmesh/src/solvers/system_io.C,09dd179,32.0,89.0,52.0,254.0,635.0,381.0,10.0,10.0,10.0,1.0,171.0,29.0,75.0,49.0,0.0,7.0,1259.0,232.0,531.0,91.0,369.0,362.0,114.0,31.0,353.0,423.0,83.0,14.0,326.0,22.0,22.0,26.0,1.0,6.0,0.68,69.0,69.0,73.0,7.0,0.0
trunk/libmesh/src/utils/statistics.C,38e15d9,4.0,15.0,1.0,117.0,219.0,42.0,3.0,3.0,3.0,1.0,21.0,4.0,15.0,1.0,0.0,13.0,368.0,117.0,214.0,74.0,119.0,42.0,0.0,5.0,120.0,154.0,59.0,0.0,95.0,8.0,8.0,8.0,4.0,3.0,0.2,34.0,34.0,34.0,16.0,1.0
trunk/libmesh/src/utils/statistics.C,4af3e65,5.0,15.0,3.0,121.0,220.0,61.0,2.0,2.0,2.0,1.0,22.0,5.0,14.0,3.0,0.0,13.0,392.0,120.0,202.0,71.0,107.0,59.0,14.0,7.0,116.0,148.0,59.0,0.0,89.0,6.0,6.0,6.0,5.0,3.0,0.29,32.0,32.0,32.0,17.0,0.0
trunk/libmesh/src/mesh/mesh_refinement.C,ba90b0f,0.0,0.0,0.0,401.0,1324.0,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2129.0,8.0,0.0,0.0,0.0,17.0,2100.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
trunk/libmesh/src/mesh/mesh_refinement.C,c4a1258,0.0,0.0,0.0,402.0,1348.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2159.0,8.0,0.0,0.0,0.0,18.0,2129.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trunk/libmesh/src/mesh/vtk_io.C,e489f58,6.0,36.0,12.0,48.0,290.0,163.0,1.0,1.0,1.0,1.0,52.0,2.0,8.0,2.0,0.0,3.0,475.0,28.0,23.0,3.0,14.0,61.0,344.0,46.0,8.0,11.0,3.0,0.0,8.0,1.0,1.0,1.0,1.0,0.0,2.65,3.0,3.0,3.0,3.0,1.0
trunk/libmesh/src/solvers/continuation_system.C,e489f58,18.0,43.0,37.0,311.0,612.0,543.0,6.0,6.0,7.0,2.0,96.0,18.0,43.0,37.0,0.0,14.0,1434.0,311.0,597.0,101.0,435.0,542.0,5.0,11.0,292.0,375.0,60.0,0.0,315.0,45.0,45.0,54.0,18.0,6.0,0.91,84.0,84.0,93.0,31.0,1.0
