File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,fastread_buggy
src/98_main/abinit.F90,19b440c,46.0,46.0,6.0,602.0,110.0,370.0,130.0,1.0,0.0,1.0,1.0,694.0,113.0,372.0,85.0,256.0,219.0,320.0,65.0,255.0,46.0,46.0,6.0,4.0,0.59,46.0,46.0,6.0,1.0
src/70_gw/calc_sig_ppm_comp.F90,19b440c,11.0,11.0,1.0,85.0,17.0,56.0,22.0,1.0,0.0,1.0,1.0,146.0,20.0,58.0,20.0,37.0,80.0,53.0,16.0,37.0,11.0,11.0,1.0,4.0,1.38,11.0,11.0,1.0,1.0
src/57_iovars/indefo.F90,19b440c,32.0,32.0,1.0,832.0,36.0,678.0,134.0,1.0,0.0,1.0,1.0,878.0,39.0,680.0,16.0,633.0,177.0,662.0,13.0,649.0,32.0,32.0,1.0,3.0,0.26,32.0,32.0,1.0,1.0
src/69_wfdesc/m_wfd.F90,19b440c,8.0,7.0,1.0,70.0,14.0,40.0,17.0,61.0,1.0,1.0,61.0,6649.0,1133.0,2687.0,1072.0,1616.0,2987.0,2521.0,828.0,1693.0,35.0,35.0,6.0,8.0,1.11,489.0,482.0,82.0,1.0
src/72_response/dfpt_scfcv.F90,19b440c,55.0,55.0,6.0,576.0,59.0,415.0,110.0,2.0,0.0,1.0,1.0,1347.0,122.0,833.0,243.0,580.0,411.0,653.0,152.0,501.0,110.0,110.0,12.0,5.0,0.49,110.0,110.0,12.0,1.0
src/56_recipspace/m_skw.F90,19b440c,10.0,10.0,1.0,83.0,13.0,51.0,18.0,9.0,1.0,1.0,9.0,1126.0,177.0,507.0,206.0,300.0,455.0,484.0,136.0,348.0,27.0,27.0,7.0,4.0,0.9,91.0,91.0,15.0,1.0
src/72_response/dfpt_rhotov.F90,19b440c,19.0,19.0,0.0,150.0,18.0,105.0,30.0,2.0,0.0,1.0,1.0,388.0,41.0,213.0,58.0,154.0,145.0,190.0,39.0,151.0,38.0,38.0,1.0,4.0,0.68,38.0,38.0,1.0,1.0
src/56_io_mpi/m_hdr.F90,19b440c,10.0,9.0,2.0,106.0,16.0,71.0,19.0,34.0,1.0,1.0,33.0,4713.0,690.0,2506.0,551.0,1509.0,1574.0,1826.0,334.0,1492.0,129.0,129.0,23.0,4.0,0.63,358.0,339.0,100.0,1.0
src/27_toolbox_oop/m_geometry.F90,19b440c,4.0,3.0,1.0,48.0,9.0,26.0,12.0,9.0,1.0,1.0,9.0,734.0,127.0,260.0,112.0,147.0,363.0,223.0,91.0,132.0,16.0,16.0,3.0,6.0,1.4,40.0,34.0,13.0,1.0
src/69_wfdesc/m_oscillators.F90,19b440c,10.0,9.0,1.0,80.0,12.0,49.0,19.0,8.0,1.0,1.0,8.0,971.0,135.0,412.0,154.0,257.0,437.0,386.0,108.0,278.0,32.0,31.0,1.0,6.0,1.06,84.0,77.0,8.0,1.0
