File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,human_buggy
src/56_recipspace/m_ab7_kpoints.F90,5251cfd,3.0,3.0,1.0,36.0,7.0,23.0,5.0,7.0,1.0,1.0,7.0,475.0,83.0,182.0,113.0,68.0,212.0,162.0,97.0,65.0,5.0,5.0,3.0,1.0,1.16,24.0,24.0,9.0,1.0
src/72_response/redgr.F90,5251cfd,17.0,17.0,1.0,118.0,18.0,74.0,28.0,1.0,0.0,1.0,1.0,169.0,22.0,76.0,23.0,52.0,75.0,69.0,14.0,55.0,17.0,17.0,1.0,5.0,0.99,17.0,17.0,1.0,1.0
src/72_response/corrmetalwf1.F90,5251cfd,9.0,9.0,1.0,119.0,27.0,67.0,29.0,1.0,0.0,1.0,1.0,189.0,30.0,69.0,30.0,38.0,96.0,61.0,23.0,38.0,9.0,9.0,1.0,4.0,1.39,9.0,9.0,1.0,1.0
src/56_xc/mkcore.F90,5251cfd,24.0,24.0,3.0,210.0,31.0,130.0,49.0,5.0,0.0,2.0,5.0,1147.0,155.0,635.0,136.0,497.0,366.0,590.0,100.0,490.0,68.0,68.0,7.0,1.0,0.58,124.0,124.0,15.0,1.0
src/67_common/partial_dos_fractions_paw.F90,5251cfd,53.0,53.0,8.0,312.0,39.0,234.0,53.0,1.0,0.0,1.0,1.0,381.0,42.0,236.0,49.0,186.0,119.0,218.0,33.0,185.0,53.0,53.0,8.0,10.0,0.5,53.0,53.0,8.0,1.0
src/98_main/lapackprof.F90,5251cfd,83.0,83.0,1.0,596.0,94.0,416.0,89.0,1.0,0.0,1.0,1.0,635.0,97.0,418.0,92.0,324.0,125.0,377.0,41.0,336.0,83.0,83.0,1.0,7.0,0.3,83.0,83.0,1.0,1.0
src/67_common/m_plowannier.F90,5251cfd,36.0,36.0,1.0,215.0,30.0,144.0,52.0,11.0,1.0,1.0,11.0,2938.0,451.0,1656.0,365.0,1290.0,966.0,1459.0,219.0,1240.0,255.0,255.0,8.0,12.0,0.58,402.0,402.0,18.0,1.0
src/70_gw/m_screening.F90,5251cfd,10.0,10.0,1.0,104.0,18.0,64.0,24.0,23.0,1.0,1.0,22.0,3429.0,546.0,1580.0,619.0,955.0,1375.0,1353.0,385.0,968.0,56.0,51.0,11.0,5.0,0.87,241.0,231.0,34.0,1.0
src/67_common/m_conducti.F90,5251cfd,25.0,25.0,0.0,286.0,37.0,206.0,48.0,5.0,1.0,1.0,4.0,1723.0,204.0,1059.0,327.0,735.0,489.0,844.0,122.0,722.0,57.0,57.0,1.0,8.0,0.46,129.0,129.0,4.0,1.0
src/69_wfdesc/m_io_kss.F90,5251cfd,17.0,17.0,2.0,206.0,28.0,140.0,52.0,12.0,1.0,1.0,10.0,2783.0,353.0,1604.0,438.0,1028.0,954.0,1237.0,271.0,966.0,106.0,106.0,7.0,6.0,0.59,208.0,207.0,24.0,1.0
src/77_suscep/m_suscep_stat.F90,5251cfd,62.0,62.0,4.0,548.0,70.0,369.0,113.0,3.0,1.0,1.0,3.0,2011.0,226.0,1130.0,310.0,819.0,673.0,941.0,158.0,783.0,72.0,72.0,7.0,10.0,0.6,188.0,188.0,12.0,1.0
src/66_wfs/fock2ACE.F90,5251cfd,20.0,20.0,3.0,201.0,28.0,146.0,29.0,2.0,0.0,1.0,1.0,486.0,59.0,294.0,93.0,200.0,139.0,245.0,58.0,187.0,40.0,40.0,6.0,7.0,0.47,40.0,40.0,6.0,1.0
src/77_ddb/electrooptic.F90,5251cfd,12.0,12.0,2.0,184.0,22.0,137.0,29.0,4.0,0.0,1.0,1.0,817.0,92.0,552.0,136.0,316.0,196.0,398.0,77.0,321.0,51.0,51.0,8.0,6.0,0.36,51.0,51.0,8.0,1.0
