File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
testsuite/MDAnalysisTests/analysis/test_contacts.py,91538dd,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,1.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,605118c,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,0.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,605118c,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,1.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,c4df4b5,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,0.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,c4df4b5,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,1.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,b2262d4,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,0.0
testsuite/MDAnalysisTests/analysis/test_align.py,c853f16,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,3.0,17.0,17.0,189.0,28.0,127.0,42.0,82.0,35.0,0.0,0.0,96.0,34.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.28,17.0,17.0,17.0,17.0,1.0
testsuite/MDAnalysisTests/analysis/test_align.py,16fe0f7,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,3.0,17.0,17.0,191.0,28.0,129.0,42.0,84.0,35.0,0.0,0.0,96.0,34.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.27,17.0,17.0,17.0,17.0,0.0
package/MDAnalysis/core/AtomGroup.py,953c06d,1.0,1.0,1.0,1.0,16.0,2.0,6.0,8.0,8.0,214.0,213.0,4846.0,970.0,1630.0,369.0,1242.0,2282.0,1.0,0.0,1223.0,261.0,962.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,8.0,3.0,1.4,426.0,426.0,426.0,284.0,1.0
package/MDAnalysis/core/AtomGroup.py,da35a5c,1.0,1.0,1.0,1.0,16.0,2.0,6.0,8.0,8.0,214.0,213.0,4846.0,970.0,1630.0,369.0,1242.0,2280.0,1.0,0.0,1223.0,261.0,962.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,8.0,3.0,1.4,426.0,426.0,426.0,284.0,0.0
package/MDAnalysis/topology/GROParser.py,bddbd81,3.0,3.0,3.0,3.0,37.0,4.0,22.0,11.0,1.0,1.0,1.0,84.0,16.0,30.0,8.0,22.0,38.0,0.0,0.0,28.0,8.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.27,3.0,3.0,3.0,3.0,1.0
package/MDAnalysis/topology/GROParser.py,50629b7,3.0,3.0,3.0,3.0,37.0,4.0,22.0,11.0,1.0,1.0,1.0,84.0,16.0,30.0,8.0,22.0,38.0,0.0,0.0,28.0,8.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.27,3.0,3.0,3.0,3.0,0.0
package/MDAnalysis/analysis/align.py,f067101,3.0,3.0,3.0,2.0,74.0,11.0,29.0,42.0,0.0,11.0,10.0,955.0,167.0,283.0,31.0,252.0,517.0,1.0,0.0,238.0,26.0,212.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,7.0,3.0,1.83,43.0,43.0,43.0,26.0,1.0
testsuite/MDAnalysisTests/analysis/test_align.py,f067101,3.0,3.0,3.0,2.0,74.0,11.0,29.0,42.0,0.0,11.0,10.0,955.0,167.0,283.0,31.0,252.0,517.0,1.0,0.0,238.0,26.0,212.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,7.0,3.0,1.83,43.0,43.0,43.0,26.0,1.0
package/MDAnalysis/analysis/contacts.py,f067101,2.0,2.0,2.0,1.0,29.0,4.0,14.0,12.0,3.0,28.0,27.0,1200.0,232.0,397.0,53.0,344.0,589.0,1.0,0.0,364.0,50.0,314.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,5.0,3.0,1.48,82.0,82.0,82.0,46.0,1.0
package/MDAnalysis/analysis/density.py,f067101,2.0,2.0,2.0,1.0,28.0,3.0,13.0,13.0,2.0,22.0,21.0,850.0,160.0,294.0,47.0,247.0,423.0,2.0,0.0,262.0,41.0,221.0,2.0,2.0,2.0,1.0,10.0,10.0,10.0,6.0,3.0,1.44,56.0,56.0,56.0,35.0,1.0
package/MDAnalysis/analysis/gnm.py,f067101,3.0,3.0,3.0,1.0,19.0,1.0,15.0,4.0,2.0,12.0,11.0,352.0,60.0,176.0,19.0,157.0,121.0,1.0,0.0,158.0,19.0,139.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,7.0,0.69,45.0,45.0,45.0,19.0,1.0
testsuite/MDAnalysisTests/analysis/test_gnm.py,f067101,3.0,3.0,3.0,1.0,19.0,1.0,15.0,4.0,2.0,12.0,11.0,352.0,60.0,176.0,19.0,157.0,121.0,1.0,0.0,158.0,19.0,139.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,7.0,0.69,45.0,45.0,45.0,19.0,1.0
package/MDAnalysis/analysis/hbonds/hbond_analysis.py,f067101,3.0,3.0,3.0,1.0,33.0,4.0,17.0,14.0,1.0,24.0,23.0,1205.0,221.0,411.0,41.0,370.0,594.0,1.0,0.0,339.0,36.0,303.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,8.0,6.0,1.45,89.0,89.0,89.0,36.0,1.0
package/MDAnalysis/analysis/helanal.py,f067101,5.0,5.0,5.0,1.0,39.0,5.0,25.0,10.0,0.0,15.0,14.0,738.0,126.0,373.0,28.0,345.0,240.0,1.0,0.0,336.0,23.0,313.0,1.0,1.0,1.0,1.0,38.0,38.0,38.0,8.0,4.0,0.64,78.0,78.0,78.0,27.0,1.0
package/MDAnalysis/analysis/nuclinfo.py,f067101,2.0,2.0,2.0,1.0,36.0,5.0,18.0,13.0,0.0,15.0,15.0,680.0,142.0,274.0,19.0,255.0,264.0,0.0,0.0,176.0,18.0,158.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,2.0,0.96,43.0,43.0,43.0,15.0,1.0
package/MDAnalysis/analysis/rms.py,f067101,4.0,4.0,4.0,2.0,48.0,6.0,24.0,23.0,2.0,9.0,8.0,614.0,108.0,210.0,22.0,188.0,297.0,1.0,0.0,156.0,18.0,138.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,42.0,42.0,42.0,24.0,1.0
testsuite/MDAnalysisTests/analysis/test_rms.py,f067101,4.0,4.0,4.0,2.0,48.0,6.0,24.0,23.0,2.0,9.0,8.0,614.0,108.0,210.0,22.0,188.0,297.0,1.0,0.0,156.0,18.0,138.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,42.0,42.0,42.0,24.0,1.0
package/MDAnalysis/coordinates/CRD.py,f067101,3.0,3.0,3.0,2.0,19.0,1.0,12.0,7.0,2.0,7.0,7.0,213.0,34.0,108.0,13.0,95.0,84.0,0.0,0.0,90.0,12.0,78.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,4.0,0.78,23.0,23.0,23.0,14.0,1.0
package/MDAnalysis/coordinates/GRO.py,f067101,3.0,3.0,3.0,1.0,27.0,3.0,16.0,9.0,3.0,7.0,7.0,323.0,56.0,141.0,20.0,121.0,136.0,0.0,0.0,105.0,18.0,87.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,5.0,3.0,0.96,26.0,26.0,26.0,11.0,1.0
package/MDAnalysis/coordinates/MOL2.py,f067101,2.0,2.0,2.0,1.0,18.0,2.0,12.0,3.0,2.0,10.0,10.0,310.0,54.0,139.0,17.0,122.0,120.0,0.0,0.0,112.0,16.0,96.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,3.0,0.86,24.0,24.0,24.0,17.0,1.0
package/MDAnalysis/coordinates/PDBQT.py,f067101,2.0,2.0,2.0,1.0,14.0,1.0,9.0,5.0,2.0,13.0,13.0,372.0,51.0,138.0,23.0,115.0,202.0,0.0,0.0,118.0,21.0,97.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.46,28.0,28.0,28.0,17.0,1.0
package/MDAnalysis/coordinates/PQR.py,f067101,2.0,2.0,2.0,1.0,15.0,1.0,8.0,7.0,2.0,8.0,8.0,272.0,51.0,83.0,14.0,69.0,150.0,0.0,0.0,73.0,14.0,59.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,1.0,4.0,1.81,18.0,18.0,18.0,8.0,1.0
package/MDAnalysis/core/AtomGroup.py,f067101,1.0,1.0,1.0,1.0,16.0,2.0,6.0,8.0,8.0,214.0,213.0,4846.0,970.0,1630.0,369.0,1242.0,2282.0,1.0,0.0,1223.0,261.0,962.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,8.0,3.0,1.4,426.0,426.0,426.0,284.0,1.0
