File,Hash,age,entrophy,exp,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp,Bugs
src/77_ddb/get_all_gkr.F90,5251cfd87d88f72d69bbf9d8c5b83d170ca8e6f8,28.896732253086423,0.19166534529628615,7265.0,0,0,143,143,1,30,1,3,1.011539911863353,0,0
src/77_ddb/m_elphon.F90,5251cfd87d88f72d69bbf9d8c5b83d170ca8e6f8,28.896732253086423,0.3939118187879755,7265.0,0,10,13,2545,1,30,1,14,1.011539911863353,0,0
src/77_ddb/m_iogkk.F90,5251cfd87d88f72d69bbf9d8c5b83d170ca8e6f8,28.896732253086423,0.044213798158527266,7265.0,0,1,0,450,1,30,1,3,1.011539911863353,0,0
src/41_geometry/m_dynmat.F90,e0097ed202c97079858a3afed3aa1ab48998033d,7.628807870370371,0.0,7788.0,1,13,6,6273,1,30,1,54,1.1310820795322312,0,1
src/41_geometry/m_dynmat.F90,5fc1b012a350d3fd9e545c508be6463e749bbf11,0.016481481481481482,0.0,7851.0,1,1,1,6280,1,30,1,55,61.674157303370784,0,1
src/44_abitypes_defs/defs_abitypes.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.05435059887925003,437.0,0,1,0,1841,4,30,1,59,1.0156711393660638,0,0
src/44_abitypes_defs/m_dtset.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.05435059887925003,437.0,0,1,0,749,4,30,1,5,1.0156711393660638,0,0
src/45_geomoptim/pred_hmc.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.5138517918086348,437.0,0,29,7,274,4,30,1,16,1.0156711393660638,0,0
src/45_geomoptim/pred_velverlet.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.478359886311924,437.0,0,15,13,279,4,30,1,14,1.0156711393660638,0,0
src/57_iovars/chkvars.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.0931973217895078,437.0,0,1,1,415,4,30,1,66,1.0156711393660638,0,0
src/57_iovars/indefo.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.05435059887925003,437.0,0,1,0,890,4,30,1,65,1.0156711393660638,0,0
src/57_iovars/invars2.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.1261922035977232,437.0,0,3,0,3086,4,30,1,97,1.0156711393660638,0,0
src/57_iovars/outvar_a_h.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.1261922035977232,437.0,0,3,0,1202,4,30,1,37,1.0156711393660638,0,0
src/95_drive/mover.F90,b149dc5449fdbbe79c0c2e42dd738fc9067f3e3a,15.863335905349793,0.5259096641552591,437.0,0,49,5,1326,4,30,1,79,1.0156711393660638,0,0
src/57_iovars/invars2.F90,b188c9ece8994a73b88613d168c1418cfafa908e,0.09929398148148148,0.0,7854.0,1,2,2,3089,1,30,1,98,11.071103858258539,0,1
src/67_common/chern_number.F90,34fee28d7c0e8c375cb940094fb7244063d8295b,0.04311342592592592,0.0,157.0,0,49,43,524,1,30,1,14,24.194630872483224,0,0
scripts/post_processing/Raman_spec.py,1cd4e40295f355f0c2d45d7c98a7614d0e543ad2,172.94287037037037,0.0,11.0,1,56,63,847,1,2,1,4,1.0057822562899437,0,1
src/53_ffts/m_fft.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,1,0,3695,10,30,1,16,5.72803599947997,0,1
src/56_io_mpi/m_rwwf.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.2719539230041146,7436.5,1,3,1,0,10,30,1,0,5.72803599947997,0,1
src/62_iowfdenpot/WffReadSkipK.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,98,10,30,1,6,5.72803599947997,0,1
src/62_iowfdenpot/m_wfk.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,5235,10,30,1,18,5.72803599947997,0,1
src/65_paw/transgrid.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,371,10,30,1,7,5.72803599947997,0,1
src/67_common/m_iowf.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,1567,10,30,1,17,5.72803599947997,0,1
src/67_common/newkpt.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,635,10,30,1,12,5.72803599947997,0,1
src/67_common/uderiv.F90,1a98cf30cb8ba92a2d1cff9165135c76a007e077,2.6879173900462963,0.10370276646531436,7436.5,1,0,1,793,10,30,1,8,5.72803599947997,0,1
