File,Hash,age,entrophy,exp,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp,Bugs
src/KOKKOS/pair_buck_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,517,1,5,1,1,1.0046720664283595,0,1
src/KOKKOS/pair_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,456,1,5,1,1,1.0046720664283595,0,1
src/KOKKOS/pair_lj_charmm_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,534,1,5,1,1,1.0046720664283595,0,1
src/KOKKOS/pair_lj_class2_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,503,1,5,1,1,1.0046720664283595,0,1
src/KOKKOS/pair_lj_cut_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,494,1,5,1,2,1.0046720664283595,0,1
src/KOKKOS/pair_buck_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,517,1,5,1,1,1.0046720664283595,0,0
src/KOKKOS/pair_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,456,1,5,1,1,1.0046720664283595,0,0
src/KOKKOS/pair_lj_charmm_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,534,1,5,1,1,1.0046720664283595,0,0
src/KOKKOS/pair_lj_class2_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,503,1,5,1,1,1.0046720664283595,0,0
src/KOKKOS/pair_lj_cut_coul_long_kokkos.cpp,721b312498d6775131664829803b56e055b14da1,119.18116435185183,0.46438561897747244,89.0,1,1,1,494,1,5,1,2,1.0046720664283595,0,0
src/REPLICA/verlet_split.cpp,afd2f6bde8179262b03f1fab561d0cf9f9bf4e67,211.5685648148148,0.0,92.0,1,1,1,575,1,5,1,11,1.0047266001018407,0,1
src/REPLICA/verlet_split.cpp,afd2f6bde8179262b03f1fab561d0cf9f9bf4e67,211.5685648148148,0.0,92.0,1,1,1,575,1,5,1,11,1.0047266001018407,0,0
src/KOKKOS/pair_lj_charmm_coul_charmm_implicit_kokkos.cpp,fe0bf706ece150777af2edb061720f15a97f707c,64.2268287037037,0.5283208335737187,94.0,1,3,0,513,1,5,1,1,1.0069245081976923,0,1
src/KOKKOS/pair_lj_charmm_coul_charmm_kokkos.cpp,fe0bf706ece150777af2edb061720f15a97f707c,64.2268287037037,0.5283208335737187,94.0,1,3,0,515,1,5,1,1,1.0069245081976923,0,1
src/KOKKOS/pair_lj_charmm_coul_long_kokkos.cpp,fe0bf706ece150777af2edb061720f15a97f707c,64.2268287037037,0.5283208335737187,94.0,1,3,0,534,1,5,1,2,1.0069245081976923,0,1
src/USER-REAXC/pair_reax_c.cpp,217fdbc36076e051829a8a3cffa580f32e1955e3,699.9577276234568,0.3642688077115922,1726.6666666666667,0,10,1,825,1,5,1,51,1.669971392318579,0,0
src/USER-REAXC/reaxc_ffield.cpp,217fdbc36076e051829a8a3cffa580f32e1955e3,699.9577276234568,0.3459387866903946,1726.6666666666667,0,1,9,700,1,5,1,8,1.669971392318579,0,0
src/USER-REAXC/reaxc_tool_box.cpp,217fdbc36076e051829a8a3cffa580f32e1955e3,699.9577276234568,0.28585843328958893,1726.6666666666667,0,0,72,313,1,5,1,11,1.669971392318579,0,0
src/MC/fix_gcmc.cpp,f03b5a8036facf63d43d9c739b296f5365e8f3b1,99.84379629629629,0.0,2079.0,1,86,76,2132,1,5,1,63,2.0300891314263962,0,1
src/KOKKOS/atom_vec_angle_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4447777199392951,99.5,1,7,0,1881,1,5,1,4,1.002760029115238,0,1
src/KOKKOS/atom_vec_atomic_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.37993257999678026,99.5,1,5,0,1392,1,5,1,4,1.002760029115238,0,1
src/KOKKOS/atom_vec_bond_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.37993257999678026,99.5,1,4,1,1712,1,5,1,4,1.002760029115238,0,1
src/KOKKOS/atom_vec_charge_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4154522643293988,99.5,1,6,0,1514,1,5,1,3,1.002760029115238,0,1
src/KOKKOS/atom_vec_full_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4688004551512305,99.5,1,8,0,2316,1,5,1,4,1.002760029115238,0,1
src/KOKKOS/atom_vec_molecular_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4688004551512305,99.5,1,8,0,2231,1,5,1,4,1.002760029115238,0,1
src/KOKKOS/atom_vec_angle_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4447777199392951,99.5,1,7,0,1881,1,5,1,4,1.002760029115238,0,0
src/KOKKOS/atom_vec_atomic_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.37993257999678026,99.5,1,5,0,1392,1,5,1,4,1.002760029115238,0,0
src/KOKKOS/atom_vec_bond_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.37993257999678026,99.5,1,4,1,1712,1,5,1,4,1.002760029115238,0,0
src/KOKKOS/atom_vec_charge_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4154522643293988,99.5,1,6,0,1514,1,5,1,3,1.002760029115238,0,0
src/KOKKOS/atom_vec_full_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4688004551512305,99.5,1,8,0,2316,1,5,1,4,1.002760029115238,0,0
src/KOKKOS/atom_vec_molecular_kokkos.cpp,42ef87755e82549f4c5530e7d308528668dae915,165.24650077160493,0.4688004551512305,99.5,1,8,0,2231,1,5,1,4,1.002760029115238,0,0
src/KOKKOS/neighbor_kokkos.cpp,6d665f1860ee3fd5fb7c578abbb6659476c04902,89.77564814814815,0.0,133.0,1,2,2,597,1,5,1,5,1.0111388780880735,0,1
src/MC/fix_gcmc.cpp,354ee97d351e73631c471f20dec4f615db6ca73a,557.7299247685185,0.5163871205878868,1590.0,1,1,1,2201,3,5,1,67,1.5210688421144782,0,1
src/neighbor.cpp,354ee97d351e73631c471f20dec4f615db6ca73a,557.7299247685185,0.3467334479787441,1590.0,1,5,0,2134,3,5,1,127,1.5210688421144782,0,1
src/MC/fix_gcmc.cpp,4b03a29c04e5430290dec74015d190ffc381c1dc,8.161886574074074,0.0,1063.0,1,8,3,2201,1,5,1,68,1.122520693092754,0,1
tools/python/pizza/dump.py,24bf97204bbf7f71a2a8659e547043742addea81,1966.0763657407408,0.04024766528432096,68840.0,0,256,156,1231,1,1,1,5,1.0003425370132928,0,0
tools/python/pizza/gnu.py,24bf97204bbf7f71a2a8659e547043742addea81,1966.0763657407408,0.03645245497435472,68840.0,0,1,1,383,1,1,1,1,1.0003425370132928,0,0
tools/python/pizza/log.py,24bf97204bbf7f71a2a8659e547043742addea81,1966.0763657407408,0.12749981980367542,68840.0,0,4,6,338,1,1,1,3,1.0003425370132928,0,0
lib/h5md/src/ch5md.c,3e90c3eeabdbc3d1df952a0f3714eb57b2b7ab66,0.01915509259259259,0.0,491617.0,0,436,0,0,4,5,1,0,372.43806646525684,0,0
src/lammps.cpp,31318401b6ca6c90c33eda2cad78472e9316bd82,2.5770833333333334,0.0,70644.0,0,7,8,937,1,5,1,86,1.3880355699272433,0,0
src/USER-OMP/thr_omp.cpp,14554c93af5a74b6eac4df4adb8e9badb095256e,2.655625,0.0,660.0,1,1,0,1191,1,5,1,21,1.3765591903977406,0,1
src/USER-OMP/thr_omp.cpp,14554c93af5a74b6eac4df4adb8e9badb095256e,2.655625,0.0,660.0,1,1,0,1191,1,5,1,21,1.3765591903977406,0,0
src/USER-FEP/compute_fep.cpp,5c5df89564866a3933cd31f5b1bc93d79e47affe,2.8382407407407406,0.0,661.0,1,1,1,660,1,5,1,4,1.352330930088409,0,1
python/lammps.py,ae980d6fd1f7409c965cb0115849bd8118ee2995,76.27173611111111,0.0,212106.0,0,5,2,190,3,5,3,15,4323.083496204451,0,1
