File,Hash,age,entrophy,exp,fix,la,ld,lt,nd,ndev,ns,nuc,rexp,sexp,Bugs
examples/bb_dihe.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.37864098922072037,30.5,0,27,0,0,1,1,1,0,0.0,0,0
examples/schlitter.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.5,30.5,0,53,0,0,1,1,1,0,0.0,0,0
examples/test_recenter.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.5202508050530321,30.5,0,94,0,0,1,1,1,0,0.0,0,0
examples/test_rmsfit.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.3636868236778862,30.5,0,25,0,0,1,1,1,0,0.0,0,0
examples/time_recenter.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.06347094768455848,30.5,0,2,0,0,1,1,1,0,0.0,0,0
examples/water.py,eaccb2eb8c2cbb640a4f731b5dda163732d727ac,0.0,0.22147819431691,30.5,0,11,0,0,1,1,1,0,0.0,0,0
python/DCD.py,2a8eb95c4c157c01d1e70cc0487af31e63ab32a9,0.00032407407407407406,0.0,34.0,1,1,1,252,1,1,1,1,3086.714285714286,0,1
python/DCD.py,2a8eb95c4c157c01d1e70cc0487af31e63ab32a9,0.00032407407407407406,0.0,34.0,1,1,1,252,1,1,1,1,3086.714285714286,0,0
python/AtomGroup.py,50d16d939cf67fb25e95db5b01f85e2587f14f6e,0.0004050925925925926,0.0,35.0,1,1,2,308,1,1,1,1,2469.5714285714284,0,1
python/AtomGroup.py,50d16d939cf67fb25e95db5b01f85e2587f14f6e,0.0004050925925925926,0.0,35.0,1,1,2,308,1,1,1,1,2469.5714285714284,0,0
python/AtomGroup.py,86f4d4b56656ee051cbbff29726f7cde0ae3ac1e,8.101851851851852e-05,0.0,36.0,0,7,4,307,1,1,1,2,12343.857142857143,0,1
python/PSFParser.py,17ad3fecab28f74c1020978661a5ce1f4243f230,8.101851851851852e-05,0.0,62.0,0,8,4,134,1,1,1,2,12343.857142857143,0,0
python/AtomGroup.py,fd540ca83f91ab7f578a02a399b3d5204b6c7d93,0.000462962962962963,0.0,63.0,1,4,4,318,1,1,1,4,2161.0,0,1
python/AtomGroup.py,fd540ca83f91ab7f578a02a399b3d5204b6c7d93,0.000462962962962963,0.0,63.0,1,4,4,318,1,1,1,4,2161.0,0,0
src/dcd/dcd.c,9200719c0d79a53fddf3cfa1d25ce7384653009e,0.0014814814814814814,0.0,65.0,1,2,1,923,1,1,1,1,676.0,0,1
python/DCD.py,23194312889992a1fc2a5ec0b196681cfc74855b,0.0004861111111111111,0.0,66.0,0,1,1,259,1,1,1,6,2058.1428571428573,0,0
python/AtomGroup.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.48220555587606945,68.0,1,1,1,318,1,1,1,5,1627.2020905923346,0,1
python/PSFParser.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.5199666673076944,68.0,1,2,2,138,1,1,1,3,1627.2020905923346,0,1
python/Selection.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.5283208335737187,68.0,1,2,1,501,1,1,1,1,1627.2020905923346,0,1
python/AtomGroup.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.48220555587606945,68.0,1,1,1,318,1,1,1,5,1627.2020905923346,0,0
python/PSFParser.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.5199666673076944,68.0,1,2,2,138,1,1,1,3,1627.2020905923346,0,0
python/Selection.py,c88e3fe409dc18276848247043f29f353274f1b2,0.0007908950617283951,0.5283208335737187,68.0,1,2,1,501,1,1,1,1,1627.2020905923346,0,0
python/Timeseries.py,b3f6a4ee0951056ccdbb68de85a9ff7970904336,0.0005671296296296297,0.0,70.0,1,26,30,93,1,1,1,4,1764.265306122449,0,1
python/Timeseries.py,b3f6a4ee0951056ccdbb68de85a9ff7970904336,0.0005671296296296297,0.0,70.0,1,26,30,93,1,1,1,4,1764.265306122449,0,0
