File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
lib/atc/FE_Element.cpp,1f6484a,1.0,15.0,3.0,75.0,548.0,130.0,2.0,2.0,3.0,1.0,19.0,1.0,15.0,3.0,0.0,35.0,747.0,75.0,540.0,179.0,301.0,130.0,0.0,8.0,389.0,481.0,110.0,0.0,371.0,13.0,13.0,15.0,5.0,3.0,0.24,87.0,87.0,94.0,50.0,1.0
lib/atc/FE_Mesh.cpp,1f6484a,2.0,24.0,4.0,254.0,2237.0,576.0,5.0,5.0,6.0,1.0,29.0,2.0,24.0,4.0,0.0,94.0,3045.0,254.0,2225.0,749.0,1384.0,576.0,0.0,12.0,1457.0,1966.0,625.0,0.0,1341.0,34.0,34.0,54.0,10.0,6.0,0.26,505.0,505.0,596.0,148.0,1.0
lib/atc/FE_Element.cpp,68c5f66,1.0,15.0,3.0,75.0,530.0,128.0,2.0,2.0,3.0,1.0,18.0,1.0,15.0,3.0,0.0,35.0,727.0,75.0,522.0,172.0,284.0,128.0,0.0,8.0,373.0,463.0,103.0,0.0,360.0,13.0,13.0,15.0,5.0,3.0,0.25,85.0,85.0,92.0,50.0,0.0
lib/atc/FE_Mesh.cpp,68c5f66,2.0,23.0,4.0,253.0,2231.0,576.0,5.0,5.0,6.0,1.0,29.0,2.0,23.0,4.0,0.0,94.0,3038.0,253.0,2219.0,748.0,1379.0,576.0,0.0,12.0,1453.0,1960.0,624.0,0.0,1336.0,34.0,34.0,54.0,10.0,6.0,0.26,503.0,503.0,594.0,148.0,0.0
src/version.h,1ea4bc8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/version.h,3d16253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/variable.cpp,bf901f1,13.0,79.0,6.0,590.0,3142.0,456.0,26.0,26.0,32.0,7.0,98.0,13.0,79.0,6.0,0.0,39.0,4177.0,590.0,3107.0,413.0,2686.0,456.0,0.0,35.0,2090.0,3114.0,395.0,3.0,2716.0,177.0,177.0,223.0,87.0,6.0,0.15,1030.0,1030.0,1253.0,282.0,1.0
src/variable.cpp,6a4a750,13.0,80.0,6.0,590.0,3152.0,456.0,27.0,27.0,32.0,7.0,98.0,13.0,80.0,6.0,0.0,39.0,4187.0,590.0,3117.0,413.0,2694.0,456.0,0.0,35.0,2095.0,3123.0,395.0,3.0,2725.0,177.0,177.0,223.0,87.0,6.0,0.15,1034.0,1034.0,1257.0,283.0,0.0
src/KOKKOS/verlet_kokkos.cpp,7e1c6cc,16.0,51.0,8.0,92.0,282.0,69.0,17.0,17.0,17.0,1.0,75.0,16.0,51.0,8.0,0.0,5.0,443.0,92.0,258.0,30.0,209.0,69.0,0.0,24.0,200.0,283.0,28.0,0.0,255.0,28.0,28.0,28.0,1.0,4.0,0.27,84.0,84.0,86.0,5.0,1.0
src/KOKKOS/verlet_kokkos.cpp,b9eb6f0,15.0,46.0,8.0,88.0,255.0,69.0,14.0,14.0,14.0,1.0,69.0,15.0,46.0,8.0,0.0,5.0,412.0,88.0,231.0,24.0,188.0,69.0,0.0,24.0,173.0,241.0,22.0,0.0,219.0,24.0,24.0,25.0,1.0,4.0,0.3,69.0,69.0,71.0,5.0,0.0
src/MOLECULE/improper_umbrella.cpp,5e1cc8e,5.0,25.0,2.0,62.0,216.0,43.0,5.0,5.0,5.0,1.0,32.0,5.0,25.0,2.0,0.0,8.0,321.0,62.0,201.0,30.0,157.0,43.0,0.0,15.0,151.0,187.0,31.0,0.0,156.0,19.0,19.0,25.0,1.0,3.0,0.21,36.0,36.0,42.0,8.0,1.0
src/MOLECULE/improper_umbrella.cpp,abf9165,5.0,25.0,2.0,62.0,216.0,43.0,5.0,5.0,5.0,1.0,32.0,5.0,25.0,2.0,0.0,8.0,321.0,62.0,201.0,30.0,157.0,43.0,0.0,15.0,151.0,187.0,31.0,0.0,156.0,19.0,19.0,25.0,1.0,3.0,0.21,36.0,36.0,42.0,8.0,0.0
src/version.h,035d2f9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/version.h,02fcb96,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/USER-REAXC/reaxc_torsion_angles.cpp,9947eb7,35.0,167.0,22.0,75.0,341.0,68.0,13.0,13.0,19.0,1.0,216.0,35.0,167.0,22.0,0.0,2.0,469.0,75.0,334.0,56.0,270.0,68.0,0.0,7.0,244.0,269.0,46.0,0.0,223.0,17.0,17.0,26.0,1.0,10.0,0.2,25.0,25.0,38.0,2.0,1.0
src/USER-REAXC/reaxc_bonds.cpp,9947eb7,13.0,75.0,7.0,15.0,81.0,32.0,8.0,8.0,12.0,1.0,95.0,13.0,75.0,7.0,0.0,1.0,128.0,15.0,75.0,14.0,54.0,32.0,0.0,6.0,53.0,61.0,12.0,0.0,49.0,8.0,8.0,12.0,1.0,6.0,0.43,8.0,8.0,12.0,1.0,1.0
src/USER-REAXC/reaxc_torsion_angles.cpp,1ff3afc,35.0,172.0,22.0,76.0,350.0,68.0,15.0,15.0,23.0,4.0,221.0,35.0,172.0,22.0,0.0,2.0,479.0,76.0,343.0,56.0,278.0,68.0,0.0,7.0,248.0,278.0,46.0,0.0,232.0,22.0,22.0,34.0,8.0,10.0,0.2,30.0,30.0,46.0,9.0,0.0
src/USER-REAXC/reaxc_bonds.cpp,1ff3afc,14.0,83.0,7.0,16.0,89.0,32.0,12.0,12.0,19.0,8.0,104.0,14.0,83.0,7.0,0.0,1.0,137.0,16.0,83.0,14.0,62.0,32.0,0.0,6.0,57.0,69.0,12.0,0.0,57.0,12.0,12.0,19.0,8.0,5.0,0.39,12.0,12.0,19.0,8.0,0.0
