File,index,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,fastread_bugs,keyword_bugs,human_bugs
abinit/src/67_common/mag_constr.F90,0,19.0,19.0,9.0,235.0,38.0,137.0,66.0,1.0,0.0,1.0,1.0,289.0,42.0,139.0,44.0,94.0,116.0,132.0,41.0,91.0,19.0,19.0,9.0,7.0,0.83,19.0,19.0,9.0,21,22,15
abinit/src/66_wfs/dotprodm_sumdiag_cgcprj.F90,2,28.0,28.0,1.0,192.0,30.0,138.0,30.0,1.0,0.0,1.0,1.0,267.0,33.0,140.0,37.0,102.0,102.0,117.0,25.0,92.0,28.0,28.0,1.0,9.0,0.73,28.0,28.0,1.0,13,13,10
abinit/src/95_drive/bethe_salpeter.F90,3,53.0,51.0,1.0,933.0,133.0,602.0,235.0,1.0,0.0,1.0,1.0,1026.0,136.0,604.0,243.0,351.0,325.0,477.0,134.0,343.0,53.0,51.0,1.0,4.0,0.54,53.0,51.0,1.0,17,17,13
abinit/src/51_manage_mpi/initmpi_pert.F90,4,15.0,15.0,1.0,104.0,15.0,73.0,19.0,1.0,0.0,1.0,1.0,144.0,19.0,75.0,27.0,47.0,55.0,68.0,16.0,52.0,15.0,15.0,1.0,5.0,0.73,15.0,15.0,1.0,14,14,11
abinit/src/64_psp/psp3in.F90,5,34.0,34.0,4.0,259.0,35.0,190.0,33.0,3.0,0.0,2.0,2.0,896.0,110.0,574.0,80.0,492.0,215.0,497.0,46.0,451.0,56.0,56.0,12.0,5.0,0.37,102.0,102.0,13.0,14,14,9
abinit/src/56_recipspace/m_nesting.F90,6,8.0,8.0,3.0,102.0,19.0,63.0,26.0,3.0,1.0,1.0,3.0,466.0,77.0,208.0,95.0,112.0,203.0,184.0,72.0,112.0,9.0,9.0,7.0,5.0,0.98,25.0,25.0,9.0,2,1,1
abinit/src/57_iovars/outvars.F90,7,22.0,22.0,0.0,156.0,21.0,109.0,27.0,2.0,0.0,1.0,1.0,386.0,46.0,220.0,39.0,156.0,125.0,180.0,31.0,149.0,44.0,44.0,1.0,5.0,0.57,44.0,44.0,1.0,13,12,10
abinit/src/56_recipspace/get_full_kgrid.F90,8,3.0,3.0,0.0,40.0,9.0,22.0,10.0,2.0,0.0,1.0,1.0,132.0,22.0,47.0,24.0,22.0,69.0,42.0,21.0,21.0,7.0,7.0,1.0,4.0,1.47,7.0,7.0,1.0,17,17,13
abinit/src/78_eph/m_phpi.F90,9,13.0,13.0,6.0,208.0,44.0,125.0,43.0,3.0,1.0,1.0,3.0,795.0,155.0,419.0,180.0,206.0,238.0,325.0,108.0,217.0,37.0,37.0,17.0,6.0,0.57,40.0,40.0,19.0,16,16,13
abinit/src/12_hide_mpi/xmpi_isum.finc,10,1.0,1.0,1.0,39.0,8.0,17.0,14.0,1.0,0.0,1.0,1.0,80.0,11.0,17.0,8.0,3.0,52.0,12.0,8.0,4.0,1.0,1.0,1.0,0.0,3.06,1.0,1.0,1.0,0,0,0
abinit/src/67_common/mlwfovlp_ylmfac.F90,11,23.0,23.0,5.0,223.0,28.0,139.0,72.0,1.0,0.0,1.0,1.0,282.0,32.0,141.0,28.0,112.0,127.0,135.0,26.0,109.0,23.0,23.0,5.0,3.0,0.9,23.0,23.0,5.0,12,11,8
abinit/src/62_ctqmc/m_MatrixHyb.F90,12,5.0,5.0,1.0,42.0,5.0,27.0,9.0,10.0,1.0,1.0,10.0,838.0,81.0,306.0,104.0,165.0,453.0,314.0,103.0,211.0,13.0,13.0,1.0,3.0,1.48,59.0,58.0,10.0,2,1,1
abinit/src/70_gw/calc_sigx_me.F90,14,99.0,98.0,10.0,708.0,88.0,507.0,131.0,1.0,0.0,1.0,1.0,811.0,91.0,509.0,171.0,337.0,231.0,443.0,89.0,354.0,99.0,98.0,10.0,8.0,0.45,99.0,98.0,10.0,18,18,13
abinit/src/12_hide_mpi/xmpi_send.finc,15,1.0,1.0,1.0,36.0,9.0,14.0,13.0,9.0,0.0,9.0,9.0,560.0,99.0,126.0,56.0,9.0,335.0,65.0,56.0,9.0,1.0,1.0,1.0,0.0,2.66,9.0,9.0,9.0,0,0,0
abinit/src/10_defs/defs_fftdata.F90,16,5.0,5.0,3.0,51.0,12.0,29.0,10.0,1.0,1.0,1.0,1.0,219.0,23.0,135.0,112.0,22.0,64.0,41.0,23.0,18.0,5.0,5.0,3.0,2.0,0.47,5.0,5.0,3.0,3,2,2
abinit/src/67_common/calc_efg.F90,17,7.0,7.0,0.0,123.0,11.0,95.0,22.0,2.0,0.0,1.0,1.0,314.0,25.0,193.0,56.0,136.0,110.0,171.0,41.0,130.0,15.0,15.0,1.0,4.0,0.57,15.0,15.0,1.0,2,1,1
abinit/src/28_numeric_noabirule/m_numeric_tools.F90,18,4.0,4.0,1.0,46.0,9.0,24.0,12.0,95.0,1.0,1.0,100.0,6848.0,1242.0,2510.0,1056.0,1453.0,3218.0,2494.0,950.0,1544.0,35.0,29.0,29.0,5.0,1.28,442.0,416.0,181.0,23,25,15
abinit/src/52_fft_mpi_noabirule/m_fftw3.F90,19,2.0,2.0,1.0,113.0,21.0,64.0,29.0,46.0,1.0,1.0,46.0,8126.0,1345.0,3322.0,629.0,205.0,3581.0,650.0,436.0,214.0,32.0,26.0,1.0,5.0,1.08,103.0,93.0,46.0,21,21,17
abinit/src/41_xc_lowlevel/invcb.F90,20,6.0,6.0,5.0,71.0,10.0,37.0,24.0,1.0,0.0,1.0,1.0,109.0,14.0,39.0,14.0,24.0,58.0,38.0,13.0,25.0,6.0,6.0,5.0,4.0,1.49,6.0,6.0,5.0,18,18,11
abinit/src/45_geomoptim/predict_neb.F90,21,30.0,30.0,1.0,258.0,25.0,200.0,51.0,1.0,0.0,1.0,1.0,326.0,28.0,202.0,64.0,137.0,116.0,163.0,27.0,136.0,30.0,30.0,1.0,5.0,0.57,30.0,30.0,1.0,20,20,13
abinit/src/57_iovars/mpi_setup.F90,22,75.0,75.0,6.0,438.0,54.0,327.0,64.0,2.0,0.0,1.0,1.0,928.0,112.0,657.0,99.0,532.0,176.0,586.0,45.0,541.0,150.0,150.0,12.0,8.0,0.27,150.0,150.0,12.0,25,28,19
abinit/src/56_xc/gammapositron_fft.F90,23,2.0,2.0,0.0,37.0,7.0,21.0,9.0,2.0,0.0,1.0,1.0,131.0,17.0,45.0,28.0,16.0,71.0,37.0,18.0,19.0,5.0,5.0,1.0,2.0,1.58,5.0,5.0,1.0,13,13,10
abinit/src/68_lotf/m_lotf.F90,24,8.0,8.0,1.0,100.0,21.0,55.0,25.0,13.0,1.0,1.0,13.0,1638.0,308.0,749.0,236.0,513.0,611.0,689.0,196.0,493.0,59.0,59.0,7.0,7.0,0.82,105.0,105.0,22.0,2,1,1
abinit/src/42_libpaw/libpaw.h,25,1.0,1.0,1.0,194.0,36.0,72.0,89.0,1.0,0.0,1.0,1.0,194.0,36.0,72.0,27.0,9.0,89.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.24,1.0,1.0,1.0,2,1,1
abinit/src/67_common/spatialchempot.F90,26,6.0,6.0,4.0,110.0,19.0,41.0,50.0,1.0,0.0,1.0,1.0,152.0,22.0,43.0,13.0,29.0,89.0,48.0,12.0,36.0,6.0,6.0,4.0,3.0,2.07,6.0,6.0,4.0,14,14,9
abinit/src/65_paw/m_pawpwij.F90,27,9.0,8.0,1.0,106.0,18.0,63.0,28.0,9.0,1.0,1.0,9.0,1401.0,226.0,620.0,239.0,380.0,603.0,555.0,166.0,389.0,31.0,30.0,8.0,7.0,0.97,83.0,77.0,16.0,15,15,12
abinit/src/77_ddb/mka2fQgrid.F90,28,14.0,14.0,6.0,181.0,42.0,117.0,42.0,1.0,0.0,1.0,1.0,221.0,45.0,119.0,34.0,84.0,79.0,94.0,18.0,76.0,14.0,14.0,6.0,5.0,0.66,14.0,14.0,6.0,17,17,13
abinit/src/65_paw/setrhoijpbe0.F90,29,58.0,58.0,5.0,319.0,47.0,224.0,56.0,1.0,0.0,1.0,1.0,371.0,50.0,226.0,50.0,175.0,105.0,218.0,32.0,186.0,58.0,58.0,5.0,8.0,0.46,58.0,58.0,5.0,2,1,1
abinit/src/67_common/mlwfovlp_proj.F90,30,36.0,36.0,15.0,243.0,12.0,164.0,87.0,2.0,0.0,1.0,1.0,559.0,28.0,330.0,87.0,242.0,243.0,296.0,55.0,241.0,72.0,72.0,30.0,15.0,0.74,72.0,72.0,30.0,12,11,8
abinit/src/53_ffts/fftug_driver.finc,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,16.0,69.0,15.0,54.0,24.0,71.0,8.0,63.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0,0,0
abinit/src/78_effpot/m_fit_polynomial_coeff.F90,32,28.0,28.0,4.0,243.0,28.0,174.0,43.0,9.0,1.0,1.0,9.0,2567.0,289.0,1603.0,351.0,1247.0,705.0,1339.0,210.0,1129.0,121.0,121.0,31.0,11.0,0.44,257.0,257.0,39.0,18,19,13
abinit/src/28_numeric_noabirule/abi_xhpev.f90,33,2.0,2.0,1.0,36.0,8.0,19.0,10.0,7.0,0.0,7.0,7.0,388.0,77.0,134.0,89.0,24.0,182.0,116.0,86.0,30.0,5.0,5.0,1.0,1.0,1.36,14.0,14.0,7.0,18,18,11
abinit/src/77_ddb/ep_ph_weights.F90,34,8.0,8.0,1.0,123.0,26.0,70.0,28.0,1.0,0.0,1.0,1.0,176.0,29.0,72.0,36.0,35.0,78.0,60.0,30.0,30.0,8.0,8.0,1.0,5.0,1.08,8.0,8.0,1.0,16,16,10
abinit/src/41_geometry/symcharac.F90,35,14.0,13.0,4.0,81.0,12.0,56.0,20.0,2.0,0.0,1.0,1.0,206.0,28.0,114.0,18.0,95.0,81.0,118.0,17.0,101.0,29.0,26.0,9.0,3.0,0.71,29.0,26.0,9.0,18,18,11
abinit/src/70_gw/m_ppmodel.F90,36,12.0,11.0,1.0,116.0,18.0,71.0,31.0,19.0,1.0,1.0,19.0,3030.0,456.0,1420.0,511.0,901.0,1260.0,1228.0,325.0,903.0,21.0,21.0,5.0,7.0,0.89,235.0,214.0,23.0,17,17,14
abinit/src/56_recipspace/get_kpt_fullbz.F90,37,18.0,18.0,14.0,124.0,17.0,78.0,29.0,1.0,0.0,1.0,1.0,165.0,20.0,80.0,25.0,54.0,67.0,81.0,18.0,63.0,18.0,18.0,14.0,5.0,0.84,18.0,18.0,14.0,17,17,13
abinit/src/42_libpaw/m_paw_gaussfit.F90,38,7.0,7.0,1.0,73.0,9.0,42.0,24.0,25.0,0.0,6.0,25.0,497.0,88.0,164.0,61.0,95.0,252.0,161.0,60.0,101.0,54.0,54.0,10.0,5.0,1.54,192.0,192.0,41.0,2,1,1
abinit/src/68_recursion/first_rec.F90,39,1.0,1.0,0.0,111.0,16.0,73.0,24.0,2.0,0.0,1.0,1.0,281.0,37.0,150.0,25.0,25.0,103.0,47.0,22.0,25.0,2.0,2.0,1.0,1.0,0.69,2.0,2.0,1.0,18,18,13
abinit/src/43_ptgroups/ptg_C3v.F90,40,2.0,2.0,1.0,84.0,8.0,64.0,12.0,1.0,0.0,1.0,1.0,124.0,12.0,66.0,19.0,46.0,48.0,58.0,11.0,47.0,2.0,2.0,1.0,1.0,0.73,2.0,2.0,1.0,13,13,9
abinit/src/77_ddb/get_tau_k.F90,41,50.0,50.0,11.0,432.0,62.0,335.0,84.0,2.0,0.0,1.0,1.0,908.0,128.0,673.0,163.0,509.0,208.0,558.0,70.0,488.0,100.0,100.0,22.0,9.0,0.31,100.0,100.0,22.0,21,21,15
abinit/src/65_paw/convert_notation.F90,42,11.0,11.0,1.0,64.0,11.0,41.0,12.0,1.0,0.0,1.0,1.0,115.0,14.0,43.0,14.0,28.0,60.0,45.0,11.0,34.0,11.0,11.0,1.0,4.0,1.4,11.0,11.0,1.0,2,1,1
