File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
cceparse.c,0,0.0,13.0,1.0,28.0,180.0,13.0,2.0,2.0,2.0,1.0,13.0,0.0,11.0,1.0,0.0,12.0,217.0,28.0,132.0,41.0,72.0,13.0,19.0,29.0,66.0,91.0,29.0,0.0,62.0,5.0,5.0,6.0,3.0,3.0,0.1,28.0,28.0,29.0,14.0,12,6.0,10
cceconstraints.h,2,0.0,0.0,0.0,23.0,60.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,23.0,53.0,53.0,0.0,14.0,1.0,7.0,48.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,12,6.0,10
cceparselex.h,3,0.0,0.0,0.0,20.0,63.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,18.0,18.0,18.0,0.0,15.0,31.0,27.0,16.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,12,6.0,10
ccetab.h,4,0.0,0.0,0.0,11.0,14.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,11.0,6.0,6.0,0.0,34.0,0.0,8.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.67,0.0,0.0,0.0,0.0,12,6.0,10
crdebug.h,5,0.0,0.0,0.0,11.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,10.0,1.0,1.0,0.0,7.0,8.0,23.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,12,6.0,10
nclist.h,6,0.0,0.0,0.0,18.0,35.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,18.0,23.0,23.0,0.0,17.0,1.0,12.0,22.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,26,16.0,22
ccelex.c,7,1.0,30.0,2.0,19.0,192.0,18.0,9.0,8.0,12.0,3.0,33.0,1.0,30.0,2.0,0.0,5.0,228.0,19.0,156.0,32.0,113.0,18.0,18.0,18.0,104.0,146.0,25.0,0.0,121.0,31.0,26.0,40.0,10.0,7.0,0.12,46.0,41.0,58.0,17.0,12,6.0,10
ccetab.c,8,21.0,77.0,21.0,272.0,1125.0,331.0,15.0,13.0,16.0,4.0,118.0,20.0,55.0,20.0,0.0,6.0,1703.0,249.0,455.0,164.0,352.0,276.0,425.0,421.0,266.0,342.0,55.0,22.0,265.0,79.0,62.0,86.0,19.0,4.0,0.61,91.0,76.0,98.0,24.0,12,6.0,10
precond.C,12,4.0,14.0,10.0,17.0,51.0,43.0,1.0,1.0,2.0,1.0,28.0,4.0,14.0,10.0,0.0,3.0,110.0,17.0,43.0,3.0,34.0,43.0,0.0,8.0,25.0,29.0,3.0,0.0,26.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,0,0.0,0
precond.h,14,0.0,0.0,0.0,9.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,9.0,4.0,4.0,0.0,16.0,2.0,12.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0
errhandl.h,15,0.0,0.0,0.0,9.0,33.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,9.0,21.0,21.0,0.0,15.0,2.0,10.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0,0.0,0
qmatrix.h,16,0.0,0.0,0.0,15.0,72.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,15.0,48.0,48.0,0.0,16.0,2.0,22.0,46.0,46.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0,0.0,0
operats.h,17,0.0,0.0,0.0,8.0,42.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,8.0,26.0,26.0,0.0,15.0,2.0,14.0,26.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0,0.0,0
factor.h,18,0.0,0.0,0.0,8.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,8.0,1.0,1.0,0.0,15.0,2.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0,0.0,0
itersolv.h,19,0.0,0.0,0.0,12.0,44.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,12.0,27.0,27.0,0.0,18.0,2.0,15.0,14.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.0,0.0,0,0.0,0
copyrght.h,20,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
PolynomialUtils.h,21,2.0,11.0,0.0,17.0,71.0,55.0,3.0,3.0,3.0,1.0,13.0,2.0,11.0,0.0,0.0,5.0,141.0,17.0,68.0,36.0,30.0,55.0,0.0,3.0,43.0,58.0,26.0,0.0,32.0,4.0,4.0,5.0,1.0,2.0,0.81,14.0,14.0,15.0,5.0,9,2.0,7
autoptr.hh,25,0.0,2.0,0.0,8.0,54.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,14.0,64.0,8.0,46.0,25.0,17.0,2.0,3.0,5.0,27.0,43.0,20.0,0.0,23.0,3.0,3.0,3.0,1.0,1.0,0.04,17.0,17.0,17.0,14.0,0,0.0,0
getvara3.c,26,9.0,72.0,15.0,117.0,806.0,231.0,17.0,15.0,18.0,7.0,92.0,9.0,61.0,14.0,0.0,11.0,1112.0,116.0,689.0,184.0,490.0,223.0,78.0,49.0,502.0,668.0,136.0,61.0,471.0,50.0,43.0,54.0,24.0,5.0,0.32,189.0,160.0,203.0,78.0,26,16.0,22
ncdap3.h,27,0.0,0.0,0.0,25.0,102.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,25.0,47.0,47.0,0.0,30.0,0.0,55.0,40.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,26,16.0,22
dapodom.h,28,0.0,0.0,0.0,10.0,26.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,10.0,23.0,23.0,0.0,7.0,0.0,3.0,21.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,28,20.0,24
dapdump.h,29,0.0,0.0,0.0,11.0,50.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,11.0,47.0,47.0,0.0,11.0,0.0,3.0,44.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,28,20.0,24
ncd3dispatch.h,30,0.0,0.0,0.0,10.0,22.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,10.0,10.0,10.0,0.0,37.0,2.0,10.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,26,16.0,22
oc.h,32,0.0,0.0,0.0,94.0,184.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.0,94.0,104.0,104.0,0.0,172.0,5.0,77.0,71.0,71.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65,0.0,0.0,0.0,0.0,28,20.0,24
nccommon.h,33,0.0,0.0,0.0,40.0,242.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333.0,40.0,192.0,192.0,0.0,142.0,1.0,49.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,28,20.0,24
dapdebug.h,34,0.0,0.0,0.0,15.0,51.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,14.0,2.0,2.0,0.0,7.0,22.0,47.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,28,20.0,24
daputil.h,35,0.0,0.0,0.0,20.0,54.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,20.0,38.0,38.0,0.0,15.0,6.0,15.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.0,0.0,0.0,28,20.0,24
is_floating_point.hpp,37,0.0,0.0,0.0,8.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,6.0,6.0,0.0,10.0,0.0,5.0,13.0,27.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0,0.0,0
bool_trait_def.hpp,38,0.0,0.0,0.0,25.0,134.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,22.0,0.0,0.0,0.0,27.0,30.0,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
bool_trait_undef.hpp,39,0.0,0.0,0.0,4.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
transient_rb_evaluation.C,40,11.0,59.0,6.0,169.0,776.0,94.0,11.0,11.0,11.0,1.0,76.0,11.0,59.0,6.0,0.0,13.0,1037.0,169.0,766.0,230.0,465.0,94.0,0.0,10.0,550.0,680.0,218.0,0.0,462.0,26.0,26.0,26.0,1.0,5.0,0.12,139.0,139.0,139.0,13.0,7,5.0,7
output.C,51,2.0,26.0,5.0,6.0,31.0,6.0,6.0,6.0,6.0,1.0,33.0,2.0,26.0,5.0,0.0,1.0,43.0,6.0,27.0,7.0,16.0,6.0,0.0,4.0,14.0,21.0,6.0,0.0,15.0,6.0,6.0,6.0,1.0,2.0,0.22,6.0,6.0,6.0,1.0,2,0.0,2
output.h,53,0.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,4.0,3.0,0.0,1.0,0.0,1.0,2.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0,0.0,0
HouseholderQR.h,54,1.0,8.0,1.0,48.0,188.0,113.0,1.0,1.0,2.0,1.0,10.0,1.0,8.0,1.0,1.0,15.0,343.0,48.0,185.0,105.0,64.0,113.0,0.0,3.0,93.0,148.0,107.0,0.0,41.0,4.0,4.0,4.0,1.0,2.0,0.61,20.0,20.0,27.0,15.0,11,3.0,9
expnm.c,55,0.0,6.0,0.0,3.0,7.0,55.0,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,0.0,1.0,65.0,3.0,6.0,3.0,1.0,55.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,9.17,1.0,1.0,1.0,1.0,0,0.0,0
netcdf.h,61,0.0,0.0,0.0,253.0,680.0,233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.0,250.0,536.0,536.0,0.0,230.0,26.0,136.0,197.0,197.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,28,20.0,24
exgnvar.c,63,9.0,63.0,6.0,13.0,65.0,84.0,8.0,8.0,8.0,7.0,77.0,9.0,63.0,6.0,0.0,1.0,161.0,13.0,63.0,12.0,43.0,84.0,0.0,2.0,29.0,37.0,5.0,0.0,32.0,8.0,8.0,8.0,7.0,2.0,1.33,8.0,8.0,8.0,7.0,0,0.0,0
miscellaneous_ex8.C,65,8.0,29.0,5.0,70.0,187.0,52.0,2.0,2.0,2.0,1.0,41.0,8.0,29.0,5.0,0.0,6.0,305.0,70.0,173.0,31.0,113.0,52.0,0.0,14.0,94.0,105.0,19.0,1.0,85.0,4.0,4.0,4.0,1.0,1.0,0.3,10.0,10.0,10.0,6.0,13,13.0,15
meshless_interpolation_function.h,73,1.0,6.0,0.0,46.0,69.0,43.0,1.0,1.0,1.0,1.0,6.0,1.0,6.0,0.0,1.0,6.0,155.0,46.0,62.0,37.0,12.0,43.0,0.0,7.0,21.0,28.0,18.0,0.0,10.0,1.0,1.0,1.0,1.0,0.0,0.69,6.0,6.0,6.0,6.0,9,8.0,10
nctime.h,75,0.0,0.0,0.0,21.0,121.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,20.0,82.0,81.0,0.0,53.0,11.0,34.0,35.0,35.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,28,20.0,24
exginix.c,76,6.0,42.0,3.0,16.0,88.0,61.0,13.0,13.0,14.0,12.0,50.0,6.0,42.0,3.0,0.0,2.0,164.0,16.0,84.0,14.0,60.0,61.0,0.0,4.0,55.0,81.0,12.0,0.0,69.0,23.0,23.0,24.0,21.0,2.0,0.73,26.0,26.0,27.0,24.0,0,0.0,0
compaq_cxx.hpp,78,0.0,0.0,0.0,8.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,0.0,0.0,0.0,9.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
common_edg.hpp,79,0.0,0.0,0.0,14.0,60.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,14.0,0.0,0.0,0.0,20.0,5.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Redux.h,80,0.0,10.0,0.0,53.0,290.0,69.0,2.0,2.0,3.0,1.0,10.0,0.0,10.0,0.0,0.0,16.0,406.0,53.0,287.0,168.0,77.0,69.0,0.0,3.0,120.0,156.0,88.0,0.0,68.0,9.0,9.0,11.0,1.0,3.0,0.24,36.0,36.0,48.0,16.0,9,2.0,7
