File,index,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
CKDTree.py,0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,16.0,15.0,77.0,10.0,62.0,20.0,53.0,6.0,4.0,1.0,80.0,20.0,60.0,3.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,2.0,0.1,27.0,27.0,27.0,23.0,7,5.0,7
KDTree.py,1,2.0,2.0,2.0,1.0,13.0,1.0,8.0,5.0,1.0,17.0,16.0,327.0,64.0,131.0,19.0,112.0,139.0,2.0,0.0,126.0,19.0,107.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.06,36.0,36.0,36.0,21.0,23,15.0,23
NeighborSearch.py,2,1.0,1.0,1.0,1.0,13.0,0.0,6.0,6.0,4.0,17.0,16.0,335.0,57.0,119.0,26.0,93.0,163.0,6.0,1.0,102.0,26.0,76.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,1.37,33.0,33.0,33.0,26.0,42,34.0,39
align.py,6,4.0,4.0,4.0,2.0,62.0,9.0,26.0,34.0,0.0,9.0,8.0,674.0,118.0,212.0,25.0,187.0,353.0,1.0,0.0,178.0,21.0,157.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.67,38.0,38.0,38.0,22.0,72,64.0,63
contacts.py,7,2.0,2.0,2.0,1.0,25.0,3.0,14.0,9.0,2.0,18.0,17.0,711.0,142.0,261.0,39.0,222.0,323.0,1.0,0.0,245.0,38.0,207.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,3.0,1.24,53.0,53.0,53.0,32.0,47,37.0,41
density.py,8,2.0,2.0,2.0,1.0,26.0,3.0,12.0,13.0,2.0,23.0,22.0,836.0,151.0,282.0,41.0,230.0,430.0,2.0,0.0,251.0,38.0,213.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,1.52,54.0,54.0,54.0,36.0,50,41.0,46
distances.py,9,1.0,1.0,1.0,1.0,34.0,11.0,20.0,9.0,0.0,6.0,5.0,248.0,71.0,107.0,11.0,96.0,70.0,1.0,0.0,42.0,11.0,31.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,2.0,0.65,11.0,11.0,11.0,8.0,98,86.0,92
gnm.py,10,3.0,3.0,3.0,1.0,17.0,1.0,14.0,3.0,2.0,12.0,11.0,236.0,25.0,161.0,19.0,142.0,55.0,1.0,0.0,158.0,19.0,139.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,7.0,0.34,45.0,45.0,45.0,19.0,36,28.0,33
hbonds.py,11,3.0,3.0,3.0,1.0,22.0,2.0,15.0,7.0,1.0,12.0,11.0,497.0,96.0,178.0,24.0,154.0,227.0,1.0,0.0,169.0,22.0,147.0,1.0,1.0,1.0,1.0,15.0,15.0,15.0,3.0,6.0,1.28,47.0,47.0,47.0,16.0,20,17.0,18
helanal.py,12,4.0,4.0,4.0,1.0,27.0,3.0,19.0,6.0,0.0,20.0,19.0,701.0,110.0,384.0,30.0,354.0,211.0,4.0,1.0,358.0,26.0,332.0,3.0,3.0,3.0,1.0,37.0,37.0,37.0,6.0,4.0,0.55,90.0,90.0,90.0,30.0,55,43.0,50
leaflet.py,13,1.0,1.0,1.0,1.0,12.0,0.0,6.0,5.0,1.0,12.0,12.0,248.0,43.0,83.0,21.0,62.0,127.0,0.0,0.0,74.0,20.0,54.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,2.0,1.53,22.0,22.0,22.0,15.0,43,33.0,40
CRD.py,14,2.0,2.0,2.0,1.0,14.0,1.0,9.0,4.0,2.0,11.0,11.0,227.0,30.0,129.0,20.0,109.0,83.0,0.0,0.0,116.0,20.0,96.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,4.0,0.64,29.0,29.0,29.0,18.0,50,36.0,48
DCD.py,15,2.0,2.0,2.0,1.0,16.0,1.0,8.0,8.0,2.0,18.0,17.0,378.0,33.0,160.0,31.0,129.0,195.0,1.0,0.0,152.0,30.0,122.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,2.0,1.22,41.0,41.0,41.0,32.0,81,63.0,78
GRO.py,16,2.0,2.0,2.0,1.0,16.0,1.0,10.0,7.0,3.0,10.0,10.0,249.0,37.0,126.0,24.0,102.0,107.0,0.0,0.0,103.0,23.0,80.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,3.0,0.85,25.0,25.0,25.0,10.0,71,54.0,69
LAMMPS.py,17,4.0,4.0,4.0,4.0,11.0,0.0,11.0,1.0,3.0,2.0,2.0,103.0,15.0,29.0,7.0,22.0,61.0,0.0,0.0,29.0,7.0,22.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,2.1,8.0,8.0,8.0,8.0,46,33.0,44
PDB.py,18,2.0,2.0,2.0,1.0,13.0,1.0,8.0,4.0,5.0,49.0,48.0,863.0,134.0,443.0,68.0,375.0,315.0,2.0,0.0,402.0,65.0,337.0,2.0,2.0,2.0,1.0,14.0,14.0,14.0,10.0,4.0,0.71,119.0,119.0,119.0,82.0,84,66.0,82
PDBQT.py,19,1.0,1.0,1.0,1.0,11.0,0.0,7.0,4.0,3.0,19.0,19.0,406.0,56.0,160.0,33.0,127.0,211.0,0.0,0.0,145.0,30.0,115.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.32,36.0,36.0,36.0,23.0,52,39.0,51
PQR.py,20,1.0,1.0,1.0,1.0,8.0,0.0,6.0,2.0,1.0,7.0,7.0,171.0,26.0,59.0,15.0,44.0,91.0,0.0,0.0,59.0,15.0,44.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,1.0,4.0,1.54,13.0,13.0,13.0,7.0,56,43.0,56
TRJ.py,21,2.0,2.0,2.0,1.0,13.0,1.0,8.0,4.0,2.0,15.0,15.0,344.0,66.0,143.0,24.0,119.0,146.0,0.0,0.0,138.0,21.0,117.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,2.0,1.02,34.0,34.0,34.0,23.0,69,55.0,67
XYZ.py,24,2.0,2.0,2.0,1.0,13.0,2.0,9.0,2.0,1.0,12.0,12.0,257.0,54.0,127.0,21.0,106.0,81.0,0.0,0.0,121.0,19.0,102.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.0,2.0,0.64,34.0,34.0,34.0,22.0,51,37.0,51
extensions.py,29,2.0,2.0,2.0,1.0,16.0,2.0,9.0,8.0,2.0,6.0,5.0,182.0,38.0,55.0,11.0,44.0,91.0,1.0,0.0,49.0,10.0,39.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,2.0,1.65,13.0,13.0,13.0,6.0,17,12.0,16
TRR.py,30,10.0,10.0,10.0,8.0,58.0,0.0,50.0,13.0,3.0,1.0,1.0,119.0,12.0,62.0,7.0,55.0,50.0,0.0,0.0,56.0,7.0,49.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,8.0,3.0,0.81,10.0,10.0,10.0,8.0,59,42.0,58
XTC.py,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,11.0,8.0,4.0,4.0,36.0,0.0,0.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,52,37.0,52
libxdrfile.py,34,1.0,1.0,1.0,1.0,6.0,0.0,3.0,0.0,1.0,16.0,15.0,437.0,104.0,90.0,21.0,70.0,244.0,8.0,1.0,94.0,21.0,73.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,2.71,29.0,29.0,29.0,25.0,6,3.0,7
statno.py,35,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,42.0,9.0,4.0,1.0,3.0,29.0,1.0,0.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,7.25,1.0,1.0,1.0,1.0,15,10.0,15
AtomGroup.py,36,1.0,1.0,1.0,1.0,11.0,1.0,5.0,4.0,7.0,123.0,123.0,1817.0,290.0,694.0,165.0,529.0,855.0,0.0,0.0,659.0,151.0,508.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,4.0,3.0,1.23,224.0,224.0,224.0,143.0,106,82.0,100
Selection.py,37,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,31.0,80.0,79.0,691.0,66.0,510.0,119.0,391.0,134.0,2.0,0.0,462.0,119.0,343.0,2.0,2.0,2.0,1.0,23.0,23.0,23.0,19.0,3.0,0.26,141.0,141.0,141.0,100.0,36,26.0,36
Timeseries.py,38,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,11.0,37.0,37.0,308.0,48.0,151.0,50.0,102.0,109.0,0.0,0.0,153.0,49.0,104.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,5.0,2.0,0.72,63.0,63.0,63.0,46.0,34,27.0,31
transformations.py,41,2.0,2.0,2.0,1.0,27.0,2.0,13.0,11.0,1.0,55.0,54.0,1824.0,287.0,764.0,66.0,698.0,776.0,2.0,0.0,681.0,64.0,617.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,5.0,4.0,1.02,154.0,154.0,154.0,87.0,33,20.0,33
charmm.py,46,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,4.0,57.0,12.0,16.0,6.0,10.0,30.0,0.0,0.0,16.0,6.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.88,4.0,4.0,4.0,4.0,31,27.0,29
gromacs.py,47,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,49.0,11.0,9.0,4.0,5.0,29.0,0.0,0.0,9.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,3.22,2.0,2.0,2.0,2.0,26,21.0,24
pymol.py,48,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,3.0,3.0,56.0,12.0,14.0,5.0,9.0,32.0,0.0,0.0,14.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,2.29,3.0,3.0,3.0,3.0,26,21.0,24
