File,index,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
mdanalysis/applications/RotamerConvolveMD/ez_setup.py,0,2.0,2.0,2.0,1.0,18.0,0.0,14.0,3.0,0.0,12.0,11.0,258.0,34.0,177.0,29.0,148.0,50.0,4.0,1.0,154.0,27.0,127.0,3.0,3.0,3.0,1.0,8.0,8.0,8.0,5.0,3.0,0.28,34.0,34.0,34.0,21.0,2,2,2
mdanalysis/applications/RotamerConvolveMD/rotcon/convolve.py,1,3.0,3.0,3.0,1.0,28.0,4.0,19.0,11.0,1.0,6.0,5.0,207.0,35.0,109.0,16.0,93.0,68.0,1.0,0.0,102.0,16.0,86.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,5.0,6.0,0.62,21.0,21.0,21.0,10.0,2,2,2
mdanalysis/applications/RotamerConvolveMD/rotcon/data/build_lib.py,2,2.0,2.0,2.0,1.0,9.0,0.0,6.0,0.0,0.0,3.0,2.0,58.0,9.0,31.0,6.0,25.0,19.0,3.0,0.0,29.0,6.0,23.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,0.61,6.0,6.0,6.0,3.0,2,2,2
mdanalysis/applications/RotamerConvolveMD/rotcon/library.py,3,1.0,1.0,1.0,1.0,11.0,1.0,7.0,3.0,1.0,5.0,4.0,115.0,24.0,46.0,10.0,36.0,46.0,1.0,0.0,36.0,10.0,26.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,1.0,9.0,9.0,9.0,7.0,2,2,2
mdanalysis/applications/RotamerConvolveMD/scripts/convolve-mtss-rotamers.py,4,6.0,6.0,6.0,4.0,48.0,0.0,0.0,0.0,0.0,1.0,0.0,93.0,19.0,55.0,7.0,48.0,19.0,17.0,1.0,40.0,7.0,33.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,4.0,2.0,0.35,6.0,6.0,6.0,4.0,5,5,5
mdanalysis/applications/RotamerConvolveMD/setup.py,5,2.0,2.0,2.0,1.0,32.0,0.0,0.0,0.0,0.0,1.0,0.0,37.0,2.0,34.0,2.0,32.0,1.0,2.0,0.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,0.03,2.0,2.0,2.0,1.0,4,4,4
mdanalysis/maintainer/googlecode_upload.py,6,4.0,4.0,4.0,1.0,38.0,6.0,29.0,11.0,0.0,5.0,4.0,256.0,38.0,126.0,12.0,114.0,92.0,2.0,0.0,92.0,11.0,81.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,3.0,3.0,0.73,24.0,24.0,24.0,7.0,0,0,0
mdanalysis/package/MDAnalysis/KDTree/CKDTree.py,7,1.0,1.0,1.0,1.0,3.0,0.0,2.0,0.0,2.0,16.0,15.0,77.0,10.0,62.0,20.0,53.0,6.0,4.0,1.0,80.0,20.0,60.0,3.0,3.0,3.0,1.0,6.0,6.0,6.0,6.0,2.0,0.1,27.0,27.0,27.0,23.0,2,2,2
mdanalysis/package/MDAnalysis/KDTree/KDTree.py,8,2.0,2.0,2.0,1.0,13.0,1.0,8.0,5.0,1.0,17.0,16.0,327.0,64.0,131.0,19.0,112.0,139.0,2.0,0.0,126.0,19.0,107.0,2.0,2.0,2.0,1.0,5.0,5.0,5.0,3.0,2.0,1.06,36.0,36.0,36.0,21.0,2,2,2
mdanalysis/package/MDAnalysis/KDTree/NeighborSearch.py,9,1.0,1.0,1.0,1.0,13.0,0.0,6.0,6.0,4.0,17.0,16.0,335.0,57.0,119.0,26.0,93.0,163.0,6.0,1.0,102.0,26.0,76.0,4.0,4.0,4.0,1.0,6.0,6.0,6.0,6.0,2.0,1.37,33.0,33.0,33.0,26.0,3,2,3
mdanalysis/package/MDAnalysis/analysis/align.py,10,4.0,4.0,4.0,2.0,74.0,13.0,29.0,43.0,0.0,8.0,7.0,728.0,137.0,204.0,24.0,180.0,395.0,1.0,0.0,180.0,19.0,161.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,7.0,3.0,1.94,37.0,37.0,37.0,19.0,4,3,3
mdanalysis/package/MDAnalysis/analysis/contacts.py,11,2.0,2.0,2.0,1.0,25.0,3.0,14.0,9.0,2.0,18.0,17.0,710.0,142.0,260.0,38.0,222.0,323.0,1.0,0.0,244.0,37.0,207.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,5.0,3.0,1.24,53.0,53.0,53.0,32.0,5,2,3
mdanalysis/package/MDAnalysis/analysis/density.py,12,2.0,2.0,2.0,1.0,26.0,3.0,12.0,13.0,2.0,23.0,22.0,830.0,151.0,282.0,41.0,230.0,424.0,2.0,0.0,251.0,38.0,213.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,6.0,3.0,1.5,54.0,54.0,54.0,36.0,3,3,3
