File,index,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
KDTree.py,0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,4.0,11.0,3.0,8.0,2.0,1.0,0.0,7.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18,1.0,1.0,1.0,1.0,0,0.0,0
contacts.py,5,2.0,2.0,2.0,1.0,27.0,3.0,13.0,11.0,3.0,29.0,28.0,1231.0,240.0,399.0,60.0,339.0,609.0,1.0,0.0,336.0,51.0,285.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,5.0,3.0,1.53,77.0,77.0,77.0,46.0,5,5.0,5
density.py,6,2.0,2.0,2.0,1.0,32.0,4.0,13.0,16.0,2.0,22.0,21.0,1007.0,189.0,297.0,48.0,249.0,544.0,2.0,0.0,255.0,41.0,214.0,2.0,2.0,2.0,1.0,8.0,8.0,8.0,6.0,3.0,1.83,54.0,54.0,54.0,34.0,11,11.0,9
diffusionmap.py,7,1.0,1.0,1.0,1.0,15.0,0.0,7.0,9.0,2.0,9.0,8.0,367.0,59.0,71.0,19.0,52.0,237.0,1.0,0.0,61.0,18.0,43.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,3.0,1.0,3.34,14.0,14.0,14.0,11.0,5,5.0,5
bootstrap.py,10,2.0,2.0,2.0,1.0,36.0,8.0,13.0,15.0,0.0,3.0,3.0,157.0,38.0,45.0,13.0,32.0,74.0,0.0,0.0,32.0,9.0,23.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,1.64,7.0,7.0,7.0,3.0,8,8.0,8
ClusterCollection.py,11,2.0,2.0,2.0,1.0,15.0,2.0,6.0,6.0,2.0,11.0,11.0,255.0,56.0,77.0,16.0,61.0,122.0,0.0,0.0,69.0,16.0,53.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,3.0,1.58,25.0,25.0,25.0,20.0,4,4.0,4
ClusteringMethod.py,12,1.0,1.0,1.0,1.0,30.0,4.0,10.0,18.0,5.0,11.0,10.0,427.0,71.0,130.0,43.0,87.0,227.0,4.0,1.0,70.0,21.0,49.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,1.75,16.0,16.0,16.0,11.0,7,7.0,7
confdistmatrix.py,15,7.0,7.0,7.0,3.0,103.0,11.0,53.0,38.0,0.0,3.0,3.0,370.0,50.0,173.0,30.0,143.0,147.0,0.0,0.0,86.0,16.0,70.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,5.0,3.0,0.85,21.0,21.0,21.0,11.0,8,8.0,8
covariance.py,16,4.0,4.0,4.0,2.0,69.0,14.0,29.0,25.0,0.0,3.0,3.0,249.0,53.0,91.0,11.0,80.0,105.0,0.0,0.0,65.0,5.0,60.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,4.0,3.0,1.15,13.0,13.0,13.0,6.0,8,8.0,8
DimensionalityReductionMethod.py,17,1.0,1.0,1.0,1.0,19.0,3.0,7.0,11.0,3.0,6.0,5.0,194.0,39.0,56.0,22.0,34.0,99.0,4.0,1.0,34.0,14.0,20.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,1.77,8.0,8.0,8.0,6.0,5,5.0,5
reduce_dimensionality.py,19,19.0,19.0,19.0,3.0,197.0,40.0,66.0,91.0,0.0,1.0,1.0,238.0,46.0,72.0,13.0,59.0,120.0,0.0,0.0,53.0,6.0,47.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,3.0,3.0,1.67,19.0,19.0,19.0,3.0,8,8.0,8
gnm.py,22,3.0,3.0,3.0,1.0,22.0,2.0,15.0,6.0,2.0,10.0,9.0,417.0,80.0,150.0,19.0,131.0,191.0,1.0,0.0,137.0,16.0,121.0,1.0,1.0,1.0,1.0,11.0,11.0,11.0,3.0,7.0,1.27,36.0,36.0,36.0,12.0,5,5.0,5
hbond_analysis.py,24,3.0,3.0,3.0,1.0,39.0,5.0,16.0,19.0,1.0,27.0,26.0,1504.0,278.0,440.0,47.0,393.0,805.0,1.0,0.0,344.0,38.0,306.0,1.0,1.0,1.0,1.0,20.0,20.0,20.0,8.0,6.0,1.83,94.0,94.0,94.0,39.0,6,6.0,6
hbond_autocorrel.py,25,3.0,3.0,3.0,1.0,32.0,5.0,20.0,9.0,1.0,11.0,11.0,538.0,103.0,207.0,28.0,179.0,245.0,0.0,0.0,154.0,19.0,135.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,6.0,3.0,1.18,38.0,38.0,38.0,20.0,6,6.0,6
helanal.py,26,4.0,4.0,4.0,1.0,40.0,5.0,25.0,11.0,0.0,15.0,14.0,759.0,129.0,369.0,34.0,335.0,262.0,1.0,0.0,326.0,23.0,303.0,1.0,1.0,1.0,1.0,35.0,35.0,35.0,8.0,4.0,0.71,72.0,72.0,72.0,27.0,7,7.0,7
hole.py,27,3.0,3.0,3.0,1.0,47.0,5.0,19.0,23.0,3.0,20.0,19.0,1304.0,209.0,439.0,44.0,395.0,663.0,1.0,0.0,362.0,44.0,318.0,1.0,1.0,1.0,1.0,13.0,13.0,13.0,9.0,6.0,1.51,77.0,77.0,77.0,38.0,10,9.0,10
leaflet.py,28,2.0,2.0,2.0,1.0,14.0,1.0,7.0,5.0,1.0,12.0,12.0,314.0,59.0,100.0,22.0,78.0,160.0,0.0,0.0,85.0,21.0,64.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,2.0,1.6,25.0,25.0,25.0,17.0,7,7.0,7
lineardensity.py,31,2.0,2.0,2.0,1.0,23.0,3.0,14.0,5.0,1.0,8.0,8.0,275.0,50.0,123.0,13.0,110.0,106.0,0.0,0.0,105.0,13.0,92.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,2.0,0.86,23.0,23.0,23.0,10.0,5,5.0,5
nuclinfo.py,32,2.0,2.0,2.0,1.0,44.0,7.0,18.0,18.0,0.0,15.0,15.0,802.0,176.0,275.0,20.0,255.0,351.0,0.0,0.0,177.0,19.0,158.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,1.0,2.0,1.28,43.0,43.0,43.0,15.0,5,5.0,5
