File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
contrib/metis/GKlib/string.c,9654cd8,4.0,21.0,1.0,77.0,255.0,199.0,5.0,5.0,5.0,3.0,26.0,4.0,21.0,1.0,0.0,12.0,529.0,77.0,252.0,36.0,165.0,199.0,0.0,3.0,154.0,214.0,35.0,2.0,177.0,21.0,20.0,22.0,11.0,6.0,0.79,62.0,61.0,64.0,42.0,1.0
contrib/metis/GKlib/string.c,4716a07,4.0,21.0,1.0,77.0,255.0,199.0,5.0,5.0,5.0,3.0,26.0,4.0,21.0,1.0,0.0,12.0,529.0,77.0,252.0,36.0,165.0,199.0,0.0,3.0,154.0,214.0,35.0,2.0,177.0,21.0,20.0,22.0,11.0,6.0,0.79,62.0,61.0,64.0,42.0,0.0
contrib/metis/include/metis.h,4716a07,0.0,0.0,0.0,75.0,208.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,68.0,114.0,113.0,0.0,82.0,49.0,90.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,1.0
contrib/metis/include/metis.h,b730f79,0.0,0.0,0.0,75.0,208.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,68.0,114.0,113.0,0.0,82.0,49.0,90.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.0
src/solvers/petsc_dm_nonlinear_solver.C,e2ebea3,0.0,0.0,0.0,44.0,101.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0,6.0,0.0,0.0,0.0,15.0,152.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/solvers/petsc_linear_solver.C,e2ebea3,0.0,0.0,0.0,373.0,1237.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,5.0,0.0,0.0,0.0,14.0,1881.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/reduced_basis/rb_construction_base.C,e2ebea3,4.0,30.0,5.0,143.0,772.0,143.0,4.0,4.0,4.0,1.0,39.0,4.0,28.0,4.0,0.0,24.0,1047.0,131.0,693.0,200.0,366.0,119.0,92.0,29.0,293.0,389.0,126.0,17.0,246.0,21.0,21.0,22.0,1.0,5.0,0.17,91.0,91.0,94.0,24.0,1.0
include/numerics/petsc_vector.h,e2ebea3,0.0,0.0,0.0,269.0,688.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,10.0,0.0,0.0,0.0,15.0,1323.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
src/solvers/petsc_dm_nonlinear_solver.C,52f950a,0.0,0.0,0.0,44.0,97.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,6.0,0.0,0.0,0.0,15.0,148.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/solvers/petsc_linear_solver.C,52f950a,0.0,0.0,0.0,373.0,1237.0,307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1902.0,5.0,0.0,0.0,0.0,14.0,1881.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
src/reduced_basis/rb_construction_base.C,52f950a,4.0,30.0,5.0,143.0,772.0,143.0,4.0,4.0,4.0,1.0,39.0,4.0,28.0,4.0,0.0,24.0,1047.0,131.0,693.0,200.0,366.0,119.0,92.0,29.0,293.0,389.0,126.0,17.0,246.0,21.0,21.0,22.0,1.0,5.0,0.17,91.0,91.0,94.0,24.0,0.0
include/numerics/petsc_vector.h,52f950a,0.0,0.0,0.0,269.0,688.0,402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1352.0,10.0,0.0,0.0,0.0,15.0,1323.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
include/parallel/parallel_object.h,56a9ee4,0.0,3.0,0.0,22.0,37.0,51.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,7.0,108.0,22.0,27.0,16.0,5.0,51.0,2.0,10.0,7.0,15.0,10.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.89,7.0,7.0,7.0,7.0,1.0
include/parallel/parallel_object.h,3a43edf,0.0,3.0,0.0,22.0,37.0,51.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,7.0,108.0,22.0,27.0,16.0,5.0,51.0,2.0,10.0,7.0,15.0,10.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,1.89,7.0,7.0,7.0,7.0,0.0
include/numerics/numeric_vector.h,acdb8bd,0.0,6.0,1.0,148.0,304.0,453.0,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,1.0,22.0,890.0,148.0,288.0,208.0,105.0,453.0,0.0,16.0,136.0,166.0,107.0,0.0,59.0,3.0,3.0,3.0,1.0,1.0,1.57,29.0,29.0,29.0,22.0,1.0
include/numerics/shell_matrix.h,acdb8bd,0.0,3.0,0.0,30.0,37.0,50.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,1.0,2.0,115.0,30.0,29.0,24.0,0.0,50.0,0.0,8.0,9.0,12.0,12.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.72,2.0,2.0,2.0,2.0,1.0
