File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
package/MDAnalysis/coordinates/TRJ.py,2b16b6a,3.0,3.0,3.0,1.0,23.0,2.0,15.0,6.0,4.0,24.0,23.0,944.0,178.0,401.0,50.0,351.0,392.0,4.0,1.0,334.0,39.0,295.0,3.0,3.0,3.0,1.0,11.0,11.0,11.0,6.0,3.0,0.98,82.0,82.0,82.0,38.0,1.0
package/MDAnalysis/lib/netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
testsuite/MDAnalysisTests/coordinates/test_netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
testsuite/MDAnalysisTests/lib/test_scipy_io_netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
package/setup.py,2b16b6a,4.0,4.0,4.0,2.0,36.0,1.0,22.0,4.0,2.0,11.0,10.0,539.0,64.0,359.0,32.0,327.0,122.0,288.0,2.0,216.0,30.0,186.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,6.0,4.0,0.34,54.0,54.0,54.0,24.0,1.0
testsuite/setup.py,2b16b6a,4.0,4.0,4.0,2.0,36.0,1.0,22.0,4.0,2.0,11.0,10.0,539.0,64.0,359.0,32.0,327.0,122.0,288.0,2.0,216.0,30.0,186.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,6.0,4.0,0.34,54.0,54.0,54.0,24.0,1.0
testsuite/MDAnalysisTests/coordinates/test_netcdf.py,2b16b6a,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,9.0,40.0,39.0,472.0,78.0,338.0,75.0,263.0,57.0,2.0,0.0,255.0,70.0,185.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,5.0,3.0,0.17,60.0,60.0,60.0,44.0,1.0
testsuite/MDAnalysisTests/datafiles.py,2b16b6a,1.0,1.0,1.0,1.0,304.0,0.0,0.0,0.0,0.0,1.0,0.0,397.0,53.0,306.0,2.0,304.0,99.0,1.0,0.0,188.0,2.0,186.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32,1.0,1.0,1.0,1.0,1.0
testsuite/MDAnalysisTests/lib/test_scipy_io_netcdf.py,2b16b6a,1.0,1.0,1.0,1.0,15.0,1.0,11.0,2.0,0.0,16.0,15.0,328.0,60.0,192.0,29.0,163.0,80.0,1.0,0.0,191.0,28.0,163.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,0.42,20.0,20.0,20.0,16.0,1.0
package/setup.py,2b16b6a,5.0,5.0,5.0,3.0,81.0,6.0,34.0,27.0,0.0,2.0,1.0,225.0,26.0,135.0,6.0,129.0,66.0,6.0,1.0,47.0,6.0,41.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,6.0,3.0,0.49,11.0,11.0,11.0,7.0,1.0
testsuite/setup.py,2b16b6a,5.0,5.0,5.0,3.0,81.0,6.0,34.0,27.0,0.0,2.0,1.0,225.0,26.0,135.0,6.0,129.0,66.0,6.0,1.0,47.0,6.0,41.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,6.0,3.0,0.49,11.0,11.0,11.0,7.0,1.0
