Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
atom_vec_charge_kokkos.cpp,1.0,22.0,0.0,187.0,1236.0,97.0,4.0,4.0,4.0,1.0,23.0,1.0,22.0,0.0,0.0,52.0,1520.0,187.0,1225.0,382.0,731.0,97.0,0.0,11.0,788.0,1011.0,262.0,0.0,749.0,18.0,18.0,18.0,1.0,4.0,0.08,192.0,192.0,195.0,52.0,1.0
dump_atom_mpiio.cpp,5.0,25.0,2.0,146.0,513.0,66.0,5.0,5.0,6.0,1.0,32.0,5.0,24.0,2.0,0.0,14.0,715.0,110.0,343.0,35.0,271.0,56.0,196.0,23.0,228.0,294.0,35.0,0.0,259.0,22.0,22.0,40.0,1.0,2.0,0.16,65.0,65.0,86.0,14.0,1.0
bond_table_omp.cpp,5.0,25.0,1.0,24.0,85.0,20.0,5.0,5.0,6.0,1.0,31.0,5.0,24.0,1.0,0.0,3.0,128.0,24.0,74.0,19.0,46.0,20.0,1.0,11.0,47.0,62.0,17.0,0.0,45.0,8.0,8.0,9.0,1.0,4.0,0.27,14.0,14.0,17.0,3.0,1.0
fix_lb_viscous.cpp,2.0,8.0,0.0,36.0,83.0,27.0,2.0,2.0,2.0,1.0,10.0,2.0,8.0,0.0,0.0,9.0,146.0,36.0,72.0,22.0,38.0,27.0,0.0,11.0,36.0,58.0,22.0,0.0,36.0,7.0,7.0,8.0,1.0,2.0,0.38,20.0,20.0,21.0,9.0,1.0
lal_device.cpp,4.0,31.0,1.0,93.0,618.0,28.0,6.0,6.0,6.0,2.0,35.0,4.0,27.0,1.0,0.0,19.0,738.0,92.0,523.0,117.0,391.0,28.0,66.0,35.0,325.0,433.0,68.0,0.0,365.0,19.0,19.0,26.0,8.0,4.0,0.05,107.0,107.0,122.0,40.0,1.0
fix_nvt_asphere_omp.cpp,4.0,19.0,2.0,8.0,26.0,15.0,3.0,3.0,3.0,1.0,25.0,4.0,19.0,2.0,0.0,1.0,49.0,8.0,21.0,5.0,15.0,15.0,0.0,5.0,15.0,20.0,5.0,0.0,15.0,3.0,3.0,3.0,1.0,1.0,0.71,3.0,3.0,3.0,1.0,1.0
pair_tip4p_cut.cpp,5.0,26.0,1.0,101.0,378.0,72.0,5.0,5.0,5.0,1.0,32.0,5.0,26.0,1.0,0.0,14.0,551.0,101.0,364.0,54.0,285.0,72.0,0.0,14.0,278.0,342.0,54.0,0.0,288.0,29.0,29.0,35.0,1.0,7.0,0.2,63.0,63.0,69.0,14.0,1.0
pair_lj_cut_opt.cpp,10.0,44.0,0.0,39.0,140.0,22.0,8.0,8.0,9.0,2.0,55.0,10.0,44.0,0.0,0.0,3.0,201.0,39.0,135.0,56.0,94.0,22.0,0.0,5.0,107.0,131.0,55.0,0.0,76.0,15.0,15.0,17.0,6.0,5.0,0.16,23.0,23.0,26.0,8.0,1.0
fix_rigid_npt.cpp,14.0,46.0,11.0,19.0,52.0,29.0,10.0,10.0,13.0,1.0,71.0,14.0,46.0,11.0,0.0,1.0,100.0,19.0,47.0,5.0,42.0,29.0,0.0,5.0,40.0,51.0,4.0,0.0,47.0,10.0,10.0,13.0,1.0,1.0,0.62,10.0,10.0,13.0,1.0,1.0
compute.cpp,5.0,17.0,2.0,70.0,192.0,65.0,6.0,6.0,6.0,2.0,24.0,5.0,17.0,2.0,0.0,10.0,327.0,70.0,175.0,32.0,133.0,65.0,0.0,17.0,134.0,188.0,32.0,0.0,156.0,20.0,20.0,25.0,5.0,3.0,0.37,55.0,55.0,61.0,20.0,1.0
Kokkos_HostSpace.cpp,2.0,10.0,0.0,67.0,173.0,55.0,2.0,2.0,3.0,1.0,12.0,2.0,9.0,0.0,1.0,14.0,290.0,63.0,153.0,64.0,64.0,55.0,8.0,16.0,51.0,86.0,40.0,2.0,44.0,8.0,8.0,10.0,1.0,2.0,0.36,31.0,31.0,37.0,14.0,1.0
compute_plasticity_atom.cpp,2.0,10.0,1.0,24.0,62.0,25.0,3.0,3.0,3.0,1.0,13.0,2.0,10.0,1.0,0.0,5.0,111.0,24.0,51.0,16.0,32.0,25.0,0.0,11.0,31.0,48.0,14.0,0.0,34.0,7.0,7.0,8.0,1.0,2.0,0.49,16.0,16.0,17.0,5.0,1.0
pair_lcbop.cpp,6.0,35.0,9.0,179.0,842.0,288.0,6.0,6.0,6.0,2.0,50.0,6.0,35.0,9.0,0.0,23.0,1290.0,179.0,818.0,208.0,647.0,288.0,0.0,24.0,729.0,856.0,204.0,0.0,652.0,14.0,14.0,17.0,11.0,5.0,0.35,136.0,136.0,146.0,54.0,1.0
fix_langevin_kokkos.cpp,3.0,45.0,2.0,77.0,681.0,61.0,9.0,9.0,9.0,1.0,50.0,3.0,45.0,2.0,0.0,14.0,810.0,77.0,658.0,128.0,429.0,61.0,1.0,22.0,357.0,479.0,110.0,0.0,369.0,74.0,74.0,74.0,1.0,6.0,0.09,120.0,120.0,121.0,14.0,1.0
pair_lj_sf_dipole_sf.cpp,5.0,30.0,1.0,86.0,372.0,52.0,5.0,5.0,6.0,1.0,35.0,5.0,30.0,1.0,0.0,12.0,510.0,86.0,360.0,52.0,285.0,52.0,0.0,12.0,279.0,339.0,52.0,0.0,287.0,20.0,20.0,29.0,1.0,6.0,0.14,61.0,61.0,74.0,12.0,1.0
