hash,time,message
1fdf917,2008-04-15 22:56:47,Create OpenMM directory under trunk
a0ebf43,2008-04-15 23:02:27,Create OpenMM/tests directory
949599d,2008-04-15 23:02:58,Create OpenMM/platforms directory
0e87980,2008-04-16 17:59:58,Reorganization of the OpenMM source code
6ddebdb,2008-04-16 18:00:25,Reorganization of the OpenMM source code
27a2456,2008-04-17 18:07:12,Created a test case for StandardMMForceFieldImpl's findExclusions() method.  Fixed some bugs that it found.  Created a CMake script and configured it for building and running test cases.
ae4c6f9,2008-04-17 20:39:34,Created folders for reference platform
76e2849,2008-04-17 20:39:39,Moving the reference code into the platforms folder
598e076,2008-04-17 20:55:18,Moving the reference code into the platforms folder
e561a67,2008-04-18 00:25:10,Began implementing ReferencePlatform
012b28e,2008-04-19 00:50:51,Continuing to implement ReferencePlatform
2a53088,2008-04-22 23:55:31,Continuing to implement ReferencePlatform (kernels for StandardMMForceField are done).
e89c2e6,2008-04-23 00:13:09,Deleted duplicate files created through an error in Subversion
85da5e0,2008-04-25 01:02:15,Continuing to implement ReferencePlatform (implemented kinetic energy calculation and LangevinIntegrator)
0aad135,2008-04-25 18:28:36,Added SFMT as a random number generator for the reference platform.
f3e77e3,2008-04-25 18:33:05,Moved GBSA reference code into the reference platform directory
45ed59f,2008-04-25 19:29:58,Moved obsolete GBSA reference code back to where it was before
5d9ae81,2008-04-26 00:14:47,Initial checkin
2cfc682,2008-04-29 00:00:41,Continuing to implement ReferencePlatform (implemented GBSA kernels  added test case for SHAKE and fixed some bugs in it)
5c4be2f,2008-04-29 20:01:49,Created reference implementation of BrownianIntegrator
f14182c,2008-04-29 20:49:33,Created reference implementation of VerletIntegrator
a5288d5,2008-05-02 01:13:27,Created reference implementation of AndersenThermostat
3d750e8,2008-05-13 20:51:06,Modified the initialization order of ForceImpls to prevent them from trying to initialize themselves before the Platform had been chosen
9f0086f,2008-05-14 00:10:33,"Added 'return platform' to registerReferencePlatform() -- VisualStudio complained about no return value Added #include ""../sfmt/SFMT.h"" to SimTKOpenMMUtilities.h to get 'uint32_t' declaration"
07adfcb,2008-05-16 00:42:28,Modified OpenMM to use nm and kJ as units instead of angstroms and kcal
0b662b4,2008-05-16 18:07:48,Implemented center of mass motion removal for OpenMM
4577b1a,2008-05-16 22:22:11,The ReferencePlatform was not getting registered automatically.
5064305,2008-05-20 17:40:43,Various changes to permit compiling OpenMM stuff on Linux Added INCLUDE(Dart) to OpenMM CMakeLists.txt
