File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AmoebaAngleForce.cpp,104,30,16,54,23,16,24,15,0.56,14,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.h,193,127,23,39,3,27,3,25,3.26,3,1,1,1,1,3,3,0,0,0
AmoebaAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaAngleForceProxy.cpp,85,30,10,40,26,12,23,14,0.75,3,2,2,2,1,14,13,0,2,0
AmoebaAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaBondForce.cpp,84,30,12,38,17,10,18,11,0.79,10,1,1,1,1,4,4,0,0,0
AmoebaBondForce.h,165,104,20,35,3,23,3,21,2.97,3,1,1,1,1,3,3,0,0,0
AmoebaBondForceImpl.cpp,78,30,10,34,12,12,16,16,0.88,7,1,1,1,1,4,4,0,0,0
AmoebaBondForceImpl.h,75,37,8,23,2,15,2,14,1.61,3,1,1,1,1,3,3,1,0,0
AmoebaBondForceProxy.cpp,78,30,7,36,22,12,19,14,0.83,3,2,2,2,1,12,11,0,1,0
AmoebaBondForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernelFactory.cpp,108,26,18,58,45,8,38,12,0.45,4,4,4,4,3,18,14,0,3,0
AmoebaCudaKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernels.cpp,2375,142,223,1984,1492,628,1246,538,0.07,101,3,3,4,1,21,19,1,1,0
AmoebaCudaKernels.h,580,297,18,257,15,211,14,206,1.16,14,1,1,1,1,2,2,0,0,0
AmoebaGeneralizedKirkwoodForce.cpp,99,38,15,42,17,12,18,13,0.9,12,1,1,1,1,4,3,0,0,0
AmoebaGeneralizedKirkwoodForce.h,190,112,25,49,6,30,6,27,2.29,7,1,1,1,1,3,3,0,0,0
AmoebaGeneralizedKirkwoodForceImpl.cpp,69,30,10,26,13,7,14,9,1.15,5,2,2,2,1,5,5,0,1,0
AmoebaGeneralizedKirkwoodForceImpl.h,72,37,7,24,3,14,3,13,1.54,4,1,1,1,1,3,3,1,0,0
AmoebaGeneralizedKirkwoodForceProxy.cpp,89,32,11,41,28,11,25,13,0.78,3,2,2,2,1,16,13,1,2,0
AmoebaGeneralizedKirkwoodForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaInPlaneAngleForce.cpp,106,30,16,56,25,16,26,15,0.54,14,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForce.h,199,130,23,42,3,30,3,25,3.1,3,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaInPlaneAngleForceProxy.cpp,85,30,10,40,26,12,23,14,0.75,3,2,2,2,1,14,13,0,2,0
AmoebaInPlaneAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
amoebaKernels.h,486,279,74,125,45,70,11,68,2.23,22,1,1,1,1,3,3,0,0,0
AmoebaMultipoleForce.cpp,243,31,43,164,94,40,97,39,0.19,28,1,1,1,1,6,6,0,0,0
AmoebaMultipoleForce.h,409,246,55,101,20,72,20,56,2.44,3,1,1,1,1,11,10,0,2,0
AmoebaMultipoleForceImpl.cpp,197,33,28,132,86,32,81,32,0.25,11,2,2,3,1,13,12,0,1,0
AmoebaMultipoleForceImpl.h,103,51,14,32,2,24,2,20,1.59,3,1,1,1,1,3,3,1,0,0
AmoebaMultipoleForceProxy.cpp,204,37,36,126,101,27,87,29,0.29,6,3,3,3,1,27,21,1,5,0
AmoebaMultipoleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaOutOfPlaneBendForce.cpp,108,30,17,57,26,16,27,15,0.53,14,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForce.h,192,124,24,40,3,28,3,25,3.1,3,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaOutOfPlaneBendForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaOutOfPlaneBendForceProxy.cpp,83,30,8,40,26,12,23,14,0.75,3,2,2,2,1,14,13,0,1,0
AmoebaOutOfPlaneBendForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaPiTorsionForce.cpp,73,30,8,31,18,6,19,7,0.97,6,1,1,1,1,5,5,0,0,0
AmoebaPiTorsionForce.h,139,90,15,30,3,18,3,16,3.0,3,1,1,1,1,3,3,0,0,0
AmoebaPiTorsionForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaPiTorsionForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaPiTorsionForceProxy.cpp,72,30,5,32,18,12,15,14,0.94,3,2,2,2,1,10,10,0,0,0
AmoebaPiTorsionForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceAngleForce.cpp,215,64,33,116,79,63,46,44,0.55,3,4,4,4,1,49,38,2,8,0
AmoebaReferenceAngleForce.h,142,91,20,27,0,24,0,6,3.37,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceBondForce.cpp,119,42,21,54,34,30,22,21,0.78,2,3,3,3,1,36,26,3,8,0
AmoebaReferenceBondForce.h,107,67,19,17,0,14,0,5,3.94,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceForce.cpp,296,151,85,58,27,19,26,15,2.6,12,1,1,1,1,13,5,4,5,0
AmoebaReferenceForce.h,142,90,28,19,0,17,0,15,4.74,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceGeneralizedKirkwoodForce.cpp,205,22,42,140,77,64,51,59,0.16,24,1,1,1,1,6,6,0,1,4
AmoebaReferenceGeneralizedKirkwoodForce.h,254,168,39,43,0,38,2,40,3.91,1,1,1,1,1,1,1,0,0,0
AmoebaReferenceInPlaneAngleForce.cpp,284,72,56,154,108,74,76,54,0.47,3,6,6,6,1,71,51,5,16,0
AmoebaReferenceInPlaneAngleForce.h,145,93,20,28,0,25,0,6,3.32,2,1,1,1,1,1,1,0,0,0
AmoebaReferenceKernelFactory.cpp,108,27,19,52,42,8,41,11,0.52,3,6,6,6,4,22,17,1,5,4
AmoebaReferenceKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,4
AmoebaReferenceKernels.cpp,1054,66,199,764,493,257,434,227,0.09,72,2,2,2,1,13,11,0,2,0
AmoebaReferenceKernels.h,657,363,39,248,0,215,0,211,1.46,0,0,0,0,0,0,0,0,0,0
AmoebaReferenceMultipoleForce.cpp,6650,302,1250,5079,4249,2352,1868,1788,0.06,111,3,3,3,1,58,46,2,10,0
AmoebaReferenceMultipoleForce.h,1610,965,174,463,57,363,55,231,2.08,26,1,1,1,1,4,4,0,0,0
AmoebaReferenceOutOfPlaneBendForce.cpp,230,57,43,129,90,61,71,47,0.44,2,9,9,10,1,89,64,8,18,0
AmoebaReferenceOutOfPlaneBendForce.h,119,74,18,23,0,20,0,5,3.22,2,1,1,1,1,1,1,0,0,0
AmoebaReferencePiTorsionForce.cpp,226,46,47,130,101,47,85,38,0.35,2,6,6,6,1,89,64,4,21,4
