function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
randomizeParameters,4,4,4,1,1,8,1,0
randomizeVec3,2,2,2,1,1,2,0,0
ratio,2,2,2,1,1,2,0,0
readString,1,1,1,1,0,1,0,0
RealOpenMM4::operator+,1,1,1,1,0,1,0,0
RealOpenMM4::operator+,1,1,1,1,0,1,0,0
RealOpenMM4::operator+=,1,1,1,1,0,1,0,0
RealOpenMM4::operator-=,1,1,1,1,0,1,0,0
RealOpenMM4::operator[],1,1,2,1,0,1,0,0
RealOpenMM4::operator[],1,1,2,1,0,1,0,0
RealOpenMM4::RealOpenMM4,1,1,1,1,0,1,0,0
RealOpenMM4::RealOpenMM4,1,1,1,1,0,1,0,0
reciprocalConvolution,5,5,5,1,3,4,1,0
reciprocalEnergy,11,11,11,1,4,5,1,0
ReferenceAndersenThermostat::applyThermostat,5,5,5,1,4,5,1,0
ReferenceAndersenThermostat::ReferenceAndersenThermostat,1,1,1,1,0,1,0,0
ReferenceAndersenThermostat::~ReferenceAndersenThermostat,1,1,1,1,0,1,0,0
ReferenceAngleBondIxn::calculateBondIxn,6,6,6,1,2,24,1,0
ReferenceAngleBondIxn::getPrefactorsGivenAngleCosine,3,3,3,1,1,3,0,0
ReferenceAngleBondIxn::ReferenceAngleBondIxn,1,1,1,1,0,1,0,0
ReferenceAngleBondIxn::~ReferenceAngleBondIxn,1,1,1,1,0,1,0,0
ReferenceBondForce::calculateForce,2,2,2,1,1,2,0,0
ReferenceBondForce::ReferenceBondForce,1,1,1,1,0,1,0,0
ReferenceBondForce::~ReferenceBondForce,1,1,1,1,0,1,0,0
ReferenceBondIxn::calculateBondIxn,1,1,1,1,0,1,0,0
ReferenceBondIxn::getAngleBetweenTwoVectors,4,4,5,1,2,6,1,0
ReferenceBondIxn::getDihedralAngleBetweenThreeVectors,5,5,5,1,2,6,1,0
ReferenceBondIxn::getNormedDotProduct,5,5,5,1,2,9,1,0
ReferenceBondIxn::ReferenceBondIxn,1,1,1,1,0,1,0,0
ReferenceBondIxn::~ReferenceBondIxn,1,1,1,1,0,1,0,0
ReferenceBrownianDynamics::getFriction,1,1,1,1,0,1,0,0
ReferenceBrownianDynamics::ReferenceBrownianDynamics,2,2,2,1,1,2,0,0
ReferenceBrownianDynamics::update,11,11,11,1,3,128,2,0
ReferenceBrownianDynamics::~ReferenceBrownianDynamics,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::AngleInfo::AngleInfo,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::apply,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::applyConstraints,14,14,15,3,4,486,3,0
ReferenceCCMAAlgorithm::applyToVelocities,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::getMaximumNumberOfIterations,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::getNumberOfConstraints,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::ReferenceCCMAAlgorithm,23,23,29,14,6,10250,4,0
ReferenceCCMAAlgorithm::setMaximumNumberOfIterations,1,1,1,1,0,1,0,0
ReferenceCCMAAlgorithm::~ReferenceCCMAAlgorithm,2,2,2,1,1,2,0,0
ReferenceCMAPTorsionIxn::calculateBondIxn,1,1,1,1,0,1,0,0
ReferenceCMAPTorsionIxn::calculateIxn,2,2,2,1,1,2,0,0
ReferenceCMAPTorsionIxn::calculateOneIxn,5,5,5,1,1,16,1,0
ReferenceCMAPTorsionIxn::ReferenceCMAPTorsionIxn,1,1,1,1,0,1,0,0
ReferenceConstraintAlgorithm::~ReferenceConstraintAlgorithm,1,1,1,1,0,1,0,0
ReferenceCustomAngleIxn::calculateBondIxn,9,9,9,1,2,144,2,0
ReferenceCustomAngleIxn::ReferenceCustomAngleIxn,3,3,3,1,1,4,1,0
ReferenceCustomAngleIxn::~ReferenceCustomAngleIxn,1,1,1,1,0,1,0,0
ReferenceCustomBondIxn::calculateBondIxn,4,4,4,1,1,4,1,0
ReferenceCustomBondIxn::ReferenceCustomBondIxn,3,3,3,1,1,4,1,0
ReferenceCustomBondIxn::~ReferenceCustomBondIxn,1,1,1,1,0,1,0,0
ReferenceCustomCompoundBondIxn::AngleTermInfo::AngleTermInfo,1,1,1,1,0,1,0,0
