hash,time,message,buggy
6ddabda,2013-07-09 15:40:15,Created optimized version of AmoebaMultipoleForce kernels when all quadrupoles are 0,0
7272646,2013-07-12 17:43:07,Merge branch 'quadrupoles' of https://github.com/peastman/openmm,0
41e9a09,2013-07-15 03:52:33,Personal commit to make modeller easier to use,0
e3b2520,2013-07-15 03:52:48,Merge github.com:leeping/openmm,0
54c102d,2013-07-15 03:54:40,Merge branch 'master' of github.com:SimTk/openmm,0
a85d163,2013-07-15 03:55:20,Merge branch 'quadrupoles' of github.com:peastman/openmm,0
7bb2bb8,2013-07-15 05:35:14,Merge branch 'master' of https://github.com/leeping/openmm,0
7bfb75c,2013-07-20 09:18:07,Merge branch 'master' of github.com:SimTk/openmm,0
d7b3a3c,2013-07-22 11:43:02,Merge branch 'master' of github.com:SimTk/openmm,0
d58cc04,2013-08-09 16:18:28,Merge branch 'master' of github.com:SimTk/openmm,0
81d60b1,2013-08-15 13:42:02,Merge branch 'master' of github.com:SimTk/openmm,0
9eccb69,2013-08-15 14:56:44,Merge branch 'master' of github.com:SimTk/openmm,0
d71725d,2013-08-16 23:23:04,Merge branch 'master' of github.com:SimTk/openmm,0
2460862,2013-08-25 11:31:45,Merge branch 'master' of github.com:SimTk/openmm,0
3cb25ad,2013-08-25 13:43:52,Merge branch 'master' of github.com:leeping/openmm,0
c5bc333,2013-09-16 15:03:36,Merge branch 'master' of github.com:SimTk/openmm,0
471bea8,2013-09-24 10:46:03,Merge branch 'master' of github.com:SimTk/openmm,0
855ece9,2013-10-17 14:27:38,Merge branch 'master' of https://github.com/SimTk/openmm,0
99ef434,2013-10-24 10:39:00,Merge branch 'master' of github.com:SimTk/openmm,0
8167c79,2013-10-30 16:24:00,Merge branch 'master' of github.com:leeping/openmm,0
59854c5,2013-10-30 16:24:38,Merge branch 'master' of github.com:SimTk/openmm,0
8df5476,2013-11-19 20:54:00,Merge branch 'master' of github.com:leeping/openmm,0
6160b72,2013-11-19 20:54:32,Merge branch 'master' of https://github.com/SimTk/openmm,0
35b9d78,2013-11-22 16:51:18,Workarounds for devices whose maximum workgroup size varies between kernels,0
a3fd6c2,2013-11-26 15:33:21,Bug fix to selecting workgroup size for findInteractingBlocks(),1
f0d9458,2013-12-10 14:22:23,Check for presence of gzip and bz2 modules,0
8e65607,2013-12-10 15:18:48,Merge branch 'master' of https://github.com/SimTk/openmm,0
990e28c,2014-01-13 10:30:45,Merge branch 'qc' of https://github.com/peastman/openmm into qc,0
dabc225,2014-01-23 12:05:41,Created new API for tabulated functions,0
98640b6,2014-01-23 14:34:07,Converted reference platform to process tabulated functions with the TabulatedFunction API,0
81f2668,2014-01-23 16:47:39,Converted CUDA and OpenCL platforms to process tabulated functions with the TabulatedFunction API,0
19d2885,2014-01-23 21:38:26,Merge github.com:SimTk/openmm,0
d284e2b,2014-01-23 21:38:40,Merge branch 'master' of https://github.com/leeping/openmm,0
56e3644,2014-01-24 12:44:13,Created Discrete1DFunction,0
a773952,2014-01-24 16:25:53,Created Discrete2DFunction and Discrete3DFunction,0
4362d53,2014-01-26 20:05:23,Merge github.com:SimTk/openmm,0
5d4dcb4,2014-01-27 11:32:09,Delete TabulatedFunctions when their owner is deleted,0
0a1a011,2014-01-27 15:41:22,Tabulated function parameters are hardcoded in the kernel instead of being stored in an array.  This makes the code simpler and may help performance slightly.,0
5b0e8f2,2014-01-28 15:22:05,Added 2D spline functions to SplineFitter,0
4cfeb42,2014-01-28 17:10:19,Created reference implementation of Continuous2DFunction,0
9434c6e,2014-01-29 11:08:58,Created OpenCL and CUDA implementations of Continuous2DFunction,0
f7f7013,2014-01-29 11:23:19,Fixed an error on platforms where the maximum workgroup size can vary between kernels,1
9d3636f,2014-01-30 10:45:11,Added 3D spline functions to SplineFitter,0
c9c218a,2014-01-30 11:11:07,Created reference implementation of Continuous3DFunction,0
3279c73,2014-01-30 14:15:04,Created OpenCL and CUDA implementations of Continuous3DFunction,0
f7e5492,2014-01-30 15:37:50,Fixed errors in wrapper generation related to TabulatedFunctions,1
75a04e7,2014-01-31 13:21:14,Renamed methods for dealing with TabulatedFunctions to avoid problems in wrapper APIs.  Also fixed a few bugs.,1
f25db67,2014-01-31 13:28:49,Converted GBn and GBn2 to use discrete functions (improves performance),0
75c9f3d,2014-01-31 14:42:18,Implemented serialization for TabulatedFunctions,0
ed31a45,2014-01-31 17:11:29,ForceField supports all types of tabulated functions in CustomGBForce,0
fda320e,2014-02-18 10:45:05,Added iAMOEBA water parameters,0
0fe7612,2014-02-24 10:26:13,Merge pull request #337 from peastman/functions,0
72fb1ad,2014-02-24 10:29:38,Merge pull request #335 from leeping/iamoeba,0
50eb810,2014-02-26 12:14:53,Add .dms file to cmake lists to copy into build directory,0
ec90b4b,2014-02-26 12:30:12,Merge pull request #338 from rmcgibbo/dms-cmake3,0
708c424,2014-02-26 16:02:15,Merge branch 'master' of github.com:SimTk/openmm,0
47a5e2a,2014-02-27 11:14:19,Fixed a minor error in Doxygen comments,1
492f2c1,2014-02-27 11:14:58,Merge pull request #340 from peastman/master,0
91deada,2014-02-27 12:07:07,Merge pull request #341 from peastman/master,0
c4c8121,2014-02-27 14:01:39,Converted users guide to Sphinx,0
a6a050a,2014-02-27 14:02:57,Merge pull request #342 from peastman/master,0
428fded,2014-02-28 00:47:24,try to find the segfault,0
ea9dd0c,2014-02-28 00:55:18,get -g as well,0
8e9f793,2014-02-28 01:18:21,symbolize?,0
05423d2,2014-02-28 01:59:48,fix bug,1
fc21ec7,2014-02-28 02:43:34,reset .travis.yml back,0
6a95f70,2014-02-28 03:20:34,change travis?,0
7823548,2014-02-28 11:51:35,Merge pull request #344 from peastman/master,0
8381aaa,2014-02-28 12:05:09,Fixed compilation errors on Windows,1
b41dc1f,2014-02-28 12:53:17,reset threadpool,0
