File,Lines,Comments,Blanks,Code,Lines-exe,Lines-dec,Stmt-exe,Stmt-dec,Ratio,Units,Cyclomatic,Modified,Strict,Essential,Avg Lines,Avg Code,Avg Comment,Avg Blank,bug
AlignedArray.h,104,55,6,42,16,16,15,14,1.31,8,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.cpp,104,30,16,54,23,16,24,15,0.56,14,1,1,1,1,4,4,0,0,0
AmoebaAngleForce.h,205,137,22,42,4,28,4,26,3.26,4,1,1,1,1,3,3,0,0,0
AmoebaAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaAngleForceProxy.cpp,88,30,9,44,30,13,26,15,0.68,3,3,3,3,1,15,14,0,1,0
AmoebaAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaBondForce.cpp,84,30,12,38,17,10,18,11,0.79,10,1,1,1,1,4,4,0,0,0
AmoebaBondForce.h,177,114,19,38,4,24,4,22,3.0,4,1,1,1,1,3,3,0,0,0
AmoebaBondForceImpl.cpp,78,30,10,34,12,12,16,16,0.88,7,1,1,1,1,4,4,0,0,0
AmoebaBondForceImpl.h,75,37,8,23,2,15,2,14,1.61,3,1,1,1,1,3,3,1,0,0
AmoebaBondForceProxy.cpp,82,30,7,40,26,13,22,15,0.75,3,3,3,3,1,13,13,0,1,0
AmoebaBondForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernelFactory.cpp,108,26,18,58,45,8,38,12,0.45,4,4,4,4,3,18,14,0,3,0
AmoebaCudaKernelFactory.h,45,30,7,6,0,4,0,3,5.0,0,0,0,0,0,0,0,0,0,0
AmoebaCudaKernels.cpp,2767,149,247,2343,1759,765,1447,637,0.06,105,4,4,4,1,24,22,1,1,0
AmoebaCudaKernels.h,631,313,18,294,16,248,14,243,1.06,14,1,1,1,1,2,2,0,0,0
AmoebaGeneralizedKirkwoodForce.cpp,99,38,15,42,17,12,18,13,0.9,12,1,1,1,1,4,3,0,0,0
AmoebaGeneralizedKirkwoodForce.h,202,122,24,52,7,31,7,28,2.35,8,1,1,1,1,3,3,0,0,0
AmoebaGeneralizedKirkwoodForceImpl.cpp,69,30,10,26,13,7,14,9,1.15,5,2,2,2,1,5,5,0,1,0
AmoebaGeneralizedKirkwoodForceImpl.h,72,37,7,24,3,14,3,13,1.54,4,1,1,1,1,3,3,1,0,0
AmoebaGeneralizedKirkwoodForceProxy.cpp,92,32,10,45,32,12,28,14,0.71,3,3,3,3,1,17,14,1,2,0
AmoebaGeneralizedKirkwoodForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
AmoebaInPlaneAngleForce.cpp,106,30,16,56,25,16,26,15,0.54,14,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForce.h,211,140,22,45,4,31,4,26,3.11,4,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.cpp,67,30,9,25,8,7,12,11,1.2,6,1,1,1,1,4,4,0,0,0
AmoebaInPlaneAngleForceImpl.h,72,37,7,22,2,14,2,13,1.68,3,1,1,1,1,3,3,1,0,0
AmoebaInPlaneAngleForceProxy.cpp,88,30,9,44,30,13,26,15,0.68,3,3,3,3,1,15,14,0,1,0
AmoebaInPlaneAngleForceProxy.h,53,35,7,8,0,6,0,5,4.38,0,0,0,0,0,0,0,0,0,0
amoebaKernels.h,498,287,76,127,46,72,11,70,2.26,22,1,1,1,1,3,3,0,0,0
AmoebaMultipoleForce.cpp,263,31,47,180,102,44,105,43,0.17,32,1,1,1,1,6,6,0,0,0
AmoebaMultipoleForce.h,475,297,61,110,21,79,21,62,2.7,4,1,1,1,1,9,8,0,1,0
AmoebaMultipoleForceImpl.cpp,205,33,30,138,88,34,83,34,0.24,13,2,2,3,1,12,10,0,1,0
AmoebaMultipoleForceImpl.h,106,51,15,34,2,26,2,22,1.5,3,1,1,1,1,3,3,1,0,0
