function,cyclomatic,modified,strict,essential,nesting,path_count,path_c_log,bug
ratio,2,2,2,1,1,2,0,0
readString,1,1,1,1,0,1,0,0
reciprocalConvolution,2,2,2,1,1,2,0,0
reciprocalEnergy,11,11,11,1,4,5,1,0
registerAmoebaCudaKernelFactories,2,2,2,1,0,2,0,0
registerAmoebaReferenceKernelFactories,1,1,1,1,0,1,0,0
registerAmoebaSerializationProxies,1,1,1,1,0,1,0,0
registerCpuPmeKernelFactories,1,1,1,1,0,1,0,0
registerCudaCompilerKernelFactories,1,1,1,1,0,1,0,0
registerDrudeCudaKernelFactories,2,2,2,1,0,2,0,0
registerDrudeOpenCLKernelFactories,2,2,2,1,0,2,0,0
registerDrudeReferenceKernelFactories,1,1,1,1,0,1,0,0
registerDrudeSerializationProxies,1,1,1,1,0,1,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,3,3,3,1,1,3,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,2,2,2,1,0,2,0,0
registerKernelFactories,3,3,3,1,2,3,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,2,2,2,1,1,2,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerPlatforms,2,2,2,1,1,2,0,0
registerPlatforms,1,1,1,1,0,1,0,0
registerRPMDCudaKernelFactories,2,2,2,1,0,2,0,0
registerRPMDOpenCLKernelFactories,2,2,2,1,0,2,0,0
registerRpmdReferenceKernelFactories,1,1,1,1,0,1,0,0
registerSerializationProxies,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
round,1,1,1,1,0,1,0,0
rshift,7,7,7,1,3,14,1,0
rsqrt,1,1,1,1,0,1,0,0
rsqrt,1,1,1,1,0,1,0,0
rsqrt,1,1,1,1,0,1,0,0
rsqrt,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
runPlatformTests,1,1,1,1,0,1,0,0
