File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
parmetislib.h,1,0.0,0.0,0.0,7.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,0.0,16.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3
gklib_rename.h,3,0.0,0.0,0.0,6.0,102.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,6.0,0.0,0.0,0.0,14.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
gk_macros.h,4,0.0,0.0,0.0,25.0,96.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,25.0,0.0,0.0,0.0,32.0,12.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
gk_defs.h,5,0.0,0.0,0.0,14.0,36.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,14.0,0.0,0.0,0.0,13.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
parmetis.h,7,0.0,0.0,0.0,31.0,97.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.0,31.0,51.0,51.0,0.0,47.0,12.0,44.0,11.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.0,0.0,0.0,0.0,3,1.0,3
metis.h,8,0.0,0.0,0.0,75.0,207.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349.0,68.0,111.0,111.0,0.0,82.0,55.0,90.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,4,2.0,4
cmp.c,10,4.0,11.0,0.0,5.0,12.0,0.0,7.0,7.0,7.0,7.0,15.0,4.0,11.0,0.0,0.0,1.0,17.0,5.0,11.0,2.0,8.0,0.0,0.0,1.0,8.0,15.0,2.0,0.0,13.0,7.0,7.0,7.0,7.0,1.0,0.0,7.0,7.0,7.0,7.0,0,0.0,0
sfcurves_internal.h,11,0.0,0.0,0.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,11.0,10.0,9.0,0.0,2.0,2.0,10.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0
utility.C,19,6.0,25.0,2.0,32.0,61.0,26.0,1.0,1.0,1.0,1.0,33.0,6.0,18.0,2.0,0.0,1.0,117.0,22.0,21.0,7.0,14.0,26.0,35.0,15.0,6.0,8.0,5.0,0.0,3.0,1.0,1.0,1.0,1.0,0.0,1.24,1.0,1.0,1.0,1.0,11,10.0,11
ne_gelcm.c,35,18.0,112.0,16.0,23.0,119.0,72.0,13.0,13.0,13.0,13.0,145.0,18.0,112.0,16.0,0.0,1.0,213.0,23.0,112.0,12.0,87.0,72.0,0.0,7.0,56.0,69.0,6.0,0.0,63.0,13.0,13.0,13.0,13.0,2.0,0.64,13.0,13.0,13.0,13.0,0,0.0,0
