Name,AvgCyclomatic,AvgCyclomaticModified,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclExecutableUnit,CountDeclModule,CountDeclProgunit,CountDeclSubprogram,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountStmt,CountStmtDecl,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumEssential,Bugs
m_BathOperator.f90,6.0,6.0,1.0,59.0,7.0,34.0,19.0,18.0,1.0,1.0,18.0,1802.0,177.0,676.0,229.0,431.0,980.0,710.0,224.0,486.0,19.0,19.0,1.0,4.0,1.45,119.0,119.0,18.0,1.0
dfpt_accrho.f90,44.0,44.0,1.0,381.0,38.0,287.0,80.0,1.0,0.0,1.0,1.0,465.0,41.0,289.0,73.0,215.0,161.0,247.0,46.0,201.0,44.0,44.0,1.0,7.0,0.56,44.0,44.0,1.0,1.0
dfpt_mkrho.f90,33.0,33.0,11.0,438.0,74.0,283.0,110.0,1.0,0.0,1.0,1.0,514.0,78.0,285.0,94.0,190.0,182.0,234.0,48.0,186.0,33.0,33.0,11.0,10.0,0.64,33.0,33.0,11.0,0.0
getgh2c.f90,40.0,40.0,1.0,254.0,38.0,161.0,67.0,1.0,0.0,1.0,1.0,321.0,41.0,163.0,44.0,118.0,131.0,159.0,28.0,131.0,40.0,40.0,1.0,4.0,0.8,40.0,40.0,1.0,1.0
m_ddk.f90,7.0,7.0,1.0,74.0,14.0,44.0,15.0,4.0,1.0,1.0,4.0,540.0,111.0,230.0,118.0,107.0,205.0,220.0,102.0,118.0,13.0,12.0,1.0,4.0,0.89,29.0,28.0,4.0,1.0
getghc.f90,49.0,49.0,0.0,292.0,26.0,232.0,47.0,3.0,0.0,2.0,2.0,1023.0,89.0,701.0,151.0,548.0,277.0,618.0,74.0,544.0,111.0,111.0,1.0,8.0,0.4,149.0,149.0,2.0,1.0
defs_abitypes.f90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1794.0,227.0,1102.0,1101.0,0.0,653.0,1100.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,1.0
getgsc.f90,12.0,12.0,3.0,134.0,23.0,89.0,24.0,1.0,0.0,1.0,1.0,196.0,26.0,91.0,38.0,52.0,83.0,89.0,26.0,63.0,12.0,12.0,3.0,2.0,0.91,12.0,12.0,3.0,1.0
make_grad_berry.f90,23.0,23.0,3.0,290.0,32.0,204.0,64.0,1.0,0.0,1.0,1.0,361.0,35.0,206.0,71.0,134.0,132.0,158.0,40.0,118.0,23.0,23.0,3.0,7.0,0.64,23.0,23.0,3.0,1.0
read_el_veloc.f90,10.0,10.0,1.0,144.0,28.0,93.0,28.0,1.0,0.0,1.0,1.0,186.0,32.0,95.0,38.0,56.0,66.0,82.0,28.0,54.0,10.0,10.0,1.0,5.0,0.69,10.0,10.0,1.0,1.0
