Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
atom_vec_atomic_kokkos.cpp,1.0,22.0,0.0,164.0,1149.0,86.0,4.0,4.0,4.0,1.0,24.0,1.0,22.0,0.0,0.0,47.0,1399.0,164.0,1138.0,353.0,684.0,86.0,0.0,11.0,735.0,943.0,247.0,0.0,696.0,16.0,16.0,16.0,1.0,4.0,0.08,180.0,180.0,183.0,47.0,0.0
angle_harmonic_omp.cpp,9.0,35.0,2.0,38.0,117.0,23.0,6.0,6.0,8.0,1.0,45.0,9.0,34.0,2.0,0.0,3.0,177.0,38.0,104.0,20.0,73.0,23.0,1.0,13.0,75.0,96.0,19.0,0.0,77.0,10.0,10.0,13.0,1.0,4.0,0.22,19.0,19.0,23.0,3.0,1.0
compute_pressure.cpp,5.0,28.0,2.0,50.0,213.0,39.0,9.0,9.0,12.0,1.0,35.0,5.0,28.0,2.0,0.0,7.0,302.0,50.0,196.0,27.0,158.0,39.0,0.0,17.0,134.0,201.0,26.0,0.0,175.0,21.0,21.0,36.0,1.0,4.0,0.2,66.0,66.0,85.0,7.0,1.0
pair_lj_cut_tip4p_long_soft_omp.cpp,11.0,54.0,6.0,83.0,345.0,58.0,8.0,8.0,9.0,1.0,71.0,11.0,54.0,6.0,0.0,6.0,484.0,83.0,324.0,49.0,255.0,58.0,1.0,21.0,245.0,296.0,44.0,0.0,252.0,36.0,36.0,41.0,1.0,7.0,0.18,50.0,50.0,56.0,6.0,1.0
fix_reax_bonds.cpp,4.0,18.0,2.0,53.0,164.0,43.0,4.0,4.0,4.0,1.0,24.0,4.0,18.0,2.0,0.0,8.0,256.0,53.0,148.0,26.0,97.0,43.0,1.0,16.0,104.0,138.0,27.0,0.0,111.0,15.0,15.0,15.0,1.0,4.0,0.29,31.0,31.0,31.0,8.0,1.0
pair_eam_cuda.cpp,3.0,12.0,0.0,57.0,159.0,49.0,3.0,3.0,3.0,1.0,16.0,3.0,12.0,0.0,0.0,11.0,265.0,57.0,138.0,21.0,92.0,49.0,0.0,21.0,94.0,125.0,21.0,0.0,104.0,7.0,7.0,9.0,1.0,2.0,0.36,29.0,29.0,33.0,11.0,1.0
pair_born_coul_msm.cpp,5.0,37.0,1.0,39.0,200.0,23.0,8.0,8.0,9.0,1.0,43.0,5.0,37.0,1.0,0.0,5.0,262.0,39.0,186.0,29.0,143.0,23.0,0.0,14.0,132.0,172.0,27.0,0.0,145.0,26.0,26.0,35.0,1.0,6.0,0.12,38.0,38.0,47.0,5.0,1.0
fix_rigid_nvt.cpp,4.0,17.0,3.0,9.0,20.0,21.0,7.0,7.0,9.0,1.0,24.0,4.0,17.0,3.0,0.0,1.0,50.0,9.0,18.0,3.0,13.0,21.0,0.0,2.0,11.0,19.0,2.0,0.0,17.0,7.0,7.0,9.0,1.0,1.0,1.17,7.0,7.0,9.0,1.0,1.0
region_prism.cpp,5.0,24.0,3.0,92.0,316.0,102.0,5.0,5.0,7.0,1.0,31.0,5.0,24.0,3.0,0.0,13.0,510.0,92.0,308.0,42.0,246.0,102.0,0.0,8.0,257.0,321.0,40.0,0.0,281.0,34.0,34.0,54.0,7.0,2.0,0.33,69.0,69.0,94.0,24.0,1.0
pair_dpd_tstat_gpu.cpp,4.0,27.0,1.0,47.0,318.0,57.0,5.0,5.0,5.0,1.0,32.0,4.0,27.0,1.0,0.0,6.0,418.0,47.0,190.0,72.0,125.0,57.0,70.0,128.0,139.0,167.0,51.0,1.0,115.0,9.0,9.0,10.0,5.0,4.0,0.3,27.0,27.0,30.0,10.0,1.0
atom_vec_wavepacket.cpp,2.0,21.0,0.0,177.0,899.0,129.0,4.0,4.0,4.0,1.0,23.0,2.0,21.0,0.0,0.0,42.0,1195.0,177.0,887.0,107.0,690.0,129.0,0.0,12.0,700.0,848.0,101.0,0.0,747.0,18.0,18.0,18.0,5.0,4.0,0.15,147.0,147.0,148.0,46.0,1.0
pair_kim.cpp,6.0,42.0,7.0,161.0,864.0,197.0,7.0,7.0,9.0,1.0,54.0,6.0,41.0,7.0,0.0,20.0,1200.0,161.0,827.0,123.0,614.0,197.0,5.0,32.0,431.0,577.0,90.0,1.0,486.0,20.0,20.0,22.0,10.0,5.0,0.24,146.0,142.0,172.0,36.0,1.0
pppm_disp.cpp,13.0,70.0,5.0,1315.0,6131.0,775.0,12.0,11.0,12.0,1.0,88.0,13.0,70.0,5.0,0.0,87.0,8194.0,1315.0,6086.0,1238.0,4985.0,775.0,6.0,41.0,4991.0,5985.0,1151.0,1.0,4833.0,61.0,60.0,90.0,16.0,8.0,0.13,1001.0,970.0,1057.0,122.0,1.0
